startphrase,ending1,ending2,labels
यह शाल पंख की तरह हलकी है। ,यह शाल बहुत पतले धागे से बानी है। ,यह शाल बहुत मोटे धागे से बानी है। ,1
मेरा घर चिड़िया के अंडे सा है। ,मेरा घर बहुत छोटा है। ,मेरा घर बहुत बड़ा है। ,0
मेरा घर डायनासोर के अंडे सा है। ,मेरा घर बहुत छोटा है। ,मेरा घर बहुत बड़ा है। ,1
होमवर्क बस की तरह हल्का है। ,होमवर्क बहुत ज्यादा है। ,होमवर्क बहुत कम है।,0
होमवर्क कागज़ की तरह हल्का है। ,होमवर्क बहुत ज्यादा है।,होमवर्क बहुत कम है।,1
राज साँप की तरह सीधा है।,राज बहुत टेढ़ा आदमी है।,राज बहुत सीधा आदमी है।,0
राज पेंसिल की तरह सीधा है।,राज बहुत टेढ़ा आदमी है।,राज बहुत सीधा आदमी है।,1
गुस्से में रामु टमाटर की तरह लाल हो गया। ,रामु को बहुत प्यार आया। ,रामु को बहुत गुस्सा आया। ,0
गुस्से में रामु अंगारों की तरह लाल हो गया। ,रामु को बहुत प्यार आया। ,रामु को बहुत गुस्सा आया। ,1
उस लड़की को वो शिकारी सा घूर रहा है।,वह लड़की को बुरी नज़र से देख रहा था। ,वह लड़की को मदद के लिए बुला रहा था।  ,0
उस लड़की को वो भिखारी सा घूर रहा है।,वह लड़की को बुरी नज़र से देख रहा था। ,वह लड़की को मदद के लिए बुला रहा था।  ,1
उसकी आवाज फटे बांस की तरह है।,उसकी आवाज बहुत बुरी है।,उसकी आवाज बहुत मधुर है।,0
उसकी आवाज कोयल की तरह है।,उसकी आवाज बहुत बुरी है।,उसकी आवाज बहुत मधुर है।,1
उसकी गर्दन कबूतर सी लम्बी है। ,उसकी गर्दन बहुत छोटी है। ,उसकी गर्दन बहुत लम्बी है। ,0
उसकी गर्दन जिराफ सी लम्बी है। ,उसकी गर्दन बहुत छोटी है। ,उसकी गर्दन बहुत लम्बी है। ,1
शंकर चिमगादड़ के बच्चे जितना प्यारा है।,शंकर बहुत भद्दा है। ,शंकर बहुत सुंदर है।,0
शंकर बिल्ली के बच्चे जितना प्यारा है। ,शंकर बहुत भद्दा है।,शंकर बहुत सुंदर है।,1
वह किसी सस्पेंस थ्रिलर की तरह बात कर रहा था। ,वह बहुत धीरे बात कर रहा था। ,वह बहुत जोर से  बात कर रहा था। ,0
वह किसी हास्य कविसमेल्लन की तरह बात कर रहा था। ,वह बहुत धीरे बात कर रहा था। ,वह बहुत जोर से  बात कर रहा था। ,1
काशी भीम सा विशाल था। ,काशी में शारीरिक बल था। ,काशी में मानसिक बल था। ,0
काशी नकुल सा विशाल था। ,काशी में शारीरिक बल था। ,काशी में मानसिक बल था। ,1
मोहित ने दुश्मन को दाल के चने चबवाये। ,मोहित ने दुश्मन को ज्यादा मुश्किल में दाल दिया। ,मोहित ने दुश्मन को बहुत मुश्किल में दाल दिया। ,0
मोहित ने दुश्मन को लोहे के चने चबवाये। ,मोहित ने दुश्मन को ज्यादा मुश्किल में दाल दिया। ,मोहित ने दुश्मन को बहुत मुश्किल में दाल दिया। ,1
राहुल नटवरलाल बनना चाहता है। ,राहुल चोर बनना चाहता है। ,राहुल वैज्ञानिक बनना चाहता है। ,0
राहुल अब्दुल कलाम बनना चाहता है। ,राहुल चोर बनना चाहता है। ,राहुल वैज्ञानिक बनना चाहता है। ,1
उसकी जुबान मोती की तरह काली है।,वह जुबान से अच्छी है। ,वह जुबान से गंदी है।,0
उसकी जुबान कोयले की तरह काली है। ,वह जुबान से अच्छी है।,वह जुबान से गंदी है।,1
तालाब की तरह लग रहे हो।,बहुत सूंदर लग रहे हो। ,बहुत बदसूरत लग रहे हो। ,0
कीचड़ की तरह लग रहे हो। ,बहुत सूंदर लग रहे हो। ,बहुत बदसूरत लग रहे हो। ,1
डॉक्टरचन्दन की लकड़ी की तरह कीमती है।,डॉक्टर बहुत जरूरी है। ,सिर्फ अच्छे डॉक्टर जरूरी है।,0
डॉक्टर पीतल की तरह कीमती है। ,डॉक्टर बहुत जरूरी है।,सिर्फ अच्छे डॉक्टर जरूरी है।,1
यह सफर तो ओस की बूंदों सा लग रहा है। ,यह सफर तो बहुत सुहाना लग रहा है। ,यह सफर तो बहुत बर्बाद लग रहा है। ,0
यह सफर तो काढ़े की बूंदों सा लग रहा है। ,यह सफर तो बहुत सुहाना लग रहा है। ,यह सफर तो बहुत बर्बाद लग रहा है। ,1
उस अजनबी से हाथ मिलाना गर्म रजाई के जैसा लगा।,वह अजनबी एक दोस्त की तरह लगा। ,वह अजनबी एक दुश्मन की तरह लगा। ,0
उस अजनबी से हाथ मिलाना गर्म रेत के जैसा लगा।,वह अजनबी एक दोस्त की तरह लगा। ,वह अजनबी एक दुश्मन की तरह लगा। ,1
उसने उगते सूरज की तरह बात की।,उसकी आवाज में जोश था। ,उसकी आवाज में उदासी थी। ,0
उसने मुरझाये फूल की तरह बात की।,उसकी आवाज में जोश था। ,उसकी आवाज में उदासी थी। ,1
फिल्म में हीरो सुपरमैन की तरह लग रहा था। ,फिल्म का हीरो बहुत स्मार्ट था। ,फिल्म का हीरो मसखरा था। ,0
फिल्म में हीरो चार्ली चैपलिन की तरह लग रहा था। ,फिल्म का हीरो बहुत स्मार्ट था। ,फिल्म का हीरो मसखरा था। ,1
शरबत सा इसका अहसास है। ,इसका अहसास बहुत मीठा है। ,इसका अहसास बहुत गंदा है। ,0
गोबर सा इसका अहसास। ,इसका अहसास बहुत मीठा है। ,इसका अहसास बहुत गंदा है। ,1
उसका आना चाय की चुस्की की तरह था। ,उसका आना बहुत सुहाना था। ,उसका आना बहुत बुरा था। ,0
उसका आना शराब की चुस्की की तरह था। ,उसका आना बहुत सुहाना था। ,उसका आना बहुत बुरा था। ,1
तुम्हारी कंपनी नकली दवाइयां बनती है। ,तुहारी कंपनी धोकेबाज है। ,तुहारी कंपनी महान है। ,0
तुम्हारी कंपनी असली दवाइयां बनती है। ,तुहारी कंपनी धोकेबाज है। ,तुहारी कंपनी महान है। ,1
काम के मिलते ही उसका चहरा रौशनी सा सफेद हो गया।,वह काम करके खुश होता है।,वह काम करने से कतराता है।,0
काम के मिलते ही उसका चहरा भूत सा सफेद हो गया।,वह काम करके खुश होता है।,वह काम करने से कतराता है।,1
हार्दिक उगते चाँद की तरह ताजा है।,वह बहुत चुस्त है।,वह बहुत थका हुआ है।,0
हार्दिक उगते सूरज की तरह ताजा है।,वह बहुत चुस्त है।,वह बहुत थका हुआ है।,1
