startphrase,ending1,ending2,labels
Berbelanja bagi sebagian besar perempuan itu seperti masuk surga dengan segala hal yang indah-indah di sekelilingnya.,Berbelanja bagi sebagian besar perempuan itu seperti menyenangkan.,Berbelanja bagi sebagian besar perempuan itu seperti mengerikan.,0
Berbelanja bagi sebagian besar perempuan itu seperti masuk neraka dengan bara api yang berkobar menakutkan.,Berbelanja bagi sebagian besar perempuan itu seperti menyenangkan.,Berbelanja bagi sebagian besar perempuan itu seperti mengerikan.,1
Melahirkan itu ibarat tulang belulang di dalam tubuh dipatahkan secara bersamaan.,Melahirkan itu sangat sakit.,Melahirkan itu biasa saja.,0
Melahirkan itu ibarat bersin sampai keluar ingus.,Melahirkan itu sangat sakit.,Melahirkan itu biasa saja.,1
Cita-cita itu bagaikan benang yang harus dipintal untuk menjadikannya sebagai lembaran-lembaran kain.,Cita-cita itu harus dirawat.,Cita-cita itu dibiarkan begitu saja.,0
Cita-cita itu bagaikan asap yang dibiarkan hilang dengan sendirinya.,Cita-cita itu harus dirawat.,Cita-cita itu dibiarkan begitu saja.,1
Bahagia itu adalah ketika kita dapat uang kaget 100 Milyar Rupiah tanpa harus dipotong pajak.,Bahagia itu bersifat material.,Bahagia itu bersifat nonmaterial.,0
Bahagia itu adalah berkumpul bersama keluarga tersayang.,Bahagia itu bersifat material.,Bahagia itu bersifat nonmaterial.,1
Ayahku bersikap seolah bisa menyapa seluruh dunia.,Ayahnya sangat ramah.,Ayahnya sangat kaku.,0
Ayahku bersikap seolah dia adalah robot yang sudah usang.,Ayahnya sangat ramah.,Ayahnya sangat kaku.,1
Dia tampak seperti mahasiswa yang gagal ujian.,Dia sangat sedih.,Dia sangat senang.,0
Dia tampak seperti habis memenangkan lotre.,Dia sangat sedih.,Dia sangat senang.,1
Berita itu datang seperti angin badai.,Berita itu datang mengangetkan.,Berita itu datang dengan tenang.,0
Berita itu datang seperti angin sepoi-sepoi.,Berita itu datang mengangetkan.,Berita itu datang dengan tenang.,1
Baginya pekerjaan itu bagaikan membanting tulang.,Baginya pekerjaan itu sulit.,Baginya pekerjaan itu mudah.,0
Baginya pekerjaan itu bagaikan menjentikkan jari.,Baginya pekerjaan itu sulit.,Baginya pekerjaan itu mudah.,1
Tubuhku dulu sudah seperti tiang listrik.,Tubuhku dulu tinggi dan kurus.,Tubuhku dulu pendek.,0
Tubuhku dulu sudah seperti ucok baba.,Tubuhku dulu tinggi dan kurus.,Tubuhku dulu pendek.,1
Mengapa wajahmu ditekuk?.,Mengapa kamu sedih?.,Mengapa kamu bahagia?.,0
Mengapa wajahmu cerah?.,Mengapa kamu sedih?.,Mengapa kamu bahagia?.,1
Badannya seperti Gatotkaca.,Badannya besar dan kuat.,Badannya kurus dan lemah.,0
Badannya seperti korek api.,Badannya besar dan kuat.,Badannya kurus dan lemah.,1
Seminar kali ini rasanya seperti pertemuan dengan presiden. .,Seminarnya sangat formal.,Seminarnya sangat informal.,0
Seminar kali ini rasanya seperti kumpul-kumpul di tongkrongan. .,Seminarnya sangat formal.,Seminarnya sangat informal.,1
"Bagi dia, rahasia adalah pusaka keluarga.",Dia bisa dipercaya.,Dia tidak bisa dipercaya.,0
"Bagi dia, rahasia adalah berita yang siap dikeluarkan kapan saja.",Dia bisa dipercaya.,Dia tidak bisa dipercaya.,1
