lang	sentence
sw	Kununa ni sumu
sw	Hiki chumba ni jela
sw	Hiki chumba ni paradiso
sw	Ali ana roho ya dhahabu
sw	Ali ana roho ya fisi
sw	maneno yako yanakata kama kisu
sw	maneno yako ni nyororo kama pamba
sw	mapenzi yetu ni mazuri kama maua
sw	mapenzi yetu ni mepesi kama kamasi
sw	Brenda alitembea kama tausi
sw	Brenda alitembea kama kuku
sw	Naweza kula farasi
sw	Ntakula kinyonga
sw	kuna baridi kama maji ya jokofu
sw	kuna joto kama kwa shetani
sw	ametulia kama maji mtungini
sw	ana mambo mengi kama sungura
sw	bwana ni jabali langu
sw	bwana si jabali langu
sw	mama wa kambo amekuwa mkali kama mamba
sw	mama wa kambo amekuwa mwepesi kama karatasi
sw	Anita ndiye nuru ya familia yao
sw	Anita ndiye giza ya familia yao
sw	Masomo yamekuwa mawe
sw	masomo yamekuwa karatasi
sw	anga ilikuwa na makaa meupe
sw	anga ilikuwa wazi
sw	Tuliskia manunguniko ya mto
sw	Tuliskia utulivu wa mto
sw	aliota ndoto ya milele
sw	Yuko buhari wa afya
sw	ana maua ya uzima
sw	hana maua ya uzima
sw	zaidi ya dunia ni bluu tu
sw	zaidi ya dunia ni kijani kibichi
sw	alionja asali kwenye mdomo wake
sw	hakuonja asali kwenye mdomo wake
sw	mito ya uchungu ilimtirirka
sw	mito ya furaha ilimtirika
sw	ndovu za mwili wake zilimtongoza
sw	ndovu za mwili wake hazikuvutia
sw	alihisi ngoma kifuani
sw	hakuhisi ngoma kifuani
sw	zumaridi mbili zilingaa machoni pake
sw	zumaridi mbili hazikungaa machoni mwake
sw	macho yake yalikuwa visima vya bluu
sw	macho yake hayakuwa visima vya bluu
sw	kinywa chake kilikuwa tunda jipya
sw	kinywa chake kilikuwa kinyamavu
sw	upendo ni jeuri
sw	upendo si jeuri
sw	sauti yako ni muziki maskioni mwangu
sw	sauti yako si muziki maskioni mwangu
sw	macho yake ni yakuti samawi
sw	macho yake si makuti samawi
sw	mikono yake ni bandari salama
sw	mikono yake si ya bandari salama
sw	mawazo yangu ni kama mama mwenda wazimu
sw	mawazo yangu si kama mama mwenda wazimu
sw	wanafunzi wake ni shina la mizeituni
sw	wanafunzi wake ni mchwa
sw	ngozi yako ni hariri
sw	ngozi yake si hariri
sw	sauti yake ni zeri
sw	sauti yake si zeri
sw	alikuwa na mishipa ya chuma
sw	alikuwa na mishipa miepesi
sw	mwezi wa fedha uliangaza angani
sw	mwezi wa fedha haukuangaza angani
sw	ili jiji ni kimbunga cha machafuko
sw	ili jiji si kimbunga cha machafuko
sw	Taa yangu imechoka
sw	taa yangu inangara
sw	kwa kinu cha mapenzi
sw	kwa mapenzi madogo
sw	mwili wake una milima mieupe
sw	mwili wake hauna milima mieupe
sw	macho yako ni nchi ya umeme na machozi
sw	macho yako ni nchi kavu
sw	mapigo hayo ni makombo
sw	mapigo hayo ni duni
sw	mikono yako ni kibembelezi changu
sw	mikono yako ni kisikitio changu
sw	yeye ni maziwa ya kuku
sw	yeye si maziwa ya kuku
sw	anampenda kama chanda na pete
sw	anamchukia kama mwizi
sw	Ali ni sindano
sw	Ali ni kifaru
sw	yeye ni makaa
sw	yeye ni theluji
sw	baba yake amekuwa jeshi
sw	baba yake amekuwa mtulivu
sw	dadake amekuwa singa
sw	dadake amekuwa kipara
sw	mtoto wako amekuwa tumbili
sw	mtoto wako amekuwa njiwa
sw	Mwelusi ni mtumwa
sw	Mwelusi si mtumwa
sw	Yeye amekuwa fisi
sw	yeye si fisi
sw	mpenzi wangu ni njiwa
sw	mpenzi wangu si njiwa
sw	Fundi yule ni mchwa
sw	fundi yule ni kinyonga
sw	mwaniki ni kifaru
sw	mwaniki si kifaru
sw	yeye ni kupe
sw	yeye si kupe
sw	rafiki yake ni abunuasi
sw	rafiki yake si abunuasi
sw	yule mama ni chiriku
sw	yule mama si chiriku
sw	chumba kile kimekuwa kaburi
sw	chumba kile kimekuwa klabu
sw	jaji yule aliweka mambo wazi mchana
sw	jaji yule amekuwa giza
sw	amekuwa tasa baada ya kupata mtoto
sw	amekuwa mkizi baada ya kufeli mtihani
sw	amekuwa mtende baada ya kupata hela
sw	hajakuwa mtende
sw	mapenzi yao yamekuwa gundi
sw	mapenzi yao yamelowa maji
sw	chakula kile ni ruhani
sw	chakula kile ni taka
sw	chakula kinaonja asali
sw	chakula kinaonja maganda
sw	dawa ile ya tumbo ni shubri
sw	dawa ile ya tumbo ni asali
sw	gunia lile la makaa ni nanga
sw	gunia lile ni unyoya
sw	meli ile ni uwanja wa ahera
sw	gari lile ni tundu la sindano
sw	baada ya kufeli mtihani amekuwa filauni
sw	baada ya kupita mtihani amekuwa mvuvi
sw	msanii yule ni kasuku
sw	msanii yule si kasuku
sw	wakulima wamekuwa tai baada ya kupalilia
sw	wakulima wamekuwa bundi
sw	aliangua kicheko kama radi
sw	hakuangua kicheko kama radi
sw	siku hizi rafiki yangu amekuwa kinyonga
sw	siku hizi rafiki yangu ni mtumwa
sw	mama wa kambo amekuwa joka la mdimu
sw	mama wa kambo amekuwa maua
sw	watoto wake wamekuwa kumbikumbi
sw	watoto wake hawajakuwa kumbikumbi
sw	bibi yake amekuwa malaika
sw	adui yake amekuwa tembo
sw	ndungu yake amekuwa nyati
sw	ndugu yake hajakuwa nyati
sw	yule kijakazi amekuwa mbwa koko
sw	yule kijakazi hajakuwa mbwa koko
sw	askari yule amekuwa kiriba
sw	askari yule hajakuwa kiriba
sw	msanii yule ni nyota
sw	msanii yule si nyota
sw	mkewe amekuwa ndege wa mapema
sw	mkewe hajakuwa ndege wa mapema
sw	maisha ni barabara kuu
sw	maisha si barabara kuu
sw	alikuwa mbwa mwenye mfupa
sw	hakuwa mbwa mwenye mfupa
sw	bwana yule ni mchungaji mwema
sw	bwana yule si mchungaji mwema
sw	askari wetu walikuwa simba vitani
sw	askari wetu walikuwa kunguru vitani
sw	Picha hii ni nyota.
sw	Picha hii ni ndoto.
sw	Filamu hii ni msitu mkubwa.
sw	Filamu hii ni kitabu wazi.
sw	Msichana huyo ni malaika anapoimba.
sw	Msichana huyo ni treni inayotoka kwenye reli anapoimba.
sw	Mradi huu ni kama mvua iliyosubiriwa kwa muda mrefu.
sw	Mradi huu ni kama jinamizi.
sw	Maneno yake ni dawa.
sw	Maneno yake ni sumu.
sw	Rafiki yangu ni chiruki.
sw	Rafiki yangu ni maji mtungini.
sw	Nduguye ni msamaria mwema.
sw	Nduguye ni mbweha.
sw	Mgeni huyo ni kama jua la kutua.
sw	Mgeni huyo ni kama ajali.
sw	Mwalimu wangu ana moyo wa dhahabu.
sw	Mwalimu wangu ana moyo wa jiwe.
sw	Nyumbani kwetu ni ndege aliye huru.
sw	Nyumbani kwetu ni jela.
sw	Maneno yake huwa asali kila anapozungumza.
sw	Maneno yake huwa shubiri kila anapozungumza.
sw	Sauti yake ni kama kunong'ona.
sw	Sauti yake ni kama dhoruba ya radi.
sw	Wimbo huu ni kama umaskini.
sw	Wimbo huu ni kama waradi ya samawati
sw	Mwanariadha yule ni duma.
sw	Mwanariadha yule ni kobe
sw	Chakula kilikuwa barafu.
sw	Chakula kilikuwa kuzimu.
sw	Mchezaji huyu ni twiga.
sw	Mchezaji huyo ni nyundo.
sw	Jana alikuwa mfalme.
sw	Jana alikuwa mboni ya macho ya huzuni nyuma ya sanda.
sw	Safari ilikuwa ni matembezi katika hifadhi.
sw	Safari ilikuwa ni uzito kwenye mabega yangu.
sw	Yule ni mkweli kama injili.
sw	Yule ni mkweli kama mwanasiasa wakati wa kampeni.
sw	Wimbo huu ni mwanga wa jua.
sw	Wimbo huu ni kama kuangalia rangi ikikauka.
sw	Mtoto wake ni Musa.
sw	Mtoto wake ni Adamu na Eva.
sw	Ana moyo wa simba.
sw	Ana moyo wa kuku.
sw	Kitabu hiki ni dhahabu.
sw	Kitabu hiki ni yai bovu.
sw	Rafiki yangu ni mfalme Solomoni.
sw	Rafiki yangu ni panya wa kanisa.
sw	Swali ya hesabu katika mtihani ilikuwa mboga.
sw	Swali ya hesabu katika mtihani ilikuwa mawe.
sw	Panga hii ni wembe.
sw	Panga hii ni sehemu ya nyuma ya kisu.
sw	Upendo wao ulikuwa divai nzuri.
sw	Upendo wao ulikuwa uwanja wa vita.
sw	Pesa ni sabuni ya roho.
sw	Pesa ni adui mkubwa.
sw	Mtoto huyo ni tausi.
sw	Mtoto huyo ni kama kijana aliyenaswa akitoroka nje ya nyumba.
sw	Mvulana huyo alikuwa sungura.
sw	Mvulana huyo alikuwa kondoo.
sw	Mama yake ni simba.
sw	Mama yake ni mwana-kondoo.
sw	Jirani yangu ni malaika.
sw	Jirani yangu ni shetani.
sw	Mwenzake ni mchwa.
sw	Mwenzake ni chura chini ya kisima.
sw	Somo la hesabu ni mchana wa mwanga.
sw	Somo la hesabu ni usiku wa giza.
sw	Kijana yule ni mtumwa.
sw	Kijana yule ni mtoto mchanga aliye na njaa.
sw	Nguo zake ni kama marashi ya karafuu.
sw	Nguo zake ni kama kidonda.
sw	Yule ni mboni ya jicho langu.
sw	Yule ni sumu.
sw	Mwanasoka yule ni nyota.
sw	Mwanasoka yule ni mwezi mpevu.
sw	Kitabu hiki ni kipya kama mwanzo wa siku.
sw	Kitabu hiki ni kipya kama milima.
sw	Urafiki wao ni kama wa chanda na pete.
sw	Urafiki wao ni kama wa mbwa na paka.
sw	Yeye ni filimbi.
sw	Yeye ni nguruwe.
sw	Mama wa kambo amekuwa njiwa.
sw	Mama wa kambo amekuwa mamba.
sw	Mambo yake ni kioo.
sw	Mambo yake ni giza.
sw	Mtoto yule ni bahari.
sw	Mtoto yule ni mkizi.
sw	Siku ya leo ni kama chemichemi.
sw	Siku ya leo ni kama Kalahari.
sw	Mwajiriwa yule ni mtume.
sw	Mwajiriwa yule ni Yuda Iskariote.
sw	Maumivu ni shoka linalokata moyo wangu.
sw	Maumivu ni muziki mzuri kwa roho yangu.
sw	Chai hii ni baridi kama kifo.
sw	Chai hii baridi kama volkano.
sw	Mjomba amefurahi kama ndege katika chemchemi.
sw	Mjomba amekasirika kama fahali mwenye kitambaa usoni.
sw	Uhusiano wao ni kama mapema ya majira ya joto.
sw	Uhusiano wao ni kama kimbunga.
sw	Kalamu hizi ni kama mbaazi mbili kwenye ganda.
sw	Kalamu hizi ni kama majira ya baridi na majira ya joto.
sw	Maisha ni sherehe.
sw	Maisha ni uwanja wa vita.
sw	Wao ni mbwa.
sw	Wao ni panya.
sw	Viatu vya baba ni manukato.
sw	Viatu vya baba ni takataka.
sw	Usiku wa leo anga ni blanketi la nyota.
sw	Usiku wa leo anga ni kanisa siku ya juma.
sw	Msichani yule ni waridi kati ya miiba.
sw	Msichana yule ni mwiba kati ya waridi.
sw	Kiti hiki ni mwamba katika dhoruba.
sw	Kiti hiki ni mtoto wa paka.
sw	Sherehe hiyo ilikuwa mbuga ya wanyama.
sw	Sherehe hiyo ilikuwa wimbo uliosahaulika.
sw	Mtihani ulikuwa upepo.
sw	Mtihani ulikuwa gunia tupu kusimama wima.
sw	Hadithi hiyo ni kama kilio cha mtoto kuzaliwa.
sw	Hadithi hiyo ni kama kifo.
sw	Miti hii ni kama jua.
sw	Miti hii ni kama mvua ya msimu wa baridi.
sw	Kijana yule ni fisi.
sw	Kijana yule ni panya.
sw	Mtoto huyu ni sahani.
sw	Mtoto huyu ni nyoka kwenye nyasi.
sw	Yule msichana ni mtulivi kama mashamba ya Mbinguni.
sw	Yule msichana ni malkia wa drama.
sw	Nyumba hii ni kama dunia.
sw	Nyumba hii ni kama mawimbi ya bahari.
sw	Simu hii ni kama ng’ombe.
sw	Simu hii ni kama bunduki bila kichochezi.
sw	Mtu huyu ni kama jua na mwezi.
sw	Mtu huyu ni kama kama harusi bila bwana harusi.
sw	Yeye ni sauti ya mama.
sw	Yeye ni kifo.
sw	Mwanafunzi huyu ni nta.
sw	Mwanafunzi huyu ni dubu.
sw	Kijiti hiki ni kama nyota ya risasi.
sw	Kijiti hiki ni kama mitaa ya Boston.
sw	Mtu huyo alikuwa gorila.
sw	Mtu huyo alikuwa yai.
sw	Mzigo hii ni kama manyoya.
sw	Mzigo hii ni kama nanga.
sw	Kitoto chake ni kama pini mpya.
sw	Kitoto chake ni kama nguruwe.
sw	Mayai haya ni asali.
sw	Mayai haya ni ndimu.
sw	Alikuwa kama nta.
sw	Alikuwa kama dubu.
sw	Alikuwa kama meli iliyoachwa.
sw	Alikuwa kama tamthilia ya filamu.
sw	Mlango ulikuwa kama mshipi wa chuma.
sw	Mlango ulikuwa kama ghuba.
sw	Meza ilikuwa kama yungiyungi.
sw	Meza ilikuwa kama gome la mwaloni.
sw	Hao ni ulimi na meno.
sw	Hao ni maji na mafuta.
sw	Mtoto yule ni kibogoyo aliyeota Meno.
sw	Mtoto yule ni mfiwa.
sw	Ngozi yake ni hariri.
sw	Ngozi yake ni mawe
sw	Wazazi wangu ni kama ndovu.
sw	Wazazi wangu ni kama bibi kizee.
sw	Mazao ya wakulima ni kama mwanga wa jua.
sw	Mazao ya wakulima ni kama manyoya kwenye samaki.
sw	Yeye alikuwa mahali kama kasri la mfalme.
sw	Yeye alikuwa mahali kama jela.
sw	Mahali aliwekwa palikuwa peponi.
sw	Mahali aliwekwa palikuwa kuzimu.
sw	Maneno yake yalikuwa kama rula.
sw	Maneno yake yalikuwa kama samaki aliyetolewa kwa maji.
sw	Walishuhudia uhuru kama ndege angani.
sw	Walishuhudia utumwa kama Waisraeli.
sw	Yeye ni njiwa
sw	Yeye ni jongoo.
sw	Maneno yake yalikuwa mvua kwa mkulima.
sw	Maneno yake yalikuwa mkizi.
sw	Filamu hiyo ilikuwa kama dawa kwa mgonjwa.
sw	Filamu hiyo ilikuwa kama dawa za kulevya.
sw	Binti huyu ni Musa.
sw	Binti huyu ni Firauni.
sw	Alikuwa kama kigogo.
sw	Alikuwa kama kumbikumbi.
