startphrase,ending1,ending2,labels
ಅವನು ಜಿಮ್ ವ್ಯಕ್ತಿಯಂತೆ ಆಕರ್ಷಕ ದೇಹವನ್ನು ಹೊಂದಿದ್ದಾನೆ,ಅವನು ಆಕರ್ಷಕ ದೇಹವನ್ನು ಹೊಂದಿದ್ದಾನೆ,ಅವನು ಆಕರ್ಷಕ ದೇಹವನ್ನು ಹೊಂದಿಲ್ಲ,0
ಘಟನೆಯು  ಶಾಂತಿಯಂತೆ ಭಯಾನಕವಾಗಿತ್ತು,ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿತ್ತು,ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿರಲಿಲ್ಲ,1
ಆ ಚಾದರವು ಗಟ್ಟಿ ನೆಲದಂತೆ ಮೃದುವಾಗಿತ್ತು,ಆ ಚಾದರ ಮೃದುವಾಗಿತ್ತು,ಆ ಚಾದರ ಮೃದುವಾಗಿರಲಿಲ್ಲ,1
ಆ ಜನರು ಗೋಡ್ಸೆಯಂತೆ ಶಾಂತಿಪ್ರಿಯರು,ಆ ಜನರು ಶಾಂತಿಪ್ರಿಯರು,ಆ ಜನರು ಶಾಂತಿಪ್ರಿಯರಲ್ಲ,1
ನಮ್ಮ ಊರು ಕಾಡಿನಂತೆ ಕಡಿಮೆ ಜನಸಂಖ್ಯೆ ಹೊಂದಿದೆ,ನಮ್ಮ ಊರು ಕಡಿಮೆ ಜನಸಂಖ್ಯೆ ಹೊಂದಿದೆ,ನಮ್ಮ ಊರು ಕಡಿಮೆ ಜನಸಂಖ್ಯೆ ಹೊಂದಿಲ್ಲ,0
ಅವನು ತೆಳ್ಳಗಿನ ಮನುಷ್ಯನಂತೆ ಸಣ್ಣಗಿದ್ದಾನೆ,ಅವನು ಸಣ್ಣಗಿದ್ದಾನೆ,ಅವನು ಸಣ್ಣಗಿಲ್ಲ,0
ಆ ಘಟನೆ ಮಳೆಯಂತೆ ಸಾಮಾನ್ಯ,ಆ ಘಟನೆ ಸಾಮಾನ್ಯ,ಆ ಘಟನೆ ಸಾಮಾನ್ಯವಲ್ಲ,0
ಆ ಕಟ್ಟಡವು ತಾಜ್ ಮಹಲ್ನಂತೆ ಸುಂದರವಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಸುಂದರವಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಸುಂದರವಾಗಿಲ್ಲ,0
ಆ ಊರಿನಲ್ಲಿ ಸಿಮ್ಲಾದಷ್ಟು ಶೆಕೆ ಇತ್ತು,ಆ ಊರಿನಲ್ಲಿ ಶೆಕೆ ಇತ್ತು,ಆ ಊರಿನಲ್ಲಿ ಶೆಕೆ ಇಲ್ಲ,1
ಅದು ಟ್ರೆಕಿಂಗ್ ನಂತೆ ಸಾಹಸಮಯವಾಗಿತ್ತು,ಅದು ಸಾಹಸಮಯವಾಗಿತ್ತು,ಅದು ಸಾಹಸಮಯವಾಗಿರಲಿಲ್ಲ,0
ಅದು ಬಿರುಗಾಳಿಯಂತೆ ಬಿಸಿಯಾಗಿತ್ತು,ಅದು ತುಂಬಾ ಬಿಸಿಯಾಗಿತ್ತು,ಅದು ತಣ್ಣಗಿತ್ತು,1
ಆಕೆಯು ಗೃಹಿಣಿಯಂತೆ ಸರಳವಾಗಿರುವಳು,ಆಕೆಯು ಸರಳವಾಗಿರುವಳು,ಆಕೆಯು ಸರಳವಾಗಿಲ್ಲ,0
ಅವನ ನಗು ಮಗುವಿನಷ್ಟು ನಿಷ್ಕಲ್ಮಶವಾಗಿದೆ.,ಅವನ ನಗು ನಿಷ್ಕಲ್ಮಶವಾಗಿದೆ.,ಅವನ ನಗು ನಿಷ್ಕಲ್ಮಶವಾಗಿಲ್ಲ,0
ಅವನ ಡಾನ್ಸ್ ನಿದ್ದೆ ಬರೆಸುವಷ್ಟು ಆಕರ್ಷಕವಾಗಿತ್ತು,ಅವನ ಡಾನ್ಸ್ ಆಕರ್ಷಕವಾಗಿತ್ತು,ಅವನ ಡಾನ್ಸ್ ಆಕರ್ಷಕವಾಗಿಲ್ಲ,1
ಅದು ಬೇವಿಗಿಂತಲೂ ಕಹಿಯಾಗಿದೆ,ಅದು ಕಹಿಯಾಗಿತ್ತು,ಅದು ಸಿಹಿಯಾಗಿತ್ತು,0
ಆಕೆ ದೆವ್ವದಂತೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು,ಆಕೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು,ಆಕೆ ಪೂಜ್ಯನೀಯವಾಗಿಲ್ಲ,1
ಅವನ ಮಾತು ಸಂಗೀತದಂತೆ ಇಂಪಾಗಿತ್ತು,ಅವನ ಮಾತು ಇಂಪಾಗಿತ್ತು,ಅವನ ಮಾತು ಇಂಪಾಗಿಲ್ಲ,0
