startphrase,ending1,ending2,labels,x,y,z
The atmosphere of the kliwon market is like a cemetery,The atmosphere of the kliwon jan market is crowded,The atmosphere of the kliwon market is quiet,1,The atmosphere of the kliwon market,is like,a cemetery
Lekmu rides the car like a snail,Lekmu ride a slow car,Lekmu ride a fast car,0,Lekmu,rides the car like,a snail
Lekmu rides the car like a fool,Lekmu ride a slow car,Lekmu ride a fast car,1,Lekmu,rides the car like,a fool
Sitting on the chair feels like a pillow,Sitting in the chair feels soft,Sitting on the chair is hard,0,the chair,feels like,a pillow
Sitting on the chair felt like a stone,Sitting in the chair feels soft,Sitting on the chair is hard,1,the chair,felt like,a stone
It rained this morning like yesterday,It rained heavily in the morning,It was drizzling in the morning,0,,,
It rained in the morning like it was raining,It rained heavily in the morning,It was drizzling in the morning,1,It,rained in the morning like,it
Riding a bike to the mountain feels like riding a track,The whole bar is full of cheese,It feels good to ride a bicycle to Mount Boyok,0,the mountain,feels like riding,a track
The bike ride to Boyok Mountain feels like it has been embalmed for a day,The bike bar is full of cheese flavor,It feels good to ride a bicycle to Mount Boyok,1,The bike ride to Boyok Mountain,feels like it has been embalmed for,a day
"In general, Anas' younger brother said to the coconut tree",Anas's brother is very tall,Anas' younger brother is short,0,Anas ' younger brother,said to,the coconut tree
"In general, said Anas's brother from the palm tree",Anas's brother is very tall,Anas' younger brother is short,1,Anas 's brother from the palm tree,from,the palm tree
The light in my room is like a lamp,My room lights,The light in my room is dark,0,The light in my room,is like,a lamp
The light in my room is like a lamp,My room lights,The light in my room is dark,1,The light in my room,is like,a lamp
Mr. Edi ran away like a deer,Mr. Edi ran fast,Mr. Edi ran away,0,Mr. Edi,ran away like,a deer
Mr. Edi ran away like an ant,Mr. Edi runs fast,Mr. Edi ran away,1,Mr. Edi,ran away like,an ant
Dik Sri's teeth are eating cucumbers,Uncle Sri tata,At least Dik Sri is nervous,0,Dik Sri 's teeth,are eating,cucumbers
Dik Sri's teeth were bared,Uncle Sri tata,At least Dik Sri is nervous,1,,,
The behavior of the little boy is like a kitiran,The little boy couldn't keep quiet,The little boy is sleeping,0,The behavior of the little boy,is like,a kitiran
The behavior of the little boy is like a buffalo,The little boy couldn't keep quiet,The little boy is sleeping,1,The behavior of the little boy,is like,a buffalo
Mas Tono's face is like Arjuna,Mas Tono's face is handsome,Mas Tono's face is ugly,0,Mas Tono 's face,is like,Arjuna
Mas Tono's face is like Ravana,Mas Tono's face is handsome,Mas Tono's face is ugly,1,Mas Tono 's face,is like,Ravana
Rida's cheeks are as smooth as asphalt road,Rida's cheeks are soft,Rida's cheeks are rough from acne,0,Rida 's cheeks,are as smooth as,asphalt road
Rida's cheeks are as soft as the road to the grave,Rida's cheeks are soft,Rida's cheeks are rough from acne,1,Rida 's cheeks,are as soft as,the road to the grave
The weather this afternoon is like a trip to the desert,The weather is hot today,The weather is cold this afternoon,0,The weather,this afternoon is like,a trip to the desert
The weather this afternoon is like a trip to the poles,The weather is hot today,The weather is cold this afternoon,1,The weather,this afternoon is like,a trip to the poles
"Looking at Kartolo's posture, why is he so bold?",Kartolo is brave,Kartolo is afraid,0,Kartolo 's posture,", why is",he
Look at Kartolo's posture,Kartolo is brave,Kartolo is afraid,1,,,
"The condition of Mr. Sardi's house, which has just received help, is like rain",The condition of Pak Sardi's house is difficult,Mr. Sardi's house is happy,0,"The condition of Mr. Sardi 's house , which has just received help",", is like",rain
"The condition of Pak Sardi's house, which has just received help, is like raining money",The condition of Pak Sardi's house is difficult,Mr. Sardi's house is happy,1,,,
"If you make a Painem coffee drink, it's like being drunk",If you make a sweet Painem coffee drink,If you make a bitter Painem coffee drink,0,you,"make a Painem coffee drink ,",it
"If you make a Painem coffee drink, it's like being told",If you make a sweet Painem coffee drink,If you make a bitter Painem coffee drink,1,you,"make a Painem coffee drink ,",it
Good thing Paijo was saved from his nose like a firecracker,It's good that Paijo is helped with his pointed nose,It's good that Paijo helped his nose,0,Good thing,Paijo was saved from his nose like,a firecracker
Good thing Paijo was helped by his nose which was like a nose,It's good that Paijo is helped with his pointed nose,It's good that Paijo helped his nose,1,Paijo,was helped by,his nose which was like a nose
Mr. Hasan's refusal to give a donation is really like Chinese craki,Mr. Hasan refused to give a donation because he was a meditator,"Mr. Hasan is not willing to give a donation, it is a generous nature",0,Mr. Hasan 's refusal to give a donation,is really like,Chinese craki
Mr. Hasan's refusal to give a donation is like a blaba uda,Mr. Hasan refused to give a donation because he was a meditator,"Mr. Hasan is not willing to give a donation, it is a generous nature",1,Mr. Hasan 's refusal to give a donation,is like,a blaba uda
Allia works like a bull,Allia's work is very fast,Allia's work is very slow,0,Allia,works like,a bull
Allia worked like a hungry tiger,Allia's work is very fast,Allia's work is very slow,1,Allia,worked like,a hungry tiger
When Mr. Jemani and Paiman's relationship is like water and oil,During the relationship Mr. Jemani and Paiman could not get along,During the relationship Mr. Jemani and Paiman get along very well,0,Mr. Jemani and Paiman 's relationship,is like,water and oil
"When Mr. Jemani and Paiman interact, it's like mimi and mituna",During the relationship Mr. Jemani and Paiman could not get along,During the interaction Mr. Jemani and Paiman get along very well,1,Mr. Jemani and Paiman,"interact , it 's like",mimi and mituna
Sarti's writing jumejer has a blackboard like a cloud of coriander,Sarti's writing on a blackboard is very good,Sarti's writing on the blackboard is very bad,0,Sarti 's writing jumejer,has a blackboard like,a cloud of coriander
Sarti's writing jumejer has a blackboard like a chicken breast,Sarti's writing on a blackboard is very good,Sarti's writing on the blackboard is very bad,1,Sarti 's writing jumejer,has a blackboard like,a chicken breast
Selfi's hair from childhood is really like brintik crowbar,Selfi's hair has been straight since childhood,Selfi's hair was really curly since childhood,0,Selfi 's hair from childhood,is really like,brintik
Selfi's hair from childhood is really like cornflowers,Selfi's hair has been straight since childhood,Selfi's hair was really curly since childhood,1,Selfi 's hair from childhood,is really like,cornflowers
The batik fabric that I bought when I went to Klewer market was as thick as onion skin,The batik fabric bought at the klewer market is very thin,The batik fabric bought at the klewer market is very thick,0,The batik fabric that I bought when I went to Klewer market,was as thick as,onion skin
The batik fabric that I bought when I went to the Klewer market was as thick as tripe skin,The batik fabric bought at the klewer market is very thin,The batik fabric bought at the klewer market is very thick,1,The batik fabric that I bought when I went to the Klewer market,was as thick as,tripe skin
"Still in the morning, Ms. Marmi's condition is like a dark caterpillar","Still in the morning, Ms. Marmi Katon is frowning","It's still morning, Ms. Marmi's house looks calm",0,the morning,", Ms. Marmi 's condition is like",a dark caterpillar
"Still in the morning, Ms. Marmi's condition is like a sweet caterpillar","Still in the morning, Ms. Marmi Katon is frowning","It's still morning, but Ms. Marmi looks happy",1,the morning,", Ms. Marmi 's condition is like",a sweet caterpillar
Donut bread makes Narti look like it's hard to debog,Donut bread makes Narti very soft,Bread donuts make Narti very hard,0,Donut bread,makes Narti look like,it
Bread donuts make Narti feel like a lazy person,Donut bread makes Narti very soft,Bread donuts make Narti very hard,1,Bread donuts,make Narti feel like,a lazy person
The house that was built is as wide as a dove cage,The house he built is very big,The house that was built is narrow,0,The house that was built,is as wide as,a dove cage
The house he built is as wide as an ant's arm,The house he built is very big,The house that was built is narrow,1,The house he built,is as wide as,an ant 's arm
"When participating in the Bujangganong competition, Radit's behavior was flexible, because from the first grade, his mind was like an iron mentality","When participating in the Bujangganong competition, Radit's behavior was flexible, because from the first grade, his mind was strong","When participating in the Bujangganong competition, Radit's behavior was flexible, because he was mentally scared from the first grade",0,the Bujangganong competition,", Radit 's behavior was flexible , because from the first grade , his mind was like",an iron mentality
"When participating in the Bujangganong competition, Radit's behavior was flexible, because from the first grade, his mind was like tempeh","When participating in the Bujangganong competition, Radit's behavior was flexible, because from the first grade, his mind was strong","When participating in the Bujangganong competition, Radit's behavior was flexible, because he was mentally scared from the first grade",1,the Bujangganong competition,", Radit 's behavior was flexible , because from the first grade , his mind was like",tempeh
"After coming home from the sick house, Siti's face was still red","After coming home from the sick house, Siti's face was very pale","After coming home from the hospital, Siti's face was very bright",0,the sick house,",",Siti 's face
"After coming home from the sick house, Siti's face was still as red as a leaf","After coming home from the sick house, Siti's face was very pale","After coming home from the hospital, Siti's face was very bright",1,the sick house,", Siti 's face was still as red as",a leaf
Pakdhe's journey to Surabaya was as long as shining water,Uncle went to Surabaya very quickly,Uncle went to Surabaya for a long time,0,Pakdhe 's journey to Surabaya,was as long as,shining water
Pakdhe's trip to Surabaya was like shining honey,Uncle went to Surabaya very quickly,Uncle went to Surabaya for a long time,1,Pakdhe 's trip to Surabaya,was like,shining honey
Mango tastes like tamarind,It tastes like sour mango,It tastes like sweet mango,0,Mango,tastes like,tamarind
The taste of mango is like java sugar,It tastes like sour mango,It tastes like sweet mango,1,The taste of mango,is like,java sugar
His singing voice is like a gig,His singing voice is beautiful,His singing voice is terrible,0,His singing voice,is like,a gig
His singing voice is like a mesh exhaust,His singing voice is beautiful,His singing voice is terrible,1,His singing voice,is like,a mesh exhaust
Icha frowned,Flat forehead,Ica's forehead is very wide,0,,,
Icha frowned,Flat forehead,Ica's forehead is very wide,1,,,
"If you look at Sari's eyes, it's like you're dying",If you look at Sari's eyes,If you look at Sari's narrow eyes,0,you,,you
"If you look at Sari's eyes, it's like a liyep lindri",If you look at Sari's eyes,If you look at Sari's narrow eyes,1,you,"look at Sari 's eyes , it 's like",a liyep lindri
The swimming pool water is like spring water,The water of the swimming pool is clear,The water in the swimming pool is murky,0,The swimming pool water,is like,spring water
The swimming pool water is like battery water,The water of the swimming pool is clear,The water in the swimming pool is murky,1,The swimming pool water,is like,battery water
The way the mini bus runs is like a pair of panties,They are running mini buses,They are running mini buses,0,the mini bus runs,is like,a pair of panties
The way the mini bus runs is like a brush hitting the door,They are running mini buses,They are running mini buses,1,the mini bus runs,is like,a brush hitting the door
The land donated for the village field is as wide as a moringa leaf,The land donated for the village field is very narrow,The land donated for the village field is very large,0,The land donated for the village field,is as wide as,a moringa leaf
The land donated for the village field is as wide as the width of the leaves of tales,The land donated for the village field is very narrow,The land donated for the village field is very large,1,The land donated for the village field,is as wide as,the width of the leaves of tales
Surya's body when he was still in school was like a skinny watermelon,Surya's body was very fat when he was still in school,Surya's body was very thin when he was still in school,0,Surya 's body when he was still in school,was like,a skinny watermelon
Surya's body when he was still in school was like a fat date,Surya's body was very fat when he was still in school,Surya's body was very thin when he was still in school,1,Surya 's body when he was still in school,was like,a fat date
"If you sit there looking at yourself, you look like Dewi Sembadra","If you sit in front of yourself, your posture is very relaxed","If you are sitting in front of yourself, you will pay installments",0,you,"sit there looking at yourself , you look like",Dewi Sembadra
"If you sit there and work alone, you look like Buta Cakil","If you sit in front of yourself, your posture is very relaxed","If you are sitting in front of yourself, you will pay installments",1,you,"sit there and work alone , you look like",Buta Cakil
The sign is going to rain because the clouds are like blowing your nose,The sign is that it will rain because the clouds are very dark,It's a sign that it's going to rain because it's cloudy,0,The sign,is going to rain because,the clouds
It is a sign that it will rain because the clouds are like burning candles,The sign is that it will rain because the clouds are very dark,It's a sign that it's going to rain because it's cloudy,1,It,is a sign that it will rain because the clouds are like,burning candles
The price of red chili is sky high,The price of red chili is expensive,The price of red chili is cheap,0,The price of red chili,,red chili
The price of red chili peppers,The price of red chili is expensive,The price of red chili is cheap,1,red chili peppers,,red
The foundation of the house is like a tela tree,The foundation of the house collapses easily,The foundation of the house is strong,0,The foundation of the house,is like,a tela tree
The foundation of the house is like electricity,The foundation of the house collapses easily,The foundation of the house is strong,1,The foundation of the house,is like,electricity
The policeman's hair is like a coconut,The policeman's hair is bald,The policeman's hair is messy,0,The policeman 's hair,is like,a coconut
The policeman's hair is like a cat's hair,The policeman's hair is bald,The policeman's hair is messy,1,The policeman 's hair,is like,a cat 's hair
"On Sundays, if you can do the job of teaching the parrot to sing","On Sunday, if you can do work that is beneficial","On Sunday, if you can do useless work there is no benefit",0,Sundays,", if",you
"On Sundays, if you can do the work of swimming ducks","On Sunday, if you can do work that is beneficial","On Sunday, if you can do useless work there is no benefit",1,Sundays,", if you can do the work of",swimming ducks
My life with his life is like the sky,My life and his life are as different as the comparison of the sky,My life is very different from the life of the earth,0,My life with his life,is like,the sky
My life with his life has become like the earth,My life and his life are as different as the comparison of the sky,My life is very different from the life of the earth,1,My life with his life,has become like,the earth
His movements are like eels,It moves very quickly,It moves very slowly,0,His movements,are like,eels
His movements are like those of a snail,It moves very quickly,It moves very slowly,1,His movements,are like,those of a snail
The weather here is like a pole,The weather here is very cold,It's very hot here,0,The weather here,is like,a pole
The air here is like a desert,The weather here is very cold,It's very hot here,1,The air here,is like,a desert
Living in the big city is like living in heaven,Living in a big city is like living in a comfortable place,Living in a big city is like living in a small place,0,the big city,is like living in,heaven
Living in the big city is like living in hell,Living in a big city is like living in a comfortable place,Living in a big city is like living in a small place,1,the big city,is like living in,hell
"After wandering for a long time, he felt more humble","After traveling for a long time, the person became more humble","After wandering for a long time, the man's head got bigger",0,a long time,",",he
"After wandering for a long time, he felt more arrogant","After traveling for a long time, the person became more humble","After wandering for a long time, the man's head got bigger",1,a long time,",",he
The student is nicknamed the shrimp brain,The student has the nickname of a stupid person,The student has the nickname of a smart person,0,,,
The student has the nickname of thin brain,The student has the nickname of a stupid person,The student has the nickname of a smart person,1,The student,has the nickname of,thin brain
The house is like a palace,The house is very nice,The house is very ugly,0,The house,is like,a palace
The house is like a house,The house is very nice,The house is very ugly,1,The house,is like,a house
"Knowing that he got a bad grade, Abdi still has a big heart","I know I got a bad grade, Abdi is still proud","We know he got bad grades, Abdi still humble himself",0,he,"got a bad grade ,",Abdi
"Knowing that he got bad grades, Abdi remained small-hearted","I know I got a bad grade, Abdi is still proud","We know he got bad grades, Abdi still humble himself",1,he,"got bad grades ,",Abdi
The cloud is shaped like a ram,The shape of the cloud is very clean,The cloud looks like it's very dirty,0,The cloud,is shaped like,a ram
The cloud is shaped like a white sheep,The shape of the cloud is very clean,The cloud looks like it's very dirty,1,The cloud,is shaped like,a white sheep
The trial in the movie feels like a big side,The trial in the movie seems unfair,The trial in the movie feels like justice,0,The trial in the movie,feels like,a big side
The trial in the movie feels like a big one,The trial in the movie seems unfair,The trial in the movie feels like justice,1,The trial in the movie,feels like,a big one
That person eats like he hasn't eaten in 3 days,He ate like a hungry man,He ate like a full man,0,That person,eats like he has n't eaten in,3 days
He ate as if he was full,He ate like a hungry man,He ate like a full man,1,He,ate as if,he
Aldo is working like a machine,Aldo works very quickly,Aldo works very slowly,0,Aldo,is working like,a machine
Aldo works like a snail,Aldo works very quickly,Aldo works very slowly,1,Aldo,works like,a snail
The soldiers in the movie are fighting like lions,The soldier in the movie fought a very brave battle,The soldiers in the movie are very scared,0,The soldiers in the movie,are fighting like,lions
The soldiers in the movie are fighting like turtles,The soldiers in the movie fought a very brave battle,The soldiers in the movie are very scared,1,The soldiers in the movie,are fighting like,turtles
"Having worked in other countries for a long time, he has a character like a stone","Having worked in other countries for a long time, he has a very hard character","Having worked in other countries for a long time, he has a soft character",0,other countries,"for a long time , he has a character like",a stone
"Having worked in other countries for a long time, he has a character like tofu","Having worked in other countries for a long time, he has a very hard character","Having worked in other countries for a long time, that person has a soft character",1,other countries,"for a long time , he has a character like",tofu
"Judging by her behavior, Mr. Budi's daughter is like a solo princess","Judging by his behavior, Mr. Budi's son is gentle","Judging by his behavior, Mr. Budi's son is rude",0,her behavior,", Mr. Budi 's daughter is like",a solo princess
"Judging by his behavior, Mr. Budi's son is like a thug","Judging by his behavior, Mr. Budi's son is gentle","Judging by his behavior, Mr. Budi's son is rude",1,his behavior,", Mr. Budi 's son is like",a thug
The couple's marriage is like Romeo and Juliet,The couple's marriage seems to be very harmonious,The couple's marriage seems to be incompatible,0,The couple 's marriage,is like,Romeo and Juliet
A couple's marriage is like a dog and a cat,The couple's marriage seems to be very harmonious,The couple's marriage seems to be incompatible,1,A couple 's marriage,is like,a dog and a cat
Mr. Sutrisno's education is growing like rice,Mr. Sutrisno grew up with higher education and humbleness like rice,Mr. Sutrisno is getting more educated and arrogant like an empty barrel,0,Mr. Sutrisno 's education,is growing like,rice
Mr. Sutrisno's education is getting higher and higher like an empty barrel,Mr. Sutrisno grew up with higher education and humbleness like rice,Mr. Sutrisno is getting more educated and arrogant like an empty barrel,1,Mr. Sutrisno 's education,is getting higher and higher like,an empty barrel
My sister if you talk like Werkudara,My brother said that it was very rude,"My sister, if you speak like a gentle person",0,you,talk like,Werkudara
My brother if he talks like Puntadewa,My brother said that it was very rude,"My sister, if you speak like a gentle person",1,he,talks like,Puntadewa
A mother's patience with her children is like an ocean,A mother's patience with her children is very wide,A mother's patience with her children is very narrow,0,A mother 's patience with her children,is like,an ocean
A mother's patience with her children is like a moringa leaf,A mother's patience with her children is very wide,A mother's patience with her children is very narrow,1,A mother 's patience with her children,is like,a moringa leaf
"If you are sick, you are like the core of the earth","If you are sick, you are already very hot","If you are sick, you feel like you are very cold",0,you,"are sick , you are like",the core of the earth
"If you are sick, you are like a pole","If you are sick, you are already very hot","If you are sick, you feel like you are very cold",1,you,"are sick , you are like",a pole
Her face is like the sun,Her face is bright,Her face is sad,0,Her face,is like,the sun
Her face is like a cloud,Her face is bright,Her face is sad,1,Her face,is like,a cloud
The girl's skin is like snow,The girl's skin is white,The girl's skin is black,0,The girl 's skin,is like,snow
The girl's skin is like charcoal,The girl's skin is white,The girl's skin is black,1,The girl 's skin,is like,charcoal
The field is shaped like an ocean,The field is shaped like an ombo,The field is shaped like a narrow,0,The field,is shaped like,an ocean
The field is shaped like a pond,The field is shaped like an ombo,The field is shaped like a narrow,1,The field,is shaped like,a pond
He ran like a deer,It's like running too fast,It seems to be running very slowly,0,He,ran like,a deer
He ran like a turtle,It's like running too fast,It seems to be running very slowly,1,He,ran like,a turtle
Every holiday this house is like a market,"Every Eid, this house is very crowded","Every Eid, this house is very quiet",0,this house,is like,a market
"Every Eid, this house is like a graveyard","Every Eid, this house is very crowded","Every Eid, this house is very quiet",1,Every Eid,", this house is like",a graveyard
This building feels like a light tree,This building feels like a banyan tree,This building feels like a cassava tree,0,This building,feels like,a light tree
This building feels like a tela tree,This building feels like a banyan tree,This building feels like a cassava tree,1,This building,feels like,a tela tree
Grandpa's voice was like rain,Grandfather's voice is as melodious as ever,Grandfather's voice was like thunder,0,Grandpa 's voice,was like,rain
Grandfather's voice was like thunder,Grandfather's voice is as melodious as ever,Grandpa's voice was like thunder,1,Grandfather 's voice,was like,thunder
That girl is like a stone,"That girl is difficult to say, stubborn",The girl is when she is told to obey,0,That girl,is like,a stone
That girl is like water,"That girl is difficult to say, stubborn",The girl is when she is told to obey,1,That girl,is like,water
"This food tastes like five stars, but it costs five stars","This food tastes like five stars, but the price is very expensive","This food tastes like five stars, but the price is very cheap",0,This food,"tastes like five stars , but",it
"This food tastes like five stars, but it costs five feet","This food tastes like five stars, but the price is very expensive","This food tastes like five stars, but the price is very cheap",1,This food,"tastes like five stars , but",it
"Nardi how to brush, his teeth are like 24 karat gold","Nardi how to brush, his teeth are already very yellow","Nardi how to brush, his teeth are so white",0,his teeth,are like,24 karat gold
"Nardi how to brush, his teeth are like limestone","Nardi how to brush, his teeth are already very yellow","Nardi how to brush, his teeth are so white",1,his teeth,are like,limestone
"Mr. Danu, if he gets into trouble, he turns into a lion","Mr. Danu, if he gets into trouble, he turns into a ferocious lion","Mr. Danu, when he gets into trouble, he becomes calm like a cat",0,Mr. Danu,", if he gets into trouble , he turns into",a lion
"Mr. Danu, if he gets into trouble, he turns into a cat","Mr. Danu, if he gets into trouble, he turns into a ferocious lion","Mr. Danu, when he gets into trouble, he becomes calm like a cat",1,Mr. Danu,", if he gets into trouble , he turns into",a cat
She has a body like a Spanish guitar,Ms. e has a tall and slim body,She has a short and fat body,0,She,has a body like,a Spanish guitar
Ms. e has a body like a jar,She has a tall and slim body,She has a short and fat body,1,Ms. e,has a body like,a jar
"Having been educated, taught to succeed, the child is like a nut","Having been educated, taught to succeed, the child seems to have forgotten his origins","Having been educated, taught to succeed, the child is like he knows where he came from",0,the child,is like,a nut
"Having been educated, taught to succeed, the child is like a turtle","Having been educated, taught to succeed, the child seems to have forgotten his origins","Having been educated, taught to succeed, the child is like he knows where he came from",1,the child,is like,a turtle
Mother is angry like Mount Merapi,"Mother, when she is angry, it is like she wants to explode","Mother, if you are angry, it is like being calm",0,Mother,is angry like,Mount Merapi
Mother if you are angry like the sea,"Mother, when she is angry, it is like she wants to explode","Mother, if you are angry, it is like being calm",1,you,are angry like,the sea
The car is invisible,"The car is very rare, the way it is",The car is very easy to find,0,The car,is,invisible
Cars are the market,"The car is very rare, the way it is",The car is very easy to find,1,Cars,are,the market
Until it dances like a leaf,"When he dances, he is as flexible as a leaf",If you dance too hard like a robot,0,it,dances like,a leaf
If you dance like a robot,"When he dances, he is as flexible as a leaf",If you dance too stiffly like a robot,1,you,dance like,a robot
Have you eaten? Why are you acting like an angry bull?,Have you eaten? Why are you acting so angry?,Have you eaten? Why are you acting so weak?,0,you,eaten ? Why are you acting like,an angry bull
Have you eaten? Why are you acting like a hungry cat?,Have you eaten? Why are you acting so angry?,Have you eaten? Why are you acting so weak?,1,you,eaten ? Why are you acting like,a hungry cat
"When you grow up, you are not like a frog in a shell",People who have grown up should not be silent,People who grow up are free,0,you,"grow up , you are not like",a frog in a shell
People when they grow up are like swallows,People who have grown up should not be silent,People who grow up are free,1,People when they grow up,are like,swallows
The motorcycle is like a jet,The motorcycle is very fast,The motorcycle is very slow to ride,0,The motorcycle,is like,a jet
The motorcycle is like a dokar if you ride it,The motorcycle is very fast,The motorcycle is very slow to ride,1,The motorcycle,is like a dokar if,you
"At school, Andi is the star of the class","At school, Andi is the class champion","At school, Andi is the lowest ranked",0,school,", Andi is the star of",the class
"At school, Andi is the class keeper","At school, Andi is the class champion","At school, Andi is the lowest ranked",1,school,",",Andi
Aldi and Doni are friends who are like a chain,Aldi and Doni are friends who are as strong as a chain,Aldi and Doni are friends who are as fragile and thin as strings,0,Aldi and Doni,are friends who are like,a chain
Aldi and Doni are close friends,Aldi and Doni are friends who are as strong as a chain,Aldi and Doni are friends who are as fragile and thin as strings,1,Aldi and Doni,are,close friends
The examiner has eyes like an eagle,The supervisor of the exam has a very watchful eye like an eagle,The supervisor of the exam has myopic eyes like an old man,0,The examiner,has eyes like,an eagle
The examiner has eyes like a lion,The supervisor of the exam has a very watchful eye like an eagle,The supervisor of the exam has myopic eyes like an old man,1,The examiner,has eyes like,a lion
That person's skin is like a baby's skin,His skin is as soft as a baby's skin,That person's skin is as rough as a man's skin,0,That person 's skin,is like,a baby 's skin
That person's skin is like a man's skin,His skin is as soft as a baby's skin,That person's skin is as rough as a man's skin,1,That person 's skin,is like,a man 's skin
The girl's future is like daylight,The girl's future is very bright,The girl's future is dark,0,The girl 's future,is like,daylight
The girl's future is like night,The girl's future is very bright,The girl's future is dark,1,The girl 's future,is like,night
Your attitude is like the sun,Your attitude is as friendly as the sun,Your attitude is as cold as ice,0,Your attitude,is like,the sun
Your attitude is like an ice cube,Your attitude is as friendly as the sun,Your attitude is as cold as ice,1,Your attitude,is like,an ice cube
Doni's younger brother is like an elephant,Doni's younger brother is as tall as an elephant,Doni's younger brother is very small like an ant,0,Doni 's younger brother,is like,an elephant
Doni's younger brother is like an ant,Doni's younger brother is as tall as an elephant,Doni's younger brother is very small like an ant,1,Doni 's younger brother,is like,an ant
"If you look at it, Mr. Guru's attitude is like water in a taro leaf","If you look at it, Mr. Guru's attitude is easy to change","If you look at it, Mr. Guru's attitude is firm",0,you,"look at it , Mr. Guru 's attitude is like",water in a taro leaf
"If you look at it, Mr. Guru's attitude is like a stone","If you look at it, Mr. Guru's attitude is easy to change","If you look at it, Mr. Guru's attitude is firm",1,you,"look at it , Mr. Guru 's attitude is like",a stone
His laugh is like Javanese sugar,His laugh is as sweet as sugar,His laugh is as bitter as coffee,0,His laugh,is like,Javanese sugar
His laugh is like coffee,His laugh is as sweet as sugar,His laugh is as bitter as coffee,1,His laugh,is like,coffee
The couple is like water and oil,The couple is seen as not suitable,The couple looks like a perfect match,0,The couple,is like,water and oil
The couple is like a forest and rain,The couple is seen as not suitable,The couple looks like a perfect match,1,The couple,is like,a forest and rain
Her hair was like silk,Her hair was soft and straight like silk,Her hair was wavy and curly like wool,0,Her hair,was like,silk
Her hair is like wool,Her hair was soft and straight like silk,Her hair was wavy and curly like wool,1,Her hair,is like,wool
Life is like stopping for a drink,This life is short,Live this life however long it takes,0,Life,is like stopping for,a drink
Life is like walking away,This life is short,Live this life however long it takes,1,Life,is like walking,away
The boy found the house as if it was closed,The boy found a suitable home,The boy found the house unsuitable,0,The boy,found the house as if,it
The boy found the house like a knife,The boy found a suitable home,The boy found the house unsuitable,1,The boy,found the house like,a knife
The taste of alcoholic drinks is like the bitterness of honey,The taste of alcoholic drinks is very sweet,The taste of alcoholic drinks is very bitter,0,The taste of alcoholic drinks,is like,the bitterness of honey
The taste of alcohol is like poison,The taste of alcoholic drinks is very sweet,The taste of alcoholic drinks is very bitter,1,The taste of alcohol,is like,poison
The twin boys have a face like the earth and the sky,The twin boys have different faces,The twins have the same face,0,The twin boys,have a face like,the earth and
The twin boys have a face like split bamboo,The twin boys have different faces,The twins have the same face,1,The twin boys,have a face like,split bamboo
It's true that being a policeman is like a midget reaching for the stars,It's true that being a police officer is difficult,Being a police officer is really easy,0,It,'s true that being a policeman is like,a midget reaching for the stars
Being a police officer is like finding gold in your own home,It's true that being a police officer is difficult,Being a police officer is really easy,1,your own home,e officer is like finding,gold
"Being the headman's son, his life is like a gold necklace","Being the son of the chief, his life is comfortable","Being the headman's son, his life is sara",0,his life,is like,a gold necklace
"Being the son of the headman, his life is like an iron necklace","Being the son of the chief, his life is comfortable","Being the headman's son, his life is sara",1,the headman,", his life is like",an iron necklace
"This morning, the weather in Jogja is like water",The weather in Jogja is hot this morning,The weather in Jogja is cold this morning,0,the weather in Jogja,is like,water
