startphrase,ending1,ending2,labels,x,y,z
Fadeke's hands are as small as those of my brother who sells Cocoa,Fadeke has a lot of money,Poor Fadekh,0,Fadeke 's hands,are as small as,those of my brother who sells Cocoa
Fadek's hand has touched the bottom of the bag like that of my brother who sells cocoa,Fadeke has a lot of money,Poor Fadekh,1,Fadek 's hand,has touched the bottom of,the bag like that of my brother who sells cocoa
All the cities have agreed that Aremu is the only city,Aremu is a famous person,No one knows Aremu,0,All the cities,have agreed that,Aremu
All cities do not agree that Aremu is a single city,Aremu is a famous person,No one knows Aremu,1,All cities,do not agree that,Aremu
The soup that Abeni cooks off covers i euro,The soup was not tasty,The soup was delicious,1,The soup that Abeni cooks off,covers,i
The soup that Abeni cooks is like douyin,The soup was not tasty,The soup was delicious,0,that,Abeni cooks is like,douyin
Everyone you associate with is a liar,They are thieves,They are not thieves,1,Everyone you associate with,,you
All the people you are friends with are free,They are thieves,They are not thieves,0,All the people you are friends with,,you
"It's raining, but it can't stop the thirst",He is lazy though,But in Akinkanju,0,It,"'s raining , but",it
"However, he was brave enough to die",He is lazy though,But in Akinkanju,1,he,was,brave enough to die
There is a fire in Álamú's heart,Alam is not in a hurry,Don't walk in confusion,1,Álamú 's heart,,a fire in Álamú 's heart
Álamú is the king in our family,Alam is not in a hurry,Don't walk in confusion,0,Álamú,is the king in,our family
Bolaji's color is like that of a heart,Bolaji's skin is bright,Bolaji's color has faded,0,Bolaji 's color,is like,that of a heart
Bolaji's color looks like that of a bat,Bolaji's skin is bright,Bolaji's color has faded,1,Bolaji 's color,looks like,that of a bat
The venom of our teachers is like that of a snake,Our teachers are very bad,The teachers are not bad,1,The venom of our teachers,is like,that of a snake
Our teachers have no problems,Our teachers are very bad,The teachers are not bad,0,Our teachers,have,no problems
Honey is the food we ate yesterday,The food we ate yesterday was very tasty,The food we ate yesterday was not good at all,0,Honey,is the food,we
What is the food we ate yesterday?,The food we ate yesterday was very tasty,The food we ate yesterday was not good at all,1,the food we ate yesterday,,we
Abike has a clear understanding of midwifery and foreign doctors,Abike knows midwifery well,Abike does not know midwifery at all,0,Abike,has a clear understanding of,midwifery and foreign doctors
Abike has a brief understanding of midwifery and foreign doctors,Abike knows midwifery well,Abike does not know midwifery at all,1,Abike,has a brief understanding of,midwifery and foreign doctors
The clothes he wears are as old as the person who put them in the washing machine,The white clothes he was wearing were dirty,A very clean white dress,1,The clothes he wears,are as old as,the person who put them in the washing machine
There are no clothes that are cleaner than the ones I just washed this morning.,The white clothes he was wearing were dirty,A very clean white dress,0,that,are cleaner than,the ones I just washed this morning
"Today is Ojo, we all know that",Crazy is Ójó,Drunk is not crazy,1,we all,know,that
We all know that Ojo is a fisherman,Crazy is Ójó,Drunkenness is not madness,0,We all,know that,Ojo
Inside the exam room was a dead silence,There was no noise in the exam room,There was too much noise in the exam room,0,the exam room,was,a dead silence
Inside the test room was the Osodi market,There was no noise in the exam room,There was too much noise in the exam room,1,the test room,was,the Osodi market
All the grandmother's body was inside the house like a dead body in the snow,The grandmother was cold,Night took the grandmother,0,All the grandmother 's body,was inside the house like,a dead body in the snow
All the grandmother's body is not really in the house,The grandmother was cold,Night took the grandmother,1,All the grandmother 's body,is not really in,the house
Alamu saw the sea singing when he was coming home from work,Alam saw the sea raging,Alam saw the calm sea,0,Alamu,saw the sea singing when he was coming home from,work
Alamu saw the burning sea when he was coming home from work,Alam saw the sea raging,Alam saw the calm sea,1,Alamu,saw the burning sea when he was coming home from,work
It is the farmer who has all the children born from the tree,The farmer has picked all the fruit on the tree,The farmer did not pick any fruit from the tree,0,It,is the farmer who has all the children born from,the tree
The farmer killed all the children that the tree gave birth to yesterday,The farmer has picked all the fruit on the tree,The farmer did not pick any fruit from the tree,1,The farmer,killed all the children that the tree gave birth to,yesterday
Lakiriboto is the sister whom the boss has just hired,The sister is not in sight,Sister in the eyes of the body,1,Lakiriboto,is the sister whom,the boss
The sister that the boss has just hired is a child,The sister is not in sight,Sister in the eyes of the body,0,The sister that the boss has just hired,,the boss
Ashabi was barren for 30 years,Ashabib is not as soft as 30 sounds,A woman gives birth to many children for thirty years,1,Ashabi,was barren for,30 years
Ashabi was a mother for 30 years,Ashabib is not as soft as 30 sounds,A woman gives birth to many children for thirty years,0,Ashabi,was a mother for,30 years
"From a young age, Idodowu was a hunter like his father",Idowu has been very old in hunting,Yellow just started hunting,0,a young age,", Idodowu was a hunter like",his father
"Since childhood, Idowwu has not been interested in hunting",Idowu has been very old in hunting,Yellow just started hunting,1,childhood,",",Idowwu
The head of Gbádébo was born on the top of the hill,The head of Gbadob is very big,Ori Gbadebol is not big,1,The head of Gbádébo,was born on,the top of the hill
Ori Gbádébo has never seen the top of a mountain,The head of Gbadob is very big,Ori Gbadebol is not big,0,Ori Gbádébo,has never seen the top of,a mountain
Bolaji's feet were as long as Oranmiyan's staff,Boláji's legs are very long,Boláji feet are very small,1,Bolaji 's feet,were as long as,Oranmiyan 's staff
Bolaji's feet are as beautiful as those of a child,Boláji's legs are very long,Boláji feet are very small,0,Bolaji 's feet,are as beautiful as,those of a child
His Yoruba language is similar to that of the people of Oyo,He speaks the Yoruba language well,He does not speak Yoruba language at all,0,His Yoruba language,is similar to,that of the people of Oyo
His Yoruba language is not as good as that of Egun,He speaks the Yoruba language well,He does not speak Yoruba language at all,1,His Yoruba language,is not as good as,that of Egun
The saddle was full of water,The chair is just right,The chair is not affected,0,The saddle,was full of,water
The saddle is as bitter as yesterday's water,The chair is just right,The chair is not affected,1,The saddle,is as bitter as,yesterday 's water
His teeth were as white as a dove's,Your teeth are clean,His teeth are dirty,0,His teeth,were as white as,a dove 's
His teeth are not as white as a dove's,Your teeth are clean,His teeth are dirty,1,His teeth,are not as white as,a dove 's
Adékunle was like a lizard,Adékunlé's head is ripe,Adékunlé's head is not ripe,0,Adékunle,was like,a lizard
Adékunlé has broken his head where he went to fight,Adékunlé's head is ripe,Adékunlé's head is not ripe,1,Adékunlé,has broken his,he
The bolatitó is an elephant's coat,Bolatito is always alone,Bolatito is always with many people,1,The bolatitó,is,an elephant 's coat
Bolatito is kind,Bolatito is always alone,Bolatito is always with many people,0,Bolatito,is,kind
Ajani is a heavenly person,Ajani is cursed,A curse is not a curse,0,Ajani,is,a heavenly person
The killer is not a heavenly person,Ajani is cursed,A curse is not a curse,1,The killer,is not,a heavenly person
Abeke is a paramole,No one knows what Abeke does,We all know the action of Abeke,1,Abeke,is,a paramole
Abeke is not Paramole,No one knows what Abeke does,We all know the action of Abeke,0,Abeke,is not,Paramole
A cage is a bird's mouth,A car always spoils a person,A car always kisses and sings,1,A cage,is,a bird 's mouth
Agbekek is a prayerful person,A car always spoils a person,A car makes people love you,0,Agbekek,is,a prayerful person
"My son listens to Giá, he learns how to use a shell as he opens our door.",The child knows Ifá very well,They have written Ifá for the child in a book,0,My son,"listens to Giá ,",he
The child does not know anything about Ifá,The child knows Ifá very well,They have written Ifá for the child in a book,1,The child,does not know anything about,Ifá
Akara Gbadegeghin and his younger brother are separated like their father who is in prison,The secret of Gbadégégin and his younger brother has been revealed,The secret of Gbádégégin and the younger brother is covered,0,Akara Gbadegeghin and his younger brother,are separated like,their father who is in prison
Akara Gbadégeşin and his younger brother did not get along,The secret of Gbadégégin and his younger brother has been revealed,The secret of Gbádégégin and the younger brother is covered,1,Akara Gbadégeşin and his younger brother,did not get,along
Abeni made a variety of soups yesterday as well as those who are cooking,Abeni made different kinds of soup yesterday,Abeni did not cook different kinds of soup yesterday,0,Abeni,made a variety of soups yesterday as well as those,who
He made a variety of soup that was not tasty yesterday.,Abeni made different kinds of soup yesterday,Abeni did not cook different kinds of soup yesterday,1,He,made a variety of soup,that
The sky was pregnant with about eleven cups of water before giving birth,It rained yesterday until eleven o'clock before it rained,Ò Ò nha did not dry up and did not rain at eleven cups,0,The sky,was pregnant with,about eleven cups of water
The sky is not pregnant with water,It rained yesterday until eleven o'clock before it rained,Ò Ò nha did not dry up and did not rain at eleven cups,1,The sky,is not pregnant with,water
Yesterday's sun hurt people like a fire,Yesterday's sun was very hot,Yesterday's sun did not shine at all,1,Yesterday 's sun,hurt people like,a fire
Yesterday's sun did not hurt people,Yesterday's sun was very hot,Yesterday's sun did not shine at all,0,Yesterday 's sun,did not hurt,people
"Yemi's eyes can be like the eyes of a criminal, no one can talk to him",Yemi's eyes are very hard,Yemi's face is not hard at all,1,Yemi 's eyes,"can be like the eyes of a criminal , no one can talk to",him
Yemi's eyes are what brides want to see,Yemi's eyes are very hard,Yemi's face is not hard at all,0,Yemi 's eyes,are what,brides
Titilayo's clothing is like a playsuit,Titilayao's clothes are not good at all,Titilayao clothes are very good,1,Titilayo 's clothing,is like,a playsuit
Titilayo's clothes are like the clothes of the king of the house of love,Titilayao's clothes are not good at all,Titilayao clothes are very good,0,Titilayo 's clothes,are like,the clothes of the king of the house of love
Adolabi is a leper,An adult cannot live among people,Twins can live among people,1,Adolabi,is,a leper
A leper is not a leper,An adult cannot live among people,Twins can live among people,0,A leper,is not,a leper
Adé screamed like a dog bitten man,The crown is very loud,Adé did not shout at all,1,Adé,screamed like,a dog
Adé is screaming like a lion who is about to leave,The crown is very loud,Adé did not shout at all,0,Adé,is screaming like,a lion who is about to leave
Adisa drank a hundred bottles of water before going to school this morning,The wheat harvests a lot of water,Adisa is cooked in a little water,0,Adisa,drank a hundred bottles of,water
Adisa drank only one glass of water before going to school this morning,The wheat harvests a lot of water,Adisa is cooked in a little water,1,Adisa,drank only one glass of,water
The contestant ran like the wind,The contestant knows the game very well,The candidate did not run if he wanted to,0,The contestant,ran like,the wind
The contestant ran like fire,The contestant knows the game very well,The candidate did not run if he wanted to,1,The contestant,ran like,fire
The bag was as heavy as a bag full of large stones,The bag is very heavy,The bag is small,0,The bag,was as heavy as,a bag full of large stones
The bag is not heavy at all,The bag is very heavy,The bag is small,1,The bag,is not,heavy at all
His lips were black like the lips of a weeder,His lips are too dark,Her lips are red,1,His lips,were black like,the lips of a weeder
His lips are not black like the lips of one who pulls a forest,His lips are too dark,Her lips are red,0,His lips,are not black like,the lips of one who pulls a forest
Folarin eats like a pig,Folarin doesn't eat the language,Folarin played with the pig,1,Folarin,eats like,a pig
Folarin does not eat like a pig,Folarin doesn't eat the language,Folarin played with the pig,0,Folarin,does not eat like,a pig
"Ayomide was twelve years old, and she was walking like a pregnant woman giving birth.",Ayomide was unable to walk properly after the 12th birthday,Ayomide walked well behind the twelve bowls,1,Ayomide,"was twelve years old , and she was walking like",a pregnant woman giving birth
"Ayomide can't handle two hundred pages, and he doesn't know what to do",Ayomide was unable to walk properly after the 12th birthday,Ayomide walked well behind the twelve bowls,0,Ayomide,"ca n't handle two hundred pages , and",he
Dasofunjo is rich,Elégún is Dánshofunjó,Dánshofunjó is the drummer,0,Dasofunjo,is,rich
Dásofunjó is a dancer,Elégún is Dánshofunjó,Dánshofunjó is the drummer,1,Dásofunjó,is,a dancer
The tree with which the snake was killed turned into a weed tree,The tree is very big,The tree is not very big,0,The tree with which the snake was killed,turned into,a weed tree
The tree with which the snake was killed spoke,The tree is very big,The tree is not very big,1,the tree,,spoke
Bolaj's mother said that Bolaj's father's son looked like a baby,The son of Bolaj's father is too young,The son of Bolaj's father is too big,0,Bolaj 's mother,said that Bolaj 's father 's son looked like,a baby
Bolaj's mother said that Bolaj's father's son is doing well,The son of Bolaj's father is too young,The son of Bolaj's father is too big,1,Bolaj 's mother,said that,Bolaj 's father 's son
Dress me in knowledge like a wise man Enter Shoyinka,I want to have the knowledge of Prof. Wholele Shoyinka,Prof. Walole Shoyinka does not have the knowledge that I have,0,knowledge,like,a wise man Enter Shoyinka
My father is Professor Walole Shoyinka,I want to have the knowledge of Prof. Wholele Shoyinka,Prof. Walole Shoyinka does not have the knowledge that I have,1,My father,is,Professor Walole Shoyinka
The six-year-old boy was born into a privileged family,The six-year-old knows the city very well,The six-year-old child is completely unfamiliar with the city,0,The six - year - old boy,was born into,a privileged family
The six-year-old boy was born to a chosen family,The six-year-old knows the city very well,The six-year-old child is completely unfamiliar with the city,1,The six - year - old boy,was born to,a chosen family
Adédoyin's love is not like wine,I really love Adédoyin,I don't like Adédoyin at all,0,Adédoyin 's love,is not like,wine
My Adédoyin love,I really love Adédoyin,I don't like Adédoyin at all,1,,,
Underneath he puts on clothes like a person who has a cold,He wears a lot of clothes,Underneath wear some clothes,0,he,puts on clothes like,a person who has a cold
He put on the new clothes he bought,He wears a lot of clothes,Underneath wear some clothes,1,He,put on the new clothes,he
The world does not go away like a gun,The world does not go away overnight,There is only one way,0,The world,does not go away like,a gun
The world is like a star,The world does not go away overnight,There is only one way,1,The world,is like,a star
Happiness has just begun to climb the ladder of your happiness,Happiness that makes you happy,Addinní has ​​a bad head,0,Happiness,has just begun to climb the ladder of,your happiness
Your use has just started to get better,Happiness that makes you happy,Addinní has ​​a bad head,1,Your use,has just started to get,better
He later failed the final exam,Finally succeeded,Finally it was empty,0,He,later failed,the final exam
"After that, I got stuck in the final exam",Finally succeeded,Finally it was empty,1,that,", I got stuck in",the final exam
"However, I fell asleep because the dog was killed by the family",But I quickly went up and down,But only once,0,I,fell asleep because the dog was killed by,the family
But he didn't know.,But I quickly went up and down,But only once,1,,,
Ashake sat on the chair as if he had been stabbed,The car does not sit well,Asakek sits retired,0,Ashake,sat on the chair as if,he
Ashaka broke the chair he had just bought,The car does not sit well,Asakek sits retired,1,Ashaka,broke the chair,he
The blade's eyes are like the eyes of a bat,Óè's face is not beautiful,They put a smile on Ige's mouth,1,The blade 's eyes,are like,the eyes of a bat
Oju Igè was full of laughter and joy,Óè's face is not beautiful,They put a smile on Ige's face,0,Oju Igè,was full of,laughter and joy
It caught fire like a car fire,He was staring,He was laughing at her,0,It,caught fire like,a car fire
He blinked and saw nothing,He was staring,He was laughing at her,1,He,blinked and saw,nothing
Folarin's eyes widened,Folarin's face was broken,He was able to see clearly,0,Folarin's eyes,,widened
Folarin's eyes are too big,Folarin's face was broken,He was able to see clearly,1,Folarin 's eyes,are,too big
Bolabaythin used to walk with three feet like the giants,The boy walks with a stick,The bowler is playing with a stick,0,Bolabaythin,used to walk with three feet like,the giants
Bolabaithin is walking with his broken feet,The boy walks with a stick,The bowler is playing with a stick,1,Bolabaithin,is walking with,his broken feet
The fever was almost deafening,The fever subsided,The fever is severe,0,The fever,was,almost
The fever was heavy like a stone,The fever subsided,The fever is severe,1,The fever,was heavy like,a stone
The reason for the students to remove the dust is like the hot water in the exam room,The test was watered down,The test is simple,0,The reason for the students to remove the dust,is like,the hot water in the exam room
Students sleep soundly in the exam room,The test was watered down,The test is simple,1,Students,sleep soundly in,the exam room
Adébetet spat loudly while arguing with Mande's friend,Adegbete was angry when he was talking to his friend,Adegbete laughed con nit ba ty as he dreamed of his friend talking,0,Mande 's friend,,loudly
Adégbette burst into tears while arguing with Makinde's friend,Adegbete was angry when he was talking to his friend,Adegbete laughed con nit ba ty as he dreamed of his friend talking,1,Adégbette,burst into tears while arguing with,Makinde 's friend
The driver died at the scene of the car accident,The brother is dead,The brother looked for a way out,1,The driver,died at,the scene of the car accident
The traveler bought a new car,The brother is dead,The brother looked for a way out,0,The traveler,bought,a new car
Simisola's brother saw the birth of Adigun who did not leave the ground,Simsola's brother is not tall,Uncle Simsola went to sleep,1,Simisola 's brother,saw the birth of Adigun,who
Simisola's older brother has married Adigun's beautiful younger sister,Simsola's brother is not tall,Uncle Simsola went to sleep,0,Simisola 's older brother,has married,Adigun 's beautiful younger sister
"Eesuola and his friends will immediately take a bag, and the police will take them",Eesuola and his friends are fighting,Eesuola and his friends played around,1,Eesuola and his friends,"will immediately take a bag , and",the police
Eesula and her friends will dress beautifully and alike,Eesuola and his friends are fighting,Eesuola and his friends played around,0,Eesula and her friends,will dress,beautifully and alike
"The palace he never saw was King Ooni's palace, the house of love",The airport is beautiful,The airport was demolished,0,The palace he never saw,"was King Ooni 's palace , the house of",love
The palace he built has collapsed,The airport is beautiful,The airport was demolished,1,The palace he built,,he
His age is older than the age of a tortoise,You are very old,It is very small,0,His age,is older than,the age of a tortoise
His age is less than the age of a tortoise,You are very old,It is very small,1,His age,is less than,the age of a tortoise
Adisa drank 30 bottles of wine at the wine house yesterday,Adisa drank a lot of wine,Addisá took a small wine,0,Adisa,drank 30 bottles of wine at,the wine house
Adisa did not drink wine at all at the wine house yesterday,Adisa drank a lot of wine,Addisá took a small wine,1,Adisa,did not drink wine at all at,the wine house
A hunter who knows how to hunt is as good as a hunter,Odeshola knows the job of the hunter very well,A hunter plays with hunting,0,A hunter who knows how to hunt,is as good as,a hunter
Odeshola does not know what they call hunting.,Odeshola knows the job of the hunter very well,A hunter plays with hunting,1,Odeshola,does not know what,they
He who has good ears gets his money back like the sinners,He is getting his money back very little,He made a charitable donation with his money,0,He who has good ears,gets his money back like,the sinners
He who has a good ear does not get his money back,He is getting his money back very little,He made a charitable donation with his money,1,He who has a good ear,,who
The lawyer has been exposed to the curse of the matter in court,The lawyer has disclosed the matter,The lawyer is tired of the trial,0,The lawyer,has been exposed to,the curse of the matter in court
The lawyer did not say who was guilty,The lawyer has disclosed the matter,The lawyer is tired of the trial,1,The lawyer,did not say,who
The idea that was in the market was full of excitement yesterday,There are many people in the market,There are only three in the market,0,The idea that was in the market,was full of,excitement
The people who were in the market used the police to take the father of the market yesterday,There are many people in the market,There are only three in the market,1,,,
Fadék's heart has returned to me like yesterday after all our fights,Fadek has returned to Darji,Fadek is angry with me again,0,Fadék 's heart,has returned to me like yesterday after,all our fights
Fadek has returned as a twin after all our fights,Fadek has returned to Darji,Fadek is angry with me again,1,Fadek,has returned as a twin after,all our fights
A finger does not touch these children anymore,The children wandered around,The children are sitting somewhere,0,A finger,does not touch these children,anymore
These children have gone to the banana plantation,The children wandered around,The children are sitting somewhere,1,These children,have gone to,the banana plantation
He was sentenced to 11 years in prison on the charges against him.,They were sentenced to 11 years in prison,He advertises in court,1,He,was sentenced to 11 years in prison on,the charges against him
After eleven years in prison he was released,They were sentenced to 11 years in prison,He advertises in court,0,eleven years in prison,,he
Look at how Adénuga climbs trees like a monkey,Adénuga cut the tree well,Adénúga sleeps on a tree,1,Adénuga,climbs trees like,a monkey
Adénuga loves how monkeys climb trees,Adénuga cut the tree well,Adénúga sleeps on a tree,0,Adénuga,loves how,monkeys
It was Tiféladé's mouth that gave birth to him,Tifalade is exaggerating,Tifalade is not difficult,0,It,was Tiféladé 's mouth that gave birth to,him
Tifalade did not know how they were flattered,Tifalade is exaggerating,Tifalade is not difficult,1,Tifalade,did not know how,they
Why does Adesina act like a fool?,Adesinna likes childish behavior,Adesina likes not to go fast,1,Adesina,act like,a fool
Why did Adésina buy a new house?,Adesinna likes childish behavior,Adesina likes not to go fast,0,Adésina,buy,a new house
Look how Álaó stands still like the water of a river lake,Álaó did not leave one face,Álaó is walking around,1,Álaó,stands still like,the water of a river lake
Look how Álaó stands like a King,Álaó did not leave one face,Álaó is walking around,0,Álaó,stands like,a King
The thieves surrendered when they called the police,The thieves fled,The robbers took out their guns,0,The thieves,surrendered when,they
These thieves are the ones who killed the policemen,The thieves fled,The robbers took out their guns,1,These thieves,are the ones,who
It's been a week since Woléola has been in prison,It had been a long time since the Reverend had been in the room,The lady just entered the room,1,It,'s been a week since Woléola has been in,prison
It has only been a week since His Highness went to the king's city,It had been a long time since the Reverend had been in the room,The lady just entered the room,0,It,has only been a week since His Highness went to,the king 's city
The hunter obeys all the elders of the hunter like him who is not trained as a hunter,The hunter did not greet the old hunters well,The hunter shouted at the hunters,0,The hunter,obeys all the elders of the hunter like him who is not trained as,a hunter
Odewanmi cursed all the old hunters who were sitting,The hunter did not greet the old hunters well,The hunter shouted at the hunters,1,Odewanmi,cursed all the old hunters,who
Adenifuja is the oldest in our group,Adenifuja is not our member,The leader of our group is Adenifujja,0,Adenifuja,is the oldest in,our group
Adenifuja is not an Ogreri in our group,Adenifuja is not our member,The leader of our group is Adenifujja,1,Adenifuja,is not an Ogreri in,our group
Boláji was beaten as soon as he was the thief,They beat Bolaj very much,They took Bolaj out,1,Boláji,was beaten as soon as,he
They brought delicious food for Bolaji,They beat Bolaj very much,They took Bolaj out,0,They,brought delicious food for,Bolaji
The brother wanted to leave and kill the King of Aláfin,The brother wanted many wives,The brother wanted only one wife,0,The brother,wanted to leave and kill the King of,Aláfin
The brother wanted to be beautiful,The brother wanted many wives,The brother wanted only one wife,1,The brother,wanted to be,beautiful
There were 200 people in the stadium who wanted to play the Nigerian football team.,There were many people in the stadium,There were only six people in the stadium,0,the stadium,,who
People in the stadium who are about to play football,There were many people in the stadium,There were only six people in the stadium,1,the stadium,,who
Nigeria's ambassadors are stronger than ever at the World Cup,Nigeria did well at the World Cup,Nigeria's team made a mistake at the World Cup,0,Nigeria 's ambassadors,are stronger than ever at,the World Cup
The Nigerian ambassadors have won the World Cup,Nigeria did well at the World Cup,Nigeria's team made a mistake at the World Cup,1,The Nigerian ambassadors,have won,the World Cup
The ear of the merchant is like the ear of an owl,The merchant's ears are very large,The merchant's ears are very small,1,The ear of the merchant,is like,the ear of an owl
The marketer's ears are well-heard,The merchant's ears are very large,The merchant's ears are very small,0,The marketer 's ears,are,well - heard
Aderemi made Arimom like a soap when they fought a fight yesterday,Aderemi and Arimor at the wrestling match yesterday,Aderemi played with Arimo at the wrestling match yesterday,1,Aderemi,made Arimom like a soap when,they
Aderemi took Arimo to the king yesterday,Aderemi and Arimor at the wrestling match yesterday,Aderemi played with Arimo at the wrestling match yesterday,0,Aderemi,took Arimo to,the king
Aremu is swimming in the river of God's love,Aremu has been loving God,Aremu went to fetch water for Omoshalewa from the river,0,Aremu,is swimming in,the river of God 's love
Aremu doesn't like not to see God,Aremu has been loving God,Aremu went to fetch water for Omoshalewa from the river,1,Aremu,does n't like not to see,God
Baba Agbajé is kissing his wife's womb like an unborn baby,Father Agbajé is pregnant,Baba Agbajé knows how to cook,0,Baba Agbajé,is kissing his wife 's womb like,an unborn baby
Baba Agbajé did not want to cause the fetus of his wife,Father Agbajé is pregnant,Baba Agbajé knows how to cook,1,Baba Agbajé,did not want to cause the fetus of,his wife
The gold glowed like a burning furnace that has run out of oil,The hunter's fire was not well lit,The fire of the hunter has died,1,The gold,glowed like,a burning furnace that has run out of oil
"The hunter's fire shone, and he saw clearly",The hunter's fire was not well lit,The fire of the hunter has died,0,he,"hunter 's fire shone , and he saw",clearly
Adéyami Kranra gave birth to a dog in the morning,Adéyami has been angry since morning,Adeyemi laughed at him since morning,1,Adéyami Kranra,gave birth to,a dog in the morning
Chickens do not play with dogs,Adéyami has been angry since morning,Adeyemi laughed at him since morning,0,Chickens,do not play with,dogs
