startphrase,ending1,ending2,labels,x,y,z
He is wearing a traditional dress Panche.,He is wearing a traditional dress,He is not wearing traditional dress,0,He,is wearing,a traditional dress Panche
He is wearing a traditional dress suit.,He is wearing traditional dress,He is not wearing traditional dress,1,He,is wearing,a traditional dress suit
That thing has as much logic as science.,That thing has logic,That thing has no logic,0,That thing,has as much logic as,science
That thing has as much logic as magic.,That thing has logic,That thing has no logic,1,That thing,has as much logic as,magic
She was wearing a saree that represents our culture.,She represented our culture,She did not reflect our culture,0,She,was wearing a saree,that
She was wearing a skirt that reflects our culture.,She represented our culture,She did not reflect our culture,1,She,was wearing a skirt,that
He is as influential as politicians.,He is impressive,He is normal,0,He,is as influential as,politicians
He is influential as a citizen.,He is impressive,He is normal,1,He,is influential as,a citizen
As scarce as water in the desert.,Water is very scarce in the desert,Water is plentiful in the desert,0,water in the desert,,the desert
As scarce as sand in the desert.,Water is very scarce in the desert,Water is plentiful in the desert,1,sand in the desert,,the desert
Abundant as snowfall on the summit.,Snowfall is heavy on the summit,Snowfall on the peak is less,0,snowfall on the summit,,the summit
As abundant as the soil on the summit.,Snowfall is heavy on the summit,Snowfall is less on the summit,1,the soil on the summit,,the summit
The place is green like a forest.,The place is green,That place is not green,0,The place,is green like,a forest
The place is as green as the city.,The place is green,That place is not green,1,The place,is as green as,the city
Arab countries are rich from petroleum.,Arab countries are rich from petroleum,Arab countries are not rich from petroleum,0,Arab countries,are rich from,petroleum
Arab countries are rich in water.,Arab countries are rich from petroleum,Arab countries are not rich from petroleum,1,Arab countries,are rich in,water
As healthy as fiber in food.,Dietary fibers are healthy,Dietary fibers are not healthy,0,fiber in food,,food
As healthy as carbs in food.,Dietary fibers are healthy,Dietary fibers are not healthy,1,carbs in food,,food
The sky is cloudy like the rainy season.,The sky is more cloudy,The sky is partly cloudy,0,The sky,is cloudy like,the rainy season
The sky is cloudy like summer.,The sky is more cloudy,The sky is partly cloudy,1,The sky,is cloudy like,summer
The place is as beautiful as the Taj Mahal.,That place is beautiful,That place is not beautiful,0,The place,is as beautiful as,the Taj Mahal
The place is beautiful like a government office.,That place is beautiful,That place is not beautiful,1,The place,is beautiful like,a government office
It is more bitter than neem,It was bittersweet,It was sweet,0,It,is more bitter than,neem
It is bitterer than jaggery,It was bittersweet,It was sweet,1,It,is bitterer than,jaggery
That space is also as far away as the moon,That place is far away,That place is near,0,That space,is also as far away as,the moon
That place is also far from the cinema,That place is far away,That place is near,1,That place,is also far from,the cinema
That thing was as boring as a World Cup defeat,That thing was boring,That was a pleasure,0,That thing,was as boring as,a World Cup
That thing was as boring as winning the World Cup,That thing was boring,That was a pleasure,1,That thing,was,as boring as winning the World Cup
That fact is as important as education,That fact is important,That fact is not important,0,That fact,is as important as,education
That fact is as important as the journey itself,That fact is important,That fact is not important,1,That fact,is as important as,the journey itself
That app has as many users as Gmail,That app has more users,That app has less users,0,That app,has as many users as,Gmail
That app has as many users as Orkut,That app has more users,That app has less users,1,That app,has as many users as,Orkut
This food contains as much protein as eggs,Food is high in protein,The diet is low in protein,0,This food,contains as,much protein as eggs
This food has as much protein content as rice,Food is high in protein,The diet is low in protein,1,This food,has as much protein content as,rice
It is as good as a vegetable,It is as good as a vegetable,It is not as good as vegetables,0,It,is as good as,a vegetable
It is as good as junk food,It is as good as a vegetable,It is not as good as vegetables,1,It,is as good as,junk food
It is expensive like dry fruits,Dry fruits are expensive,Not as expensive as dried fruits,0,It,is expensive like,dry fruits
It is as expensive as vegetables,Dry fruits are expensive,Not as expensive as dried fruits,1,It,is as expensive as,vegetables
The subject was as scientific as a solar eclipse,That thing was scientific,That thing is not scientific,0,The subject,was as scientific as,a solar eclipse
That stuff was as scientific as it was magical,That thing was scientific,That thing is not scientific,1,That stuff,was as scientific as,it
He is rich like Ambani,They are rich,They are not rich,0,He,is rich like,Ambani
They are rich like common people,They are rich,They are not rich,1,They,are rich like,common people
The scene was also as wonderful as the waterfall,That scene was amazing,The scene was not spectacular,0,The scene,was also as wonderful as,the waterfall
That scene was also amazing like a traffic jam,That scene was amazing,The scene was not spectacular,1,That scene,was also amazing like,a traffic jam
The place is as quiet as a library.,The place is quiet,The place is not quiet,0,The place,is as quiet as,a library
The place is quiet like a bus station.,The place is quiet,The place is not quiet,1,The place,is quiet like,a bus station
It is very rare like a comet,That is very rare,It is not very rare,0,It,is very rare like,a comet
It is very rare like stars,That is very rare,It is not very rare,1,It,is very rare like,stars
That exam is difficult like UPSC,That test is more difficult,That test is not too difficult,0,That exam,is difficult like,UPSC
That exam is difficult like IBPIS,That test is more difficult,That test is not too difficult,1,That exam,is difficult like,IBPIS
Understanding it is as complicated as the formula itself,It is difficult to understand,It is easy to understand,0,it,is as complicated as,the formula itself
Understanding it is as complicated as verse,It is difficult to understand,It is easy to understand,1,it,is as complicated as,verse
It has an oval shape like an egg,It has an oval shape,It is not oval in shape,0,It,has an oval shape like,an egg
It has an oval shape like a ring,It has an oval shape,It is not oval in shape,1,It,has an oval shape like,a ring
He is popular as an artist,They are popular,They are not popular,0,He,is popular as,an artist
He is popular as a lawyer,They are popular,They are not popular,1,He,is popular as,a lawyer
That game is as famous as football,That game is famous,That game is not famous,0,That game,is as famous as,football
That game is as famous as hockey,That game is famous,That game is not famous,1,That game,is as famous as,hockey
The celebration was as fun as the victory,The celebration was fun,The celebration was not fun,0,The celebration,was as fun as,the victory
The celebration was as fun as the defeat,The celebration was fun,The celebration was not fun,1,The celebration,was as fun as,the defeat
The incident was as terrifying as war,That incident was terrible,The incident was not terrible,0,The incident,was as terrifying as,war
The incident was as terrifying as Shanti,That incident was terrible,The incident was not terrible,1,The incident,was as terrifying as,Shanti
The building was furnished like a palace,The building was well equipped,The building was not furnished,0,The building,was furnished like,a palace
The building was furnished like a government office,The building was well equipped,The building was not furnished,1,The building,was furnished like,a government office
The object was a reflection like a mirror,That object was a reflection,That object was not a reflection,0,The object,was a reflection like,a mirror
The object was a reflection like a wall,That object was a reflection,That object was not a reflection,1,The object,was a reflection like,a wall
The statue was as tall as the Statue of Unity,That statue was tall,The statue was not tall,0,The statue,was as tall as,the Statue of Unity
The statue was as tall as two pillars,That statue was tall,The statue was not tall,1,The statue,was as tall as,two pillars
That's as good as saving money,That's as good as saving money,That's not as good as saving money,0,That,'s,as good as saving money
That's as good as spending money,That's as good as saving money,That's not as good as saving money,1,That,'s,as good as spending money
That sound is like music,That sound is nice,That sound is not pleasant,0,That sound,is like,music
The sound is like fireworks,That sound is nice,That sound is not pleasant,1,The sound,is like,fireworks
That movie was as scary as a horror movie,That movie was scary,That movie did not scare,0,That movie,was as scary as,a horror movie
That movie was as scary as a comedy,That movie was scary,That movie did not scare,1,That movie,was as scary as,a comedy
That thing too is as easy as making Maggi,That thing is easy,That thing is hard,0,That thing,too is,as easy as making Maggi
That too is as easy as making biryani,That thing is easy,That thing is hard,1,That,too is,as easy as making biryani
That's as fast as a 100-meter dash,That's too fast,It's slow,0,That,'s as fast as,a 100 - meter dash
That's about as fast as running a marathon,That's too fast,It's slow,1,That,'s,about as fast as running a marathon
He rises as early as the sunrise,He wakes up early,He doesn't get up early,0,He,rises as early as,the sunrise
He wakes up as early as noon,He wakes up early,He doesn't get up early,1,He,wakes up as early as,noon
That fact is as exciting as a job offer,That makes me happy,That's not fun,0,That fact,is as exciting as,a job offer
That fact is as exciting as a job layoff,That makes me happy,That's not fun,1,That fact,is as exciting as,a job layoff
It was as interesting as a magic show,That was interesting,It wasn't interesting,0,It,was as interesting as,a magic show
It was as interesting as the online class,That was interesting,It wasn't interesting,1,It,was as interesting as,the online class
He is as knowledgeable as a scholar,He has more knowledge,They don't have much knowledge,0,He,is as knowledgeable as,a scholar
He is as knowledgeable as a graduate,He has more knowledge,They don't have much knowledge,1,He,is as knowledgeable as,a graduate
That river does not run as long as the Nile,The river flows very far,The river flows a short distance,0,That river,does not run as long as,the Nile
That river does not flow as long as Kaveri,The river flows very far,The river flows a short distance,1,That river,does not flow as long as,Kaveri
That's big as a damn,That's big as a damn,It's not that big of a damn,0,That,'s big as,a damn
It is as big as mud,That's big as a damn,It's not that big of a damn,1,It,is as big as,mud
That thing is hot as fire,That thing is hot,That thing is cold,0,That thing,is hot as,fire
That thing is as hot as water,That thing is hot,That thing is cold,1,That thing,is as hot as,water
It's as fun as a party,That's fun,That's not fun,0,It,'s as fun as,a party
That's as much fun as testing,That's fun,It's not fun,1,That,'s as much fun as,testing
The creature is as small as an ant,The size of the creature is small,The size of the creature is huge,0,The creature,is as small as,an ant
The creature is as small as a cat,The size of the creature is small,The size of the creature is huge,1,The creature,is as small as,a cat
That thing is as sharp as a knife,That thing is sharp,That object is not realized,0,That thing,is as sharp as,a knife
That thing is as sharp as a pencil,That thing is sharp,That object is not realized,1,That thing,is as sharp as,a pencil
It is illegal to cheat,That is illegal,It is not illegal,0,It,is,illegal
It is illegal to show love,That is illegal,It is not illegal,1,It,is illegal to show,love
That material is as delicate as glass,That stuff is subtle,That thing is not subtle,0,That material,is as delicate as,glass
That thing is as delicate as stone,That stuff is subtle,That thing is not subtle,1,That thing,is as delicate as,stone
That incident was as horrible as the accident,That incident was terrible,The incident was not terrible,0,That incident,was as horrible as,the accident
The event was as scary as a dance show,That incident was terrible,The incident was not terrible,1,The event,was as scary as,a dance show
The building is as historic as the palace itself,That building is historic,That building is not historic,0,The building,is as historic as,the palace itself
The building is as historic as the shopping mall,That building is historic,That building is not historic,1,The building,is as historic as,the shopping mall
He is invincible like Arjuna,He is invincible,He is not invincible,0,He,is invincible like,Arjuna
He is invincible like Ravana,He is invincible,He is not invincible,1,He,is invincible like,Ravana
It is as common as gold.,That's normal,That's not normal,0,It,is as common as,gold
It is as common as the Kohinoor diamond.,That's normal,That's not normal,1,It,is as common as,the Kohinoor diamond
He was as curious as a scientist,He was curious,He was not curious,0,He,was as curious as,a scientist
He was as curious as the driver,He was curious,He was not curious,1,He,was as curious as,the driver
He was brutal like a criminal,They are cruel,They are not cruel,0,He,was brutal like,a criminal
He was as cruel as a monk,They are cruel,They are not cruel,1,He,was as cruel as,a monk
Its sound was as loud as thunder,Its sound was loud,Its sound was not loud,0,Its sound,was as loud as,thunder
Its sound was loud like music,Its sound was loud,Its sound was not loud,1,Its sound,was loud like,music
It is a historical city like Dwarka,It is a historical city,It is not a historical city,0,It,is a historical city like,Dwarka
It is a historical city like Bangalore,It is a historical city,It is not a historical city,1,It,is a historical city like,Bangalore
That material is as inert as cotton,That thing is not heavy,That thing is heavy,0,That material,is as inert as,cotton
That thing is as weightless as stone,That thing is not heavy,That thing is heavy,1,That thing,is as weightless as,stone
It was as dark as night,It was dark that day,It was not dark that day,0,It,was as dark as,night
It was as dark as that morning,It was dark that day,It was not dark that day,1,It,was as dark as,that morning
His knowledge is as deep as the ocean,His knowledge is profound,His knowledge is not deep,0,His knowledge,is as deep as,the ocean
Their swimming pool is so deep,His knowledge is profound,His knowledge is not deep,1,Their swimming pool,is,so deep
The fare was as economical as a cab ride,The fare was the rope,The fare was expensive,0,The fare,was as economical as,a cab ride
The fare was as economical as a flight ticket,The fare was the rope,The fare was expensive,1,The fare,was as economical as,a flight ticket
A rubber band is elastic like a spring.,Rubber band is more elastic,A rubber band is not very elastic,0,A rubber band,is elastic like,a spring
A rubber band is as elastic as a thread.,Rubber band is more elastic,A rubber band is not very elastic,1,A rubber band,is as elastic as,a thread
This work is as confusing as coding,This work is confusing,This work is not confusing,0,This work,is as confusing as,coding
This work is as confusing as typing,This work is confusing,This work is not confusing,1,This work,is,as confusing as typing
The darkness of the night was as dark as the new moon,It was dark,The darkness was not dark,0,The darkness of the night,was as dark as,the new moon
The darkness of the night was as dark as the full moon,It was dark,The darkness was not dark,1,The darkness of the night,was as dark as,the full moon
Bangalore is less polluted like an island,Bengaluru has less pollution,Bangalore is not less polluted,0,Bangalore,is less polluted like,an island
Bangalore has less pollution as a city,Bengaluru has less pollution,Bangalore is not less polluted,1,Bangalore,has less pollution as,a city
That planet is habitable like Earth,That planet is habitable,That planet is not habitable,0,That planet,is habitable like,Earth
That planet is habitable like Venus,That planet is habitable,That planet is not habitable,1,That planet,is habitable like,Venus
Our farm soil is fertile like black soil,Our farm soil is fertile,Our field soil is not fertile,0,Our farm soil,is fertile like,black soil
Our farm soil is as fertile as the desert,Our farm soil is fertile,Our field soil is not fertile,1,Our farm soil,is as fertile as,the desert
Food prepared by you is as healthy as food made at home,Food prepared by you is healthy,The food you prepared is not healthy,0,Food prepared by you,is as healthy as,food made at home
Food prepared by you is as healthy as hotel food,Food prepared by you is healthy,The food you prepared is not healthy,1,Food prepared by you,is as healthy as,hotel food
The shape of a watermelon is rounded like a lemon,Watermelon is round in shape,Watermelon shape is not round,0,The shape of a watermelon,is rounded like,a lemon
The shape of watermelon is round like a banana,Watermelon is round in shape,Watermelon shape is not round,1,The shape of watermelon,is round like,a banana
This task is as difficult as climbing a mountain,That work is hard,That job is easy,0,This task,is,as difficult as climbing a mountain
This work is as difficult as it is on the road,That work is hard,That job is easy,1,This work,is as difficult as it is on,the road
This material also has flexible properties like rubber,That material is flexible,That material is not flexible,0,This material,also has flexible properties like,rubber
This material also has flexible properties like stone,That material is flexible,That material is not flexible,1,This material,also has flexible properties like,stone
This area is as crowded as the market,There are more people in this area,There are few people in this area,0,This area,is as crowded as,the market
This area is as crowded as the library,There are more people in this area,There are few people in this area,1,This area,is as crowded as,the library
The duration of the game is long like cricket,The duration of that game is long,The duration of the game is short,0,The duration of the game,is long like,cricket
The duration of the game is long like football,The duration of that game is long,The duration of the game is short,1,The duration of the game,is long like,football
My new clothes are as soft as woolen,The new fabric is soft,New clothes are not soft,0,My new clothes,are,as soft as woolen
My new clothes are soft as a rock,The new fabric is soft,New clothes are not soft,1,My new clothes,are soft as,a rock
Lemon is sour like tamarind,Lemons are left over,No lemon left,0,Lemon,is sour like,tamarind
Lemons are sour like apples,Lemons are left over,No lemon left,1,Lemons,are sour like,apples
My own Michael Jackson dances,My own dance,I don't do their dance,0,My own Michael Jackson,,own
Mine dances like Mr. Bean,My own dance,I don't do their dance,1,Mr. Bean,ces like Mr. Bea,Mine
He has keen vision like an eagle,His vision is sharp,His vision is not sharp,0,He,has keen vision like,an eagle
He has sharp vision like a crow,His vision is sharp,His vision is not sharp,1,He,has sharp vision like,a crow
That animal has cunning like a fox,That animal has the quality of cunning,That animal does not have the cunning quality,0,That animal,has cunning like,a fox
The animal has cunning like a dog,That animal has the quality of cunning,That animal does not have the cunning quality,1,The animal,has cunning like,a dog
My pet cat is as honest as a dog,My pet cat is honest,My pet cat is not honest,0,My pet cat,is as honest as,a dog
My pet cat is as honest as a fox,My pet cat is honest,My pet cat is not honest,1,My pet cat,is as honest as,a fox
He is as bold as a lion,He is brave,He is brave,0,He,is as bold as,a lion
He is as brave as a fox,He is brave,He is brave,1,He,is as brave as,a fox
That animal is as strong as an ox,That animal is powerful,That animal is powerful,0,That animal,is as strong as,an ox
That animal is as strong as a deer,That animal is powerful,That animal is powerful,1,That animal,is as strong as,a deer
He stays awake all night like an owl,He stays up all night,He stays up all night,0,He,stays awake all night like,an owl
He stays awake all night like a parrot,He stays up all night,He stays up all night,1,He,stays awake all night like,a parrot
He was burning like a volcano in anger,He was burning with anger,He was at peace,0,He,was burning like,a volcano in anger
He was burning like ice in anger,He was burning with anger,He was at peace,1,He,was burning like,ice in anger
She flies very high like a bird,She flies high,She does not fly high,0,She,flies very high like,a bird
She flies very high like an animal,She flies high,She does not fly high,1,She,flies very high like,an animal
This animal roars like a lion,: The beast roars,That animal does not roar,0,This animal,roars like,a lion
This animal roars like a dog,: The beast roars,That animal does not roar,1,This animal,roars like,a dog
Dosa is as famous breakfast as idli,Dosa is a famous breakfast,Dosa is not a famous breakfast,0,Dosa,is as famous breakfast as,idli
Dosa is as popular a breakfast as sandwich,Dosa is a famous breakfast,Dosa is not a famous breakfast,1,Dosa,is as popular a breakfast as,sandwich
This area can hold more water like a dam,That area can hold more water,"The area cannot hold much water,",0,This area,can hold more water like,a dam
This area can hold as much water as a tank,That area can hold more water,"The area cannot hold much water,",1,This area,can hold as much water as,a tank
Organisms live mostly in the sea.,Many creatures live in the sea,Fewer creatures live in the sea,0,Organisms,live mostly in,the sea
Organisms live more in the well.,Many creatures live in the sea,Fewer creatures live in the sea,1,Organisms,live more in,the well
That water is as salty as the sea,That water is salty,That water is not salty,0,That water,is as salty as,the sea
That water is as salty as water,That water is salty,That water is not salty,1,That water,,water
That boy flies like a monkey,That boy flies,That boy doesn't fly,0,That boy,flies like,a monkey
That boy flies like an elephant,That boy flies,That boy doesn't fly,1,That boy,flies like,an elephant
As large as an elephant in size,Large in size,Small in size,0,an elephant in size,hant in,size
As big as a monkey in size,Large in size,Small in size,1,a monkey in size,ey in,size
He is very fast like a computer,He is very fast,He is slow,0,He,is very fast like,a computer
He is unbelievably fast,He is very fast,He is slow,1,He,is,unbelievably fast
The place was as high as a flyover,That place is high,That place is not high,0,The place,was as high as,a flyover
The place was as high as a tunnel,That place is high,That place is not high,1,The place,was as high as,a tunnel
This dish was as hard as a doughnut,This food is solid,This feed is not solid,0,This dish,was as hard as,a doughnut
This dish was hard as cake,This food is solid,This feed is not solid,1,This dish,was,hard
It was smooth as soap,It was as smooth as soap,Not as smooth as soap,0,It,was smooth as,soap
It was as smooth as a squash,It was as smooth as soap,Not as smooth as soap,1,It,was as smooth as,a squash
"When I saw him, I was as proud as a soldier",I feel proud when I see him,"When you see him, you will not feel proud",0,I,"saw him , I was as proud as",a soldier
"When he saw him, he was as proud as a militant",I feel proud when I see him,"When you see him, you will not feel proud",1,he,"saw him , he was as proud as",a militant
The material was as delicate as glass,That stuff is very delicate,That thing is very hard,0,The material,was as delicate as,glass
The material was as delicate as copper,That stuff is very delicate,That thing is very hard,1,The material,was as delicate as,copper
The dish was as clean as a home made snack,The dish was clean,The dish is not clean,0,The dish,was as clean as,a home made snack
The dish was as clean as a roadside snack,The dish was clean,The dish is not clean,1,The dish,was as clean as,a roadside snack
That cooking was as healthy as an apple,Cooking was healthy,The cooking was unhealthy,0,That cooking,was as healthy as,an apple
That cooking was as healthy as pasta,Cooking was healthy,The cooking was unhealthy,1,That cooking,was as healthy as,pasta
This dish is sweet like bitter gourd,This dish is sweet,This dish is not sweet,0,This dish,is sweet like,bitter gourd
This dish is sweet like mango,This dish is sweet,This dish is not sweet,1,This dish,is sweet like,mango
This space is as deep as a bore well,That space is deep,That space is not deep,0,This space,is as deep as,a bore well
This space is as deep as a house tank,That space is deep,That space is not deep,1,This space,is as deep as,a house tank
This fish is massive like a starfish,The shape of that fish is huge,That fish is small,0,This fish,is massive like,a starfish
This fish is huge like a whale,The shape of that fish is huge,That fish is small,1,This fish,is huge like,a whale
His victory was like a jaggery,His victory was sweet,His victory was not sweet,0,His victory,was like,a jaggery
His victory was like neem,His victory was sweet,His victory was not sweet,1,His victory,was like,neem
His courage was like that of a son,Uttar Kumar's courage is admirable,Uttara Kumara's courage is not admirable,0,His courage,was like,that of a son
His courage was like that of Rani Chennamma,Uttar Kumar's courage is admirable,Uttara Kumara's courage is not admirable,1,His courage,was like,that of Rani Chennamma
The snack was flat like bread,That snack was flat,That snack was not flat,0,The snack,was flat like,bread
The snack was flat like a puff,That snack was flat,That snack was not flat,1,The snack,was flat like,a puff
The water they gave was as salty as sea water,The water they gave tasted salty,The water they gave did not taste salty,0,The water they gave,was as salty as,sea water
The water they gave was as salty as well water,The water they gave tasted salty,The water they gave did not taste salty,1,The water they gave,,they
She shone like the full moon,She was glowing,She wasn't glowing,0,She,shone like,the full moon
She glowed like the darkness of the new moon,She was glowing,She wasn't glowing,1,She,glowed like,the darkness of the new moon
It was as hot as a cold breeze,It was very hot,It was cold,0,It,was as hot as,a cold breeze
It was hot as a storm,It was very hot,It was cold,1,It,was hot as,a storm
She was dressed like a model,She was highly decorated,She was less decorated,0,She,was dressed like,a model
She was dressed like a village lady,She was highly decorated,She was less decorated,1,She,was dressed like,a village lady
That meal was as healthy as ragimudde,The meal was healthy,The meal was not healthy,0,That meal,was,as healthy as ragimudde
That meal was as healthy as a burger,The meal was healthy,The meal was not healthy,1,That meal,was as healthy as,a burger
The animal was sleeping excessively like a koala,The animal was sleeping less,The animal was sleeping less,0,The animal,was sleeping excessively like,a koala
The animal was oversleeping like a frog,The animal was sleeping less,The animal was sleeping less,1,The animal,was oversleeping like,a frog
The lady was as beautiful as Rambe,That lady was beautiful,That woman was ugly,0,The lady,was as beautiful as,Rambe
The lady was as beautiful as Shurpanaki,That lady was beautiful,That woman was ugly,1,The lady,was as beautiful as,Shurpanaki
The sheet was as soft as a bed,That sheet was soft,That sheet was not soft,0,The sheet,was as soft as,a bed
That sheet was as soft as hard ground,That sheet was soft,That sheet was not soft,1,That sheet,was as soft as,hard ground
It was as wide as a lake,That space was wide,That space was not wide,0,It,was as wide as,a lake
It was as wide as a river,That space was wide,That space was not wide,1,It,was as wide as,a river
That game was as exciting as Sky Drive,The game was exciting,The game was not exciting,0,That game,was as exciting as,Sky Drive
That game was exciting as a walk,The game was exciting,The game was not exciting,1,That game,was exciting as,a walk
The man was as funny as the writer,The man was joking,The man wasn't kidding,0,The man,was as funny as,the writer
The man was as funny as a comedian,The man was joking,The man wasn't kidding,1,The man,was as funny as,a comedian
It was cold like ice cream,That thing was cold,That thing was not cold,0,It,was cold like,ice cream
It was cold like soup,That thing was cold,That thing was not cold,1,It,was cold like,soup
It was crispy like an idli,It was crisp,It was not crisp,0,It,was crispy like,an idli
It was crispy like a dosa,It was crisp,It was not crisp,1,It,was crispy like,a dosa
The armor she wore was as hard as gold,Her body was very hard,Her body was very thick,0,The armor she wore,was as hard as,gold
The armor she wore was as hard as a diamond,Her body was very hard,Her body was very thick,1,The armor she wore,was as hard as,a diamond
Her dress was full of attractive colors like the bow of lust,Her dress was colorful,Her clothes were not attractive colors,0,Her dress,was full of,attractive colors like the bow of lust
Her dress was colorful like a white board,Her dress was colorful,Her clothes did not have attractive colors,1,Her dress,was colorful like,a white board
This house is as old as a new building,That house is old,That house is new,0,This house,is as old as,a new building
This house is as old as an old monument,That house is old,That house is new,1,This house,is as old as,an old monument
His speech is hoarse like a whisper,His speech is hoarse,He likes to talk,0,His speech,is hoarse like,a whisper
His speech is hoarse like a loud voice,His speech is hoarse,He likes to talk,1,His speech,is hoarse like,a loud voice
He is cute like grandma,"He's cute, he's not cute",He is not cute,0,He,is cute like,grandma
He is as cute as a newborn baby,"He's cute, he's not cute",He is not cute,1,He,is as cute as,a newborn baby
It was dark like a full moon day,It was very dark that day,Kagkattalu was not born that day,0,It,was dark like,a full moon day
It was dark like a new moon day,It was very dark that day,Kagkattalu was not born that day,1,It,was dark like,a new moon day
He is as young as a baby,He is the youngest,He is not young,0,He,is as young as,a baby
He is as young as grandfather,He is the youngest,He is not young,1,He,is as young as,grandfather
His dress was clean like an officer,His clothes were clean,His clothes are not clean,0,His dress,was clean like,an officer
His clothes were clean like a beggar,His clothes were clean,His clothes are not clean,1,His clothes,were clean like,a beggar
The snack was as thin as bread,That snack was bland,That snack is not thin,0,The snack,was as thin as,bread
The snack was as thin as bread,That snack was bland,That snack is not thin,1,The snack,was as thin as,bread
That space was as high as the sky,The place was high,That space is not high,0,That space,was as high as,the sky
The place was as high as the earth,The place was high,That space is not high,1,The place,was as high as,the earth
Its shape is curved like a square,Its shape is curved,Its shape is not curved,0,Its shape,is curved like,a square
