startphrase,ending1,ending2,labels
The speaker was as quiet as a newborn baby.,The speaker was very quiet.,The speaker was actually rather loud.,0
The speaker was as quiet as a freight train.,The speaker was very quiet.,The speaker was actually rather loud.,1
The man was as cool as ice,The man was very cool.,The man wasn't cool at all.,0
The man was as cool as sunburn,The man was very cool.,The man wasn't cool at all.,1
The wedding planner was an imposter.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,0
The wedding planner was a magician.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,1
The dancer moved like a butterfly,the dancer is graceful,The dancer is lead footed,0
The dancer moved like a horse.,the dancer is graceful,The dancer is lead footed,1
the pizza tastes like homemade,it's delicious,it's garbage,0
the pizza tastes like yesterdays leftovers,it's delicious,it's garbage,1
The painting had the creativity of a bowl of oatmeal,The movie was really dull.,The movie was really creative.,0
The painting had the creativity of a James Cameron movie,The movie was really dull.,The movie was really creative.,1
The child was as religious as a priest,The child was very religious,The child was not religious,0
The child was as religious as a sinner,The child was very religious,The child was not religious,1
The woman was as kind as a teacher,The woman was kind,The woman was cruel,0
The woman was as kind as a prisoner,The woman was kind,The woman was cruel,1
The test is as easy as a Sunday  morning,the test is easy,the test is hard,0
The test is as easy as rocket science,the test is easy,the test is hard,1
She is happy as a clam,she is elated,she is mad,0
She is happy as a bear that stepped on a thorn,she is elated,she is mad,1
The employee is sharp as a razor,The employee is smart.,The employee is dumb.,0
The employee is sharp as a bowling ball,The employee is smart.,The employee is dumb.,1
The tourist thought the bed at the hotel felt like velvet,The bed was soft.,The bed was hard.,0
The tourist thought the bed at the hotel felt like marble,The bed was soft.,The bed was hard.,1
When the rubber hits the road. life gets real,things get intense,things get worse,0
When the rubber hits the road. things go  down hill,things get intense,things get worse,1
The pianist's performance was a game of whack-a-mole.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,0
The pianist's performance was the weaving of an ornate Persian carpet.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,1
The girl's personality was as sweet as a grapefruit,The girl had a very surly personality.,The girl had a sweet personality.,0
The girl's personality was as sweet as a donut,The girl had a very surly personality.,The girl had a sweet personality.,1
The movie had as much meaning as a Hallmark card,The movie's meaning was frivolous.,The movie was laden with meaning.,0
The movie had as much meaning as the Bible,The movie's meaning was frivolous.,The movie was laden with meaning.,1
The jazz solo sounded as smooth as silk,The jazz solo sounded nice and smooth,The jazz solo sounded rough and bad,0
The jazz solo sounded as smooth as sandpaper,The jazz solo sounded nice and smooth,The jazz solo sounded rough and bad,1
Her hangover made her feel like death,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,0
Her hangover made her feel like a sunrise,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,1
The room was as open as a farm.,The room was very open.,The room wasn't open at all.,0
The room was as open as a city.,The room was very open.,The room wasn't open at all.,1
His joints have the crackle of a bowl of Rice Krispies,His joints are quite crackly,His joints do not crackle,0
His joints have the crackle of a pre-popped roll of bubble wrap,His joints are quite crackly,His joints do not crackle,1
The lightbulb is putting out the light of a massive forest fire on a dark night,The lightbulb is putting out a lot of light,The lightbulb is putting out no light,0
The lightbulb is putting out the light of a massive black hole in the darkness of space,The lightbulb is putting out a lot of light,The lightbulb is putting out no light,1
The thrift store had the variety of a monochrome print.,The thrift store had a limited selection.,The thrift store had a varied selection.,0
The thrift store had the variety of a dazzling tapestry.,The thrift store had a limited selection.,The thrift store had a varied selection.,1
The doctor was a Norse villain.,The doctor was mean.,The doctor was kind and charming.,0
The doctor was a fairytale prince.,The doctor was mean.,The doctor was kind and charming.,1
The sound of the glass shattering was like Hiroshima,The sound was loud,The sound was quiet,0
The sound of the glass shattering was like a lullaby,The sound was loud,The sound was quiet,1
She was a bear at dinner,She ate a lot,She ate very little,0
She was a mouse at dinner,She ate a lot,She ate very little,1
The armor was tough as iron,The armor was tough,The armor was breakable and weak,0
The armor was tough as glass,The armor was tough,The armor was breakable and weak,1
The toy was cared for like a baby,The toy was taken good care of,The toy was not cared for well at all.,0
The toy was cared for like trash,The toy was taken good care of,The toy was not cared for well at all.,1
The lawyer's negotiation tactics were like steel,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,0
The lawyer's negotiation tactics were like a fuzzy bathrobe,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,1
The plastic plate shattered and looked like A spiderweb,It shattered into a lot of pieces.,It only shattered into 2 pieces.,0
The plastic plate shattered and looked like A half moon,It shattered into a lot of pieces.,It only shattered into 2 pieces.,1
The apartment was as high up as The empire State building observation deck.,The apartment was on the high floor.,The apartment was only a few floors up,0
The apartment was as high up as A treehouse in the backyard,The apartment was on the high floor.,The apartment was only a few floors up,1
The man had the features of a Greek god,The man was very attractive,The man was goofy and ugly,0
The man had the features of a clown,The man was very attractive,The man was goofy and ugly,1
The pug was wheezing in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,0
The pug was lightning in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,1
That movie has the humor of a nun.,The movie is not funny.,The movie is very funny.,0
That movie has the humor of a clown bus.,The movie is not funny.,The movie is very funny.,1
The movie has a depth of A crater.,The movie has a deep meaning.,The movie is superficial.,0
The movie has a depth of A crack.,The movie has a deep meaning.,The movie is superficial.,1
The gambler thought his odds were as low as the ground.,His odds were low.,His odds were actually high.,0
The gambler thought his odds were as low as the moon.,His odds were low.,His odds were actually high.,1
The dancer was as graceful as a swan.,The dancer was graceful.,The dancer was boorish and uncoordinated.,0
The dancer was as graceful as a honking goose.,The dancer was graceful.,The dancer was boorish and uncoordinated.,1
He was as smart as A tree stump,The person is dumb,The person is a genius,0
He was as smart as EINSTEIN,The person is dumb,The person is a genius,1
The stock value was a geyser,The stock value increased.,The stock value stayed stagnant.,0
The stock value was a puddle,The stock value increased.,The stock value stayed stagnant.,1
The couch had all the comfort of a thornbush.,The couch was very comfortable.,The couch was not very comfortable.,0
The couch had all the comfort of a grandma's hug.,The couch was very comfortable.,The couch was not very comfortable.,1
The ballerina has all to grace of A club-footed drunk,The ballerina is clumsy,The ballerina is graceful,0
The ballerina has all to grace of A swan gently swimming in a pond,The ballerina is clumsy,The ballerina is graceful,1
The tennis match contained all the suspense of A boring and endless Monopoly game,The tennis match is tedious and boring,The tennis match is suspenseful and exciting,0
The tennis match contained all the suspense of An Alfred Hitchcock movie,The tennis match is tedious and boring,The tennis match is suspenseful and exciting,1
He is faithful as a church goer,he is good,he is bad,0
He is faithful as a strip club VIP,he is good,he is bad,1
The incense had the smell of a homemade apple pie after skipping lunch,The incense smelled quite good,The incense didn't smell good at all,0
The incense had the smell of a wet dog wearing gym socks,The incense smelled quite good,The incense didn't smell good at all,1
The girl had the thirst of a man after finishing a 128 oz slushie,The girl was not thirsty,The girl was very thirsty,0
The girl had the thirst of a mid-'00s SUV after a short drive,The girl was not thirsty,The girl was very thirsty,1
The backpack had the space of a school bus in the middle of the night,The backpack had a lot of space,There was little space in the backpack,0
The backpack had the space of a school bus on a field trip to a pizza party,The backpack had a lot of space,There was little space in the backpack,1
The coffee was as strong as an army,The coffee was very strong,The coffee was very weak,0
The coffee was as strong as diluted milk,The coffee was very strong,The coffee was very weak,1
The room was as dark as a pay phone,The room was very dark,"The room was not dark, but not well lit",0
The room was as dark as a raincloud,The room was very dark,"The room was not dark, but not well lit",1
The sun shined like a flame.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",0
The sun shined like a burned-out bulb.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",1
Christmas was as lively as a party.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",0
Christmas was as lively as a morgue.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",1
The movie has the thrill of a dentist's visit,The movie is dull.,The movie is exciting.,0
The movie has the thrill of a carnival ride,The movie is dull.,The movie is exciting.,1
The book plot has the novelty of an iPhone 4,The book plot is stale.,The book plot is really novel.,0
The book plot has the novelty of a robot with feelings,The book plot is stale.,The book plot is really novel.,1
"My shoulder hurts as much as stepping on a jagged, rusty nail",It hurts a lot,It barely hurts at all,0
My shoulder hurts as much as getting hit with a silk pillow,It hurts a lot,It barely hurts at all,1
The hostess is a dental drill.,The hostess is unpleasant.,The hostess is delightful.,0
The hostess is a sweet potato pie.,The hostess is unpleasant.,The hostess is delightful.,1
The wrinkle cream is an outhouse.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,0
The wrinkle cream is a purring kitten.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,1
She was gleaming like headlights,she was bright,she was dark,0
She was gleaming like midnight,she was bright,she was dark,1
This sand is as coarse as a silkworm's thread,It's not coarse at all,It's very rough,0
This sand is as coarse as the discourse at a Thanksgiving dinner,It's not coarse at all,It's very rough,1
The pool has the wetness of the planet Kamino,It's very wet,It's very dry,0
The pool has the wetness of the planet Tatooine,It's very wet,It's very dry,1
Quitting the job was as satisfying as an ice cream cone on a summer day,Quitting the job was totally satisfying.,Quitting the job gave no satisfaction.,0
Quitting the job was as satisfying as a prickly rose bush,Quitting the job was totally satisfying.,Quitting the job gave no satisfaction.,1
The music has the sound of a jackhammer,The music is loud,The music is soft,0
The music has the sound of a baby bird,The music is loud,The music is soft,1
The jacket has the feeling of sandpaper,The jacket is rough,The jacket is smooth,0
The jacket has the feeling of butter,The jacket is rough,The jacket is smooth,1
She was skilled like a scientist.,She was very skilled.,She was not at all skillful.,0
She was skilled like a bum.,She was very skilled.,She was not at all skillful.,1
His vision was as cloudy as the sky during a hurricane,It is hard to see through,it is clear,0
His vision was as cloudy as a glass of water,It is hard to see through,it is clear,1
She is as clumsy as an octopus on roller skates,she is a klutz,she is careful,0
She is as clumsy as a squirrel in a tree,she is a klutz,she is careful,1
The teacher had all the charisma of a leader,The teacher was charismatic,The teacher was foolish,0
The teacher had all the charisma of a clown,The teacher was charismatic,The teacher was foolish,1
The pie crust was as flaky as dandruff,The pie crust was totally flaky.,The pie crust was tough.,0
The pie crust was as flaky as a lead block,The pie crust was totally flaky.,The pie crust was tough.,1
The movie ending made as much sense as a pig in a pen,The movie ending made total sense.,The movie ending didn't make any sense.,0
The movie ending made as much sense as a fish on a mountain,The movie ending made total sense.,The movie ending didn't make any sense.,1
The ski slope is a dimple.,The ski slope is easy.,The ski slope is difficult.,0
The ski slope is Cyrano De Bergerac's nose.,The ski slope is easy.,The ski slope is difficult.,1
She was as free as a bird.,She was very free.,She wasn't free at all.,0
She was as free as a zoo animal.,She was very free.,She wasn't free at all.,1
She was as entertaining as a lecture.,She wasn't entertaining.,She was very entertaining.,0
She was as entertaining as a television show.,She wasn't entertaining.,She was very entertaining.,1
Getting the whole school evacuated in a raging fire is as easy as counting ten pennies,Getting the whole school evacuated in a raging fire is simple.,Getting the whole school evacuated in a raging fire is nearly impossible,0
Getting the whole school evacuated in a raging fire is as easy as climbing the Swiss Alps.,Getting the whole school evacuated in a raging fire is simple.,Getting the whole school evacuated in a raging fire is nearly impossible,1
The building is as well constructed as the straw house  the pigs built that the wolf blew down,The building is falling apart,The building is 100% safe,0
The building is as well constructed as The brick house the wolf could not blow doen,The building is falling apart,The building is 100% safe,1
The head of our country is as smart as a a turkey,The head of our country is very dumb.,The head of our country is very smart.,0
The head of our country is as smart as an orangutang,The head of our country is very dumb.,The head of our country is very smart.,1
The future is as bright as the sun,The future is bright,The future is not bright,0
The future is as bright as ink,The future is bright,The future is not bright,1
The cat had the fur of a Yeti,The cat was furry,The cat was not furry,0
The cat had the fur of a baby's bottom,The cat was furry,The cat was not furry,1
She thinks of herself as the mother of humanity.,She is self-righteous and entitled.,She is humble and respectful towards the different people.,0
She thinks of herself as a particle of sand in the desert.,She is self-righteous and entitled.,She is humble and respectful towards the different people.,1
He was as cautious as a mother with a newborn,he is careful,he is reckless,0
He was as cautious as a drunk driver on the highway,he is careful,he is reckless,1
The dog is as charming as a salesman,the dog is flattering,the dog is gross,0
The dog is as charming as a sick racoon,the dog is flattering,the dog is gross,1
The girl is as cheerful as a kid in a toy store,she is happy,she is sad,0
The girl is as cheerful as a mom at a funeral,she is happy,she is sad,1
The bathroom has the space of Neptune's orbit around the sun,The bathroom is spacious,The bathroom is cramped,0
The bathroom has the space of an egg with a baby chicken in it,The bathroom is spacious,The bathroom is cramped,1
Her beauty is like the vaquita.,Her beauty is quite rare.,Her beauty is pretty common.,0
Her beauty is like the Peruvian anchoveta.,Her beauty is quite rare.,Her beauty is pretty common.,1
The boys are feeling like burrowing shrews today.,The boys are very active today.,The boys are moving sluggish today.,0
The boys are feeling like nurse sharks today.,The boys are very active today.,The boys are moving sluggish today.,1
The disease was as serious as a funeral,The disease was very serious,The disease was not serious,0
The disease was as serious as a hangnail,The disease was very serious,The disease was not serious,1
The doctor was dressed like Liberace,The doctor was dressed well,The doctor was dressed poorly,0
The doctor was dressed like a car repairman,The doctor was dressed well,The doctor was dressed poorly,1
The reporter has the charisma of a sloth,The reporter is boring,The report is over excited,0
The reporter has the charisma of a Jack Russel terrier,The reporter is boring,The report is over excited,1
The wood floor is as slippery as a piece of sand paper,The floor is not slippery at all,The floor is super slippery.,0
The wood floor is as slippery as a banana peel,The floor is not slippery at all,The floor is super slippery.,1
The reporter was so high he could hunt ducks with a rake,The reporter was under the influence of drugs,The reporter was not drugged at all.,0
The reporter was so high he could do differential equations with ease,The reporter was under the influence of drugs,The reporter was not drugged at all.,1
The gorilla tape was sticky like melted chocolate bars in a wrapper.,The tape was gooey and unwilling to release,The tape was dry and fluffy,0
The gorilla tape was sticky like dried mouse nest material.,The tape was gooey and unwilling to release,The tape was dry and fluffy,1
"Death, the harvester of souls, waited outside the door like a drooling dog sitting at the base of a tree waiting for a squirrel.",Death was patiently waiting,Death ran around in every direction simultaneously.,0
"Death, the harvester of souls, waited outside the door like a kindergarten class that ran out of Ritalin while in a puppy farm",Death was patiently waiting,Death ran around in every direction simultaneously.,1
"On the field, the soccer player was a tornado","On the field, the soccer player was very aggressive.","On the field, the soccer player wasn't very impactful.",0
"On the field, the soccer player was a light breeze","On the field, the soccer player was very aggressive.","On the field, the soccer player wasn't very impactful.",1
The wine tasted of my lover's lips,The wine tasted great.,The wine tasted lousy.,0
The wine tasted of old shoes,The wine tasted great.,The wine tasted lousy.,1
The effects of the disease on her body was an earthquake,The effects were devestating,The effects were minimal,0
The effects of the disease on her body was a raindrop,The effects were devestating,The effects were minimal,1
The article from the reporter has the insights of A first grader's primer,The article is shallow and lacks depth,The article is deep and meaningful,0
The article from the reporter has the insights of An expert journalist,The article is shallow and lacks depth,The article is deep and meaningful,1
Her cheeks were the color of a delicate rose,Her cheeks were pink,Her cheeks were white,0
Her cheeks were the color of chalk,Her cheeks were pink,Her cheeks were white,1
He's busy as a beaver,He's busy.,"He's lazy, not busy at all.",0
He's busy as a sloth,He's busy.,"He's lazy, not busy at all.",1
The book is as thick as a board,The book is thick.,The book is thin.,0
The book is as thick as piece of paper,The book is thick.,The book is thin.,1
The man has the build of Hercules,The man is very muscular.,The man doesn't have any muscles.,0
The man has the build of a third-grader,The man is very muscular.,The man doesn't have any muscles.,1
The whale is as a mountain,The whale is enormous.,The whale is small.,0
The whale is as a tadpole,The whale is enormous.,The whale is small.,1
The computer is as fast as a fighter jet.,The computer is fast.,The computer is slow.,0
The computer is as fast as a snail.,The computer is fast.,The computer is slow.,1
He is as brave as a mouse,He is a coward,He is brave,0
He is as brave as a lion,He is a coward,He is brave,1
the dog was as friendly as a bunny,it was nice,it was mean,0
the dog was as friendly as a snake,it was nice,it was mean,1
Talking to him was like trying to corner a snake,He was duplicitous,He was dangerous,0
Talking to him was like trying to corner a rabid dog,He was duplicitous,He was dangerous,1
The stain was as dark as midnight,the stain was easy to point out,the stain was light,0
The stain was as dark as noon,the stain was easy to point out,the stain was light,1
The vase was as fragile as glass,The vase is fragile,The vase is resilient and not fragile,0
The vase was as fragile as stone,The vase is fragile,The vase is resilient and not fragile,1
The NBA star was a ballet dancer.,The NBA star was graceful.,The NBA star was clumsy.,0
The NBA star was a lumberjack.,The NBA star was graceful.,The NBA star was clumsy.,1
He knew her like a sister,He knew her very well,He didn't know her well.,0
He knew her like a stranger,He knew her very well,He didn't know her well.,1
It was as hot as a pile of snow.,It wasn't hot at all.,It was very hot.,0
It was as hot as a desert.,It wasn't hot at all.,It was very hot.,1
The book was as thick as a piece of tissue paper.,The book was very thin.,The book was very thick.,0
The book was as thick as a brick.,The book was very thin.,The book was very thick.,1
The girl's academic marks were as high as a skyscraper,The girl's academic marks were impressive.,The girl's academic marks were poor.,0
The girl's academic marks were as high as a basement,The girl's academic marks were impressive.,The girl's academic marks were poor.,1
Her interpretive dance has the depth of an unattended litter box,Her interpretive dance is shallow,Her interpretive dance is profound,0
Her interpretive dance has the depth of a Steinbeck novel,Her interpretive dance is shallow,Her interpretive dance is profound,1
The elderly cat has the energy of a throw pillow,The cat doesn't move,The cat is hyperactive,0
The elderly cat has the energy of a class at recess,The cat doesn't move,The cat is hyperactive,1
She was as attractive as Aphrodite,she was pretty,she was ugly,0
She was as attractive as a mudfish,she was pretty,she was ugly,1
The work was about as average as getting a 70 on a test,the work was average,the work was amazing,0
The work was about as average as getting a perfect score on a test,the work was average,the work was amazing,1
His words were a knife,they were violent and harsh,they were soft,0
His words were a pillow,they were violent and harsh,they were soft,1
The sky was as blue as the sea,The sky was blue,The sky was muggy and dark,0
The sky was as blue as the mud,The sky was blue,The sky was muggy and dark,1
The man was thin as a toothpick,The man was thin,The man was very large.,0
The man was thin as a rhinoceros,The man was thin,The man was very large.,1
His sacrifice showed he had a heart like a lion,His sacrifice was very bold,His sacrifice was timid and weak,0
His sacrifice showed he had a heart like a mouse,His sacrifice was very bold,His sacrifice was timid and weak,1
The outfit had Teddy looking about as nice as a three hundred dollar dinner,The outfit looked very fancy,The outfit looked very degrading,0
The outfit had Teddy looking about as nice as a bum on the street,The outfit looked very fancy,The outfit looked very degrading,1
The child was as smart as an encyclopedia,The child was very smart,The child was not smart,0
The child was as smart as a house plant,The child was very smart,The child was not smart,1
The water is as hot as the sun,The water is very hot,The water is freezing cold,0
The water is as hot as an ice cube,The water is very hot,The water is freezing cold,1
He is as smart as an Einstein,He is very smart,He is quite stupid,0
He is as smart as a brick,He is very smart,He is quite stupid,1
The house was a big as a palace,the house was big,the house was tiny,0
The house was a big as a breadbox,the house was big,the house was tiny,1
The government ran with the efficiency of a well-oiled machine,The government was very efficient.,The government was not efficient at all.,0
The government ran with the efficiency of a sputtering engine,The government was very efficient.,The government was not efficient at all.,1
The odds were as high as the sky.,The odds were very high.,The odds were very low.,0
The odds were as high as a hole in the ground.,The odds were very high.,The odds were very low.,1
The storm caused all the destruction of a blazing inferno.,The storm caused terrible devastation.,The storm barely did any damage at all.,0
The storm caused all the destruction of a pillow fight.,The storm caused terrible devastation.,The storm barely did any damage at all.,1
The lion has the confidence of Barney Fife.,The lion is a coward.,The lion is self assured.,0
The lion has the confidence of Fidel Castro.,The lion is a coward.,The lion is self assured.,1
She's as sweet as a candied yam,She's pretty swet,She's not sweet at all,0
She's as sweet as a pickled egg,She's pretty swet,She's not sweet at all,1
The government's welfare policy is as easy to read as an Apple privacy policy,The government's welfare policy is incomprehensible.,The government's welfare policy is really straightforward.,0
The government's welfare policy is as easy to read as a grocery list,The government's welfare policy is incomprehensible.,The government's welfare policy is really straightforward.,1
The letter was as heartwarming as an apple cider donut straight from the fryer,The letter was really heartwarming.,The letter wasn't heartwarming at all.,0
The letter was as heartwarming as lemon juice,The letter was really heartwarming.,The letter wasn't heartwarming at all.,1
The government is radioactive.,The government is dangerous.,The government will protect you.,0
The government is a shield.,The government is dangerous.,The government will protect you.,1
The ocean is an old friend.,The speaker loves the ocean.,The speaker fears the ocean.,0
The ocean is a hunter.,The speaker loves the ocean.,The speaker fears the ocean.,1
You're being as still as a statue.,You're being very still.,You're constantly moving.,0
You're being as still as a hyperactive child on a sugar-rush.,You're being very still.,You're constantly moving.,1
These chips are salty as the tears of a fangirl when her favorite band breaks up,It's very salty,It has no salt,0
These chips are salty as potassium chloride,It's very salty,It has no salt,1
The tree canopy has the shadow of a totem pole.,The tree canopy does not provide shade.,The tree canopy is shady.,0
The tree canopy has the shadow of an eclipse.,The tree canopy does not provide shade.,The tree canopy is shady.,1
Completing the homework assignment was like scaling Everest,Completing the homework assignment was hard.,Completing the homework assignment was easy.,0
Completing the homework assignment was like wading in a kiddie pool,Completing the homework assignment was hard.,Completing the homework assignment was easy.,1
The burrito is has the length of a whale,The burrito is long,The burrito is short,0
The burrito is has the length of a lighter,The burrito is long,The burrito is short,1
She is as elegant as a swan,she is graceful,she is clumsy,0
She is as elegant as a drunk dog,she is graceful,she is clumsy,1
she is as embarrassed as a kid that forgot homework,she is bashful,she is proud,0
she is as embarrassed as a kid that got an A,she is bashful,she is proud,1
His personality was as sparkling as A burned out lightbulb,He is a dull person,He us colorgul and explosive.,0
His personality was as sparkling as JULY 4TH FIREWORKS,He is a dull person,He us colorgul and explosive.,1
The You Tube tutorial was as informative as a blank sheet of paper.,The You Tube tutorial wasn't at all informative.,The You Tube tutorial was extremely informative.,0
The You Tube tutorial was as informative as a graduate level physics class.,The You Tube tutorial wasn't at all informative.,The You Tube tutorial was extremely informative.,1
The girl was as laidback as a picnic at the park,The girl was very laidback.,The girl was super uptight.,0
The girl was as laidback as a black tie wedding,The girl was very laidback.,The girl was super uptight.,1
The croissant has the delicacy of a Sumo wrestler.,The croissant is tough.,The croissant is light and airy.,0
The croissant has the delicacy of a fly antennae.,The croissant is tough.,The croissant is light and airy.,1
He was as frightened as a deer in headlights,he was scared,he wasn't scared,0
He was as frightened as a bear in the woods,he was scared,he wasn't scared,1
The puzzle was an insurmountable mountain.,The puzzle was very difficult.,The puzzle was easy.,0
The puzzle was a short walk downhill.,The puzzle was very difficult.,The puzzle was easy.,1
The defense's argument had the simplicity of a Byzantine mosaic.,The argument was complicated.,The argument was very simple.,0
The defense's argument had the simplicity of a nursery rhyme.,The argument was complicated.,The argument was very simple.,1
The pilot landed with the elegance of a dancing elephant.,The pilot landed roughly.,The pilot landed smoothly.,0
The pilot landed with the elegance of a royal swan.,The pilot landed roughly.,The pilot landed smoothly.,1
In his heart he felt the burning fires of separation,He felt passionate,He felt sad,0
In his heart he felt the hallow depths of cave,He felt passionate,He felt sad,1
It was as easy as leading a horse to water,It was relatively easy,It was not easy,0
It was as easy as herding cats into a swimming pool,It was relatively easy,It was not easy,1
The movie had the budget of a gold mine.,The movie was very well-funded.,The movie had practically no funding at all.,0
The movie had the budget of a shoestring.,The movie was very well-funded.,The movie had practically no funding at all.,1
The glass is as strong as an oak tree,the glass is sturdy,the glass is weak,0
The glass is as strong as tissue paper,the glass is sturdy,the glass is weak,1
The sculptor's work was as creative as buttered bread,The sculptor's work was really overdone.,The sculptor's work was very innovative.,0
The sculptor's work was as creative as sea urchin guacamole tacos,The sculptor's work was really overdone.,The sculptor's work was very innovative.,1
Our internet speed is as fast as a tiger,Our internet speed is very fast,Our internet speed is very slow,0
Our internet speed is as fast as a snail,Our internet speed is very fast,Our internet speed is very slow,1
The clone had the identicality of two files in a computer after hitting copy/paste,The clone is identical,The clone isn't identical,0
The clone had the identicality of two half-siblings born decades apart,The clone is identical,The clone isn't identical,1
The classroom was like a freezer,The classroom was really cold.,The classroom was really hot.,0
The classroom was like an oven,The classroom was really cold.,The classroom was really hot.,1
The band plays like a giraffe calf.,The band plays like clumsy beginners.,The band plays with great precision.,0
The band plays like a neurosurgeon.,The band plays like clumsy beginners.,The band plays with great precision.,1
The politician's values are as sincere as that complement you just got from the used car salesperson.,The values are insincere.,The values change position often and quickly.,0
The politician's values are as firmly held a tumbleweed in a storm.,The values are insincere.,The values change position often and quickly.,1
His values are like the tides,His values are constantly changing,His values are set and predictable,0
His values are like the sun rising in the east and setting in the west,His values are constantly changing,His values are set and predictable,1
This cartoon is as violent as Normandy,The cartoon is violent,The cartoon is innocent and unoffending,0
This cartoon is as violent as a kindergarten play,The cartoon is violent,The cartoon is innocent and unoffending,1
She was loud like a cat.,She was very loud.,She was very quiet.,0
She was loud like a sloth.,She was very loud.,She was very quiet.,1
They were as close as politicians.,The weren't close at all.,They were very close.,0
They were as close as churchgoers.,The weren't close at all.,They were very close.,1
Her style was Harvard,Her style was advanced,Her style was underdeveloped,0
Her style was Kindergarten,Her style was advanced,Her style was underdeveloped,1
This book is as riveting as watching grass grow,The book is boring and uneventful,The book is over stimulating,0
This book is as riveting as watching a circus,The book is boring and uneventful,The book is over stimulating,1
The image had the beauty of an angel.,The image was beautiful.,The image was hideous.,0
The image had the beauty of a garbage can.,The image was beautiful.,The image was hideous.,1
The dinner tasted like bliss.,The dinner tasted good.,The dinner tasted horrible.,0
The dinner tasted like death.,The dinner tasted good.,The dinner tasted horrible.,1
Her knowledge was as vast as the universe,She had much knowledge,She had little knowledge,0
Her knowledge was as vast as a broom closet,She had much knowledge,She had little knowledge,1
Her mind was as clear as a foggy marsh,Her mind was confused,Her mind was sharp,0
Her mind was as clear as a sunny day in May,Her mind was confused,Her mind was sharp,1
The classroom was a firestorm,The classroom was in chaos.,The classroom was orderly.,0
The classroom was a military training,The classroom was in chaos.,The classroom was orderly.,1
"After the woman talked to him, the man's ego was a pancake",The man's ego shrank.,The man's ego grew.,0
"After the woman talked to him, the man's ego was a balloon",The man's ego shrank.,The man's ego grew.,1
She had a butt like two bulldogs fighting in a burlap sack,Her butt was fat and round,Her butt was flat and uninteresting,0
