ending1,ending2,labels,startphrase,valid,Obj,Vis,Soc,Cul
Lampu kamarku padang,Lampu kamarku peteng,1,Padange lampu kamarku kaya ublik,1,,,,1
Mas Edi lak mlayu cepet,Mas Edi lak mlayu rindik,0,Mas Edi lak mlayu jan kaya kancil,1,1,,,
Mas Edi lak mlayu cepet,Mas Edi lak mlayu rindik,1,Mas Edi lak mlayu jan kaya semut,1,1,,,
Untine Dik Sri tata,Untine Dik Sri gedi-gedi ting mbedesal,0,Untune Dik Sri mbiji timun,1,1,,,
Untine Dik Sri tata,Untine Dik Sri gedi-gedi ting mbedesal,1,Untune Dik Sri ngungkal gerang,1,1,,,
Bocah cilik kuwi ora isa meneng,Bocah cilik kuwi tura-turu ae,0,Polahe bocah cilik kuwi kaya kitiran,1,,,1,
Bocah cilik kuwi ora isa meneng,Bocah cilik kuwi tura-turu ae,1,Polahe bocah cilik kuwi kaya kebo,1,,,1,
Pasuryane Mas Tono ganteng,Pasuryane Mas Tono elek,0,Pasuryane Mas Tono kaya Arjuna,1,,1,,1
Pasuryane Mas Tono ganteng,Pasuryane Mas Tono elek,1,Pasuryane Mas Tono kaya Rahwana,1,,1,,1
Pipine Rida alus,Pipine Rida kasar kakehan kukul,0,Pipine Rida aluse kaya dalan aspalan,1,,1,,
Pipine Rida alus,Pipine Rida kasar kakehan kukul,1,Pipine Rida aluse kaya dalan makadhaman,1,,1,,
Hawane awan iki panas,Hawane awan iki adhem,0,Hawane awan iki kaya dolan menyang gurun,1,1,,,
Hawane awan iki panas,Hawane awan iki adhem,1,Hawane awan iki kaya dolan menyang kutub,1,1,,,
Kartolo kuwi wani,Kartolo kuwi weden,0,Nyawang dedege Kartolo kok kaya kendel ngringkel,1,,,1,
Kartolo kuwi wani,Kartolo kuwi weden,1,Nyawang dedege Kartolo kok kaya dhadang ora godak,1,,,1,
Kahanan omahe Pak Sardi kang lagi susah,Kahanan omahe Pak Sardi kang lagi seneng,0,Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan tangis,1,,,1,
Kahanan omahe Pak Sardi kang lagi susah,Kahanan omahe Pak Sardi kang lagi seneng,1,Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan dhuwit,1,,,1,
Nek gawe wedang kopi Painem legi,Nek gawe wedang kopi Painem pahit,0,Nek gawe wedang kopi Painem kaya disoki juruh,1,,,1,
Nek gawe wedang kopi Painem legi,Nek gawe wedang kopi Painem pahit,1,Nek gawe wedang kopi Painem kaya disoki suruh,1,,,1,
Baguse Paijo katulung irunge sing mancung,Baguse Paijo katulung irunge sing pesek,0,Baguse Paijo katulung saka irunge sing kaya irunge petruk,1,,,,1
Baguse Paijo katulung irunge sing mancung,Baguse Paijo katulung irunge sing pesek,1,Baguse Paijo katulung saka irunge sing kaya irunge semar,1,,,,1
Pak Hasan ora gelem menehi sumbangan pancen sipate iku medhit,Pak Hasan ora gelem menehi sumbangan pancen sipate iku loman,0,Pak Hasan ora gelem menehi sumbangan pancen sipate iku kaya cina craki,1,,,,1
Pak Hasan ora gelem menehi sumbangan pancen sipate iku medhit,Pak Hasan ora gelem menehi sumbangan pancen sipate iku loman,1,Pak Hasan ora gelem menehi sumbangan pancen sipate iku kaya blaba uda,1,,,,1
Anggone nyambut gawe Allia Cepet banget,Anggone nyambut gawe Allia alon banget,0,Anggone nyambut gawe Allia kaya banteng ketaton,1,1,,,
Anggone nyambut gawe Allia Cepet banget,Anggone nyambut gawe Allia alon banget,1,Anggone nyambut gawe Allia kaya macan luwe,1,1,,,
Nalika sesrawungan Pak Jemani lan Paiman ora bisa akur,Nalika sesrawungan Pak Jemani lan Paiman akur banget,0,Nalika sesrawungan Pak Jemani lan Paiman kaya banyu karo lenga,1,,,1,
Nalika sesrawungan Pak Jemani lan Paiman ora bisa akur,Nalika sesrawungan Pak Jemani lan Paiman akur banget,1,Nalika sesrawungan Pak Jemani lan Paiman kaya mimi lan mituna,1,,,,1
Tulisane Sarti jumejer ana papan tulis apik banget,Tulisane Sarti jumejer ana papan tulis elek banget,0,Tulisane Sarti jumejer ana papan tulis kaya awangun ketumbar,1,,,,1
Tulisane Sarti jumejer ana papan tulis apik banget,Tulisane Sarti jumejer ana papan tulis elek banget,1,Tulisane Sarti jumejer ana papan tulis kaya cekere pitik,1,,,,1
Rambute Selfi wiwit cilik pancen lurus,Rambute Selfi wiwit cilik pancen kriting,0,Rambute Selfi wiwit cilik pancen kaya brintik linggis,1,,1,,
Rambute Selfi wiwit cilik pancen lurus,Rambute Selfi wiwit cilik pancen kriting,1,Rambute Selfi wiwit cilik pancen kaya kembang jagung,1,,1,,
Kain batik sing dituku menyang pasar klewer tipis banget,Kain batik sing dituku menyang pasar klewer kandel banget,0,Kain batik sing dituku nalika menyang pasar Klewer iku kandele kaya kulit bawang,1,1,,,
Kain batik sing dituku menyang pasar klewer tipis banget,Kain batik sing dituku menyang pasar klewer kandel banget,1,Kain batik sing dituku nalika menyang pasar Klewer iku kandele kaya kulit babat,1,1,,,
Isih esuk khanane mbak Marmi Katon mrengut,Isih esuk khanane mbak Marmi Katon sumeh,0,Isih esuk kahanane Mbak Marmi kaya Ulat peteng,1,,,1,
Isih esuk khanane mbak Marmi Katon mrengut,Isih esuk khanane mbak Marmi Katon sumeh,1,Isih esuk kahanane Mbak Marmi kaya ulat manis,1,,,1,
Roti donat lek nggawe Narti empuk banget,Roti donat lek nggawe Narti atos banget,0,Roti donat lek nggawe Narti kaya atose debog,1,,,1,
Roti donat lek nggawe Narti empuk banget,Roti donat lek nggawe Narti atos banget,1,Roti donat lek nggawe Narti kaya lemese pikulan,1,,,1,
Omahe sing di bangun amba banget,Omahe sing di bangun ciwut,0,Omahe sing dibangun ambane kaya pagupon dara,1,1,,,
Omahe sing di bangun amba banget,Omahe sing di bangun ciwut,1,Omahe sing dibangun ambane kaya leng semut,1,1,,,
"Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale kendel","Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale weden",0,"Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale kaya mental wesi",1,,,1,
"Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale kendel","Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale weden",1,"Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale kaya mental tempe",1,,,1,
Sawise mulih saka griya sakit pasuryane Siti pucet banget,Sawise mulih saka griya sakit pasuryane Siti cerah banget,0,Sawise mulih saka griya sakit pasuryane Siti isih kaya abang dluwang,1,,1,,
Sawise mulih saka griya sakit pasuryane Siti pucet banget,Sawise mulih saka griya sakit pasuryane Siti cerah banget,1,Sawise mulih saka griya sakit pasuryane Siti isih kaya abang godhong katirah,1,,1,,
Lungane Pakdhe menyang Surabaya cepet banget,Lungane Pakdhe menyang Surabaya suwi banget,0,Lungane Pakdhe menyang Surabaya enggale suwe kaya banyu sinaring,1,1,,,
Lungane Pakdhe menyang Surabaya cepet banget,Lungane Pakdhe menyang Surabaya suwi banget,1,Lungane Pakdhe menyang Surabaya enggale suwe kaya madu sinaring,1,1,,,
Rasane pelem kecut,Rasane pelem legi,0,Rasane pelem kaya asem jawa,1,1,,,
Rasane pelem kecut,Rasane pelem legi,1,Rasane pelem kaya gula jawa,1,1,,,
Swarane sing nembang apik banget,Swarane sing nembang elek banget,0,Swarane sing nembang kaya kutut manggung,1,1,,,
Swarane sing nembang apik banget,Swarane sing nembang elek banget,1,Swarane sing nembang kaya knalpot bolong,1,1,,,
Bathuke Ica Rata,Bathuke Ica amba banget,0,Bathuke Icha nyela cendhani,1,,,,1
Bathuke Ica Rata,Bathuke Ica amba banget,1,Bathuke Icha nonong,1,,,,1
Yen nyawang mripate Sari blalak-blalak,Yen nyawang mripate Sari sipit,0,Yen nyawang mripate Sari kaya ndamar kanginan,1,,1,,
Yen nyawang mripate Sari blalak-blalak,Yen nyawang mripate Sari sipit,1,Yen nyawang mripate Sari kaya liyep lindri,1,,1,,
Banyune kolam renang bening,Banyune kolam renang buthek,0,Banyune kolam renang kaya banyu leri,1,,1,,
Banyune kolam renang bening,Banyune kolam renang buthek,1,Banyune kolam renang kaya banyu aki,1,,1,,
Anggone mlaku bis mini klular klulur,Anggone mlaku bis mini trengginas,0,Anggone mlaku bis mini kaya tuma kathok,1,,,1,
Anggone mlaku bis mini klular klulur,Anggone mlaku bis mini trengginas,1,Anggone mlaku bis mini kaya sikatan nyamber lawang,1,,,1,
Lemah sing disumbangake kanggo lapangan desa ciyut banget,Lemah sing disumbangake kanggo lapangan desa amba banget,0,Lemah sing disumbangake kanggo lapangan desa ambane kaya amba godhong kelor,1,,1,,
Lemah sing disumbangake kanggo lapangan desa ciyut banget,Lemah sing disumbangake kanggo lapangan desa amba banget,1,Lemah sing disumbangake kanggo lapangan desa ambane kaya amba godhong tales,1,,1,,
Awake Surya nalika isih sekolah mbiyen lemu banget,Awake Surya nalika isih sekolah mbiyen kuru banget,0,Awake Surya nalika isih sekolah mbiyen kaya kuru semangka,1,1,,,
Awake Surya nalika isih sekolah mbiyen lemu banget,Awake Surya nalika isih sekolah mbiyen kuru banget,1,Awake Surya nalika isih sekolah mbiyen kaya lemu kurma,1,1,,,
Yen lungguh ana ngarep dhewe patrape anteng banget,Yen lungguh ana ngarep dhewe patrape pecicilan,0,Yen lungguh ana nggarep dhewe patrape kaya Dewi Sembadra,1,,,,1
Yen lungguh ana ngarep dhewe patrape anteng banget,Yen lungguh ana ngarep dhewe patrape pecicilan,1,Yen lungguh ana nggarep dhewe patrape kaya Buta Cakil,1,,,,1
Pratandha arep udan amarga mendhunge peteng banget,Pratandha arep udan amarga mendhunge padhang jingglang,0,Pratandha arep udan amarga medhunge kaya ndumuk irung,1,1,,,
Pratandha arep udan amarga mendhunge peteng banget,Pratandha arep udan amarga mendhunge padhang jingglang,1,Pratandha arep udan amarga medhunge kaya nyumet dimar,1,1,,,
Regane lombok abang larang,Regane lombok abang murah,0,Regane lombok abang sundhul langit,1,,,,1
Regane lombok abang larang,Regane lombok abang murah,1,Regane lombok abang kembang gogrog,1,,,,1
Pondhasine omah gampang rubuh,Pondhasine omah kuwat jejeg,0,Pondhasine omah kaya wit tela,1,1,,,
Pondhasine omah gampang rubuh,Pondhasine omah kuwat jejeg,1,Pondhasine omah kaya ting listrik,1,1,,,
Rambute polisi kae gundhul,Rambute polisi kae kethel,0,Rambute polisi kae kaya bathok klapa,1,,1,,
Rambute polisi kae gundhul,Rambute polisi kae kethel,1,Rambute polisi kae kaya ulu kucing,1,,1,,
"Nalika dina Minggu, yen bisa nindakake pakaryan sing ana mupangate","Nalika dina Minggu, yen bisa nindakake pakaryan sing sia-sia ora ana mupangate",0,"Nalika dina Minggu, yen bisa nindakake pakaryan ngajari manuk beo nyanyi",1,,,1,
"Nalika dina Minggu, yen bisa nindakake pakaryan sing ana mupangate","Nalika dina Minggu, yen bisa nindakake pakaryan sing sia-sia ora ana mupangate",1,"Nalika dina Minggu, yen bisa nindakake pakaryan bebek nglangi",1,,,1,
Uripku karo uripe bedo banget kaya perbandingan langit,Uripku karo uripe bedo banget bumi,0,Uripku karo uripe wis kaya langit,1,1,,,
Uripku karo uripe bedo banget kaya perbandingan langit,Uripku karo uripe bedo banget bumi,1,Uripku karo uripe wis kaya bumi,1,1,,,
Obahe cepet banget,Obahe lambat banget,0,Obahe wis kaya welut,1,1,,,
Obahe cepet banget,Obahe lambat banget,1,Obahe wis kaya siput,1,1,,,
Kutho iki hawane adem banget,Kutho iki hawane panas banget,0,Kutho iki hawane kaya kutub,1,1,,,
Kutho iki hawane adem banget,Kutho iki hawane panas banget,1,Kutho iki hawane kaya gurun,1,1,,,
Urip nang kutho gedhe iku kaya urip ning panggon sing nyaman,Urip nang kutho gedhe iku kaya urip ning panggon sing sumpek,0,Urip nang kutho gedhe iku kaya urip nang suarga,1,,,1,
Urip nang kutho gedhe iku kaya urip ning panggon sing nyaman,Urip nang kutho gedhe iku kaya urip ning panggon sing sumpek,1,Urip nang kutho gedhe iku kaya urip nang neraka,1,,,1,
"Wes suwi ngerantau, wong iku tambah rendah hati","Wes suwi ngerantau, wong iku tambah besar kepala",0,"Wis suwi ngerantau, rasane wong iku tambah andhap asor",1,,,1,
"Wes suwi ngerantau, wong iku tambah rendah hati","Wes suwi ngerantau, wong iku tambah besar kepala",1,"Wis suwi ngerantau, rasane wong iku tambah gumedhe",1,,,1,
Mahasiswa iku nduweni julukan wong sing bodho,Mahasiswa iku nduweni julukan wong sing pinter,0,Mahasiswa iku nduweni julukan otak udang,1,,,1,
Mahasiswa iku nduweni julukan wong sing bodho,Mahasiswa iku nduweni julukan wong sing pinter,1,Mahasiswa iku nduweni julukan otak encer,1,,,1,
Omah iku apik banget,Omah iku elek banget,0,Omah iku kaya istana,1,1,,,
Omah iku apik banget,Omah iku elek banget,1,Omah iku kaya gedheg,1,1,,,
"Wes ngerti entuk biji elek, Abdi tetep sombong","Wes ngerti entuk biji elek, Abdi tetep rendah diri",0,"Wis ngerti entuk biji elek, Abdi tetep gedhe ati",1,,,1,
"Wes ngerti entuk biji elek, Abdi tetep sombong","Wes ngerti entuk biji elek, Abdi tetep rendah diri",1,"Wis ngerti entuk biji elek, Abdi tetep cilik ati",1,,,1,
Awan iku bentukane kaya resik banget,Awan iku bentukane kaya reged banget,0,Awan iku bentukane kaya wedhus gembel,1,,1,,
Awan iku bentukane kaya resik banget,Awan iku bentukane kaya reged banget,1,Awan iku bentukane kaya wedhus putih,1,,1,,
Persidangan nang film kuwi rasane kaya ora adil,Persidangan nang film kuwi rasane kaya adil,0,Persidangan nang film kuwi rasane kaya gedhe sisih,1,,,1,
Persidangan nang film kuwi rasane kaya ora adil,Persidangan nang film kuwi rasane kaya adil,1,Persidangan nang film kuwi rasane kaya gedhe padha,1,,,1,
Wong iku mangane kaya wong luwe,Wong iku mangane kaya wong wareg,0,Wong iku mangane kaya durung mangan 3 dino,1,,,1,
Wong iku mangane kaya wong luwe,Wong iku mangane kaya wong wareg,1,Wong iku mangane kaya wong wis wareg,1,,,1,
Aldo yen nggarap tugas cepet banget,Aldo yen nggarap tugas lambat banget,0,Aldo yen nggarap tugas kaya mesin,1,1,,,
Aldo yen nggarap tugas cepet banget,Aldo yen nggarap tugas lambat banget,1,Aldo yen nggarap tugas kaya siput,1,1,,,
Prajurit nang film iku ngelakoni perang wani banget,Prajurit nang film iku ngelakoni perang wedi banget,0,Prajurit nang film iku ngelakoni perang wis kaya singa,1,1,,,
Prajurit nang film iku ngelakoni perang wani banget,Prajurit nang film iku ngelakoni perang wedi banget,1,Prajurit nang film iku ngelakoni perang wis kaya kura,1,1,,,
"Wis suwi kerja nang negara liya, wong iku nduweni watak keras banget","Wis suwi kerja nang negara liya, wong iku nduweni watak lembek",0,"Wis suwi kerja nang negara liya, wong iku nduweni watak kaya watu",1,1,,,
"Wis suwi kerja nang negara liya, wong iku nduweni watak keras banget","Wis suwi kerja nang negara liya, wong iku nduweni watak lembek",1,"Wis suwi kerja nang negara liya, wong iku nduweni watak kaya tahu",1,1,,,
"Didelok saka kelakuane, anake Pak Budi iku lemah lembut","Didelok saka kelakuane, anake Pak Budi iku kasar",0,"Didelok saka kelakuane, anake Pak Budi iku kaya putri solo",1,,,1,
"Didelok saka kelakuane, anake Pak Budi iku lemah lembut","Didelok saka kelakuane, anake Pak Budi iku kasar",1,"Didelok saka kelakuane, anake Pak Budi iku kaya preman",1,,,1,
Pernikahane pasangan iku kaya akur banget,Pernikahane pasangan iku kaya ora akur,0,Pernikahane pasangan iku kaya Romeo lan Juliet,1,,,,1
Pernikahane pasangan iku kaya akur banget,Pernikahane pasangan iku kaya ora akur,1,Pernikahane pasangan iku kaya asu lan kucing,1,,,1,
Pak Sutrisno iku tansaya dhuwur pendidikane tambah rendah hati seperti padi,Pak Sutrisno iku tansaya dhuwur pendidikane tambah sombong seperti tong kosong,0,Pak Sutrisno iku tansaya dhuwur pendidikane tambah kaya pari,1,1,,,
Pak Sutrisno iku tansaya dhuwur pendidikane tambah rendah hati seperti padi,Pak Sutrisno iku tansaya dhuwur pendidikane tambah sombong seperti tong kosong,1,Pak Sutrisno iku tansaya dhuwur pendidikane tambah kaya tong kosong,1,1,,,
Adhiku yen ngomong kaya kasar banget,Adhiku yen ngomong kaya lemah lembut,0,Adhiku yen ngomong kaya Werkudara,1,,,,1
Adhiku yen ngomong kaya kasar banget,Adhiku yen ngomong kaya lemah lembut,1,Adhiku yen ngomong kaya Puntadewa,1,,,,1
Kesabarane ibu nang anak-anake jembar banget,Kesabarane ibu nang anak-anake sempit banget,0,Kesabarane ibu nang anak-anake kaya samudra,1,1,,,
Kesabarane ibu nang anak-anake jembar banget,Kesabarane ibu nang anak-anake sempit banget,1,Kesabarane ibu nang anak-anake kaya godhong kelor,1,1,,,
"Yen lara, awake dewe wis kaya panas banget","Yen lara, awake dewe wis kaya adem banget",0,"Yen lara, awake dewe wis kaya inti bumi",1,1,,,
"Yen lara, awake dewe wis kaya panas banget","Yen lara, awake dewe wis kaya adem banget",1,"Yen lara, awake dewe wis kaya kutub",1,1,,,
Wajahe mbak e iku cerah,Wajahe mbak e iku murung,0,Wajahe mbak e iku kaya srengenge,1,,1,,
Wajahe mbak e iku cerah,Wajahe mbak e iku murung,1,Wajahe mbak e iku kaya mendung,1,,1,,
Kulite cah kuwi putih,Kulite cah kuwi ireng,0,Kulite cah kuwi kaya salju,1,,1,,
Kulite cah kuwi putih,Kulite cah kuwi ireng,1,Kulite cah kuwi kaya areng,1,,1,,
Lapangan iku bentukane kaya ombo banget,Lapangan iku bentukane kaya sempit,0,Lapangan iku bentukane kaya segara,1,,1,,
Lapangan iku bentukane kaya ombo banget,Lapangan iku bentukane kaya sempit,1,Lapangan iku bentukane kaya kolam,1,,1,,
Mlayune wis kaya cepet banget,Mlayune wis kaya alon banget,0,Mlayune wis kaya kancil,1,1,,,
Mlayune wis kaya cepet banget,Mlayune wis kaya alon banget,1,Mlayune wis kaya kura,1,1,,,
Saben lebaran omah iki rame banget,Saben lebaran omah iki sepi banget,0,Saben lebaran omah iki kaya pasar,1,,,1,
Saben lebaran omah iki rame banget,Saben lebaran omah iki sepi banget,1,Saben lebaran omah iki kaya kuburan,1,,,1,
Bangunan iki rasane kaya pohon beringin,Bangunan iki rasane kaya pohon ketela,0,Bangunan iki rasane kaya wit ringin,0,,,,
Bangunan iki rasane kaya pohon beringin,Bangunan iki rasane kaya pohon ketela,1,Bangunan iki rasane kaya wit tela,0,,,,
Simbah suarane merdu kaya udah,Simbah suarane gembredek kaya gluduk,0,Simbah suarane kaya udan,1,1,,,
Simbah suarane merdu kaya udah,Simbah suarane gembredek kaya gluduk,1,Simbah suarane kaya gluduk,1,1,,,
"Cah iku yen dikandhani angel banget, keras kepala",Cah iku yen dikandhani manut,0,Cah iku yen dikandhani kaya watu,1,1,,,
"Cah iku yen dikandhani angel banget, keras kepala",Cah iku yen dikandhani manut,1,Cah iku yen dikandhani kaya banyu,1,1,,,
"Panganan iki rasane kaya bintang lima, tapi regane larange banget","Panganan iki rasane kaya bintang lima, tapi regane murah banget",0,"Panganan iki rasane kaya bintang lima, nanging regane bintang lima",1,,,1,
"Panganan iki rasane kaya bintang lima, tapi regane larange banget","Panganan iki rasane kaya bintang lima, tapi regane murah banget",1,"Panganan iki rasane kaya bintang lima, nanging regane kaki lima",1,,,1,
"Nardi iki piye carane sikatan, untune wis kaya kuning banget","Nardi iki piye carane sikatan, untune wis kaya putih banget",0,"Nardi iki piye carane sikatan, untune wis kaya emas 24 karat",1,,1,,
"Nardi iki piye carane sikatan, untune wis kaya kuning banget","Nardi iki piye carane sikatan, untune wis kaya putih banget",1,"Nardi iki piye carane sikatan, untune wis kaya gamping",1,,1,,
Pak Danu yen kena masalah berubah dadi beringas kaya singa,Pak Danu yen kena masalah berubah dadi kalem kaya kucing,0,Pak Danu yen kena masalah berubah dadi singa,1,,,1,
Pak Danu yen kena masalah berubah dadi beringas kaya singa,Pak Danu yen kena masalah berubah dadi kalem kaya kucing,1,Pak Danu yen kena masalah berubah dadi kucing,1,,,1,
Mbak e nduweni awak dhuwur langsing,Mbak e nduweni awak pendek lemu,0,Mbak e nduweni awak kaya gitar spanyol,1,,1,,
Mbak e nduweni awak dhuwur langsing,Mbak e nduweni awak pendek lemu,1,Mbak e nduweni awak kaya guci,1,,1,,
"Wis dididik, diajari sampe sukses, bocah kuwi kaya lali asal muasale","Wis dididik, diajari sampe sukses, bocah kuwi kaya iling asale",0,"Wis dididik, diajari sampe sukses, bocah kuwi kaya kacang",1,,,1,
"Wis dididik, diajari sampe sukses, bocah kuwi kaya lali asal muasale","Wis dididik, diajari sampe sukses, bocah kuwi kaya iling asale",1,"Wis dididik, diajari sampe sukses, bocah kuwi kaya penyu",1,,,1,
Ibu yen nesu kaya arep mbledos,Ibu yen nesu kaya kalem,0,Ibu yen nesu kaya Gunung Merapi,1,,,1,
Ibu yen nesu kaya arep mbledos,Ibu yen nesu kaya kalem,1,Ibu yen nesu kaya segara,1,,,1,
"Mobil iku langka banget, gaono wujude",Mobil iku gampang banget ditemu,0,Mobil iku ghoib,1,,,1,
"Mobil iku langka banget, gaono wujude",Mobil iku gampang banget ditemu,1,Mobil iku pasaran,1,,,1,
Deni yen wis nari luwes banget kaya godhong ceblok,Deni yen wis nari kaku banget kaya robot,0,Deni yen wis nari kaya godhong ceblok,0,,,,
Deni yen wis nari luwes banget kaya godhong ceblok,Deni yen wis nari kaku banget kaya robot,1,Deni yen wis nari kaya robot,0,,,,
Kowe apa wis mangan? Kok polahmu kaya beringas,Kowe apa wis mangan? Kok polahmu kaya lemes banget,0,Kowe apa wis mangan? Kok polahmu kaya banteng nesu,1,,,1,
Kowe apa wis mangan? Kok polahmu kaya beringas,Kowe apa wis mangan? Kok polahmu kaya lemes banget,1,Kowe apa wis mangan? Kok polahmu kaya kucing luwe,1,,,1,
Wong yen wis gedhe iku aja meneng wae,Wong yen wis gedhe iku bebas,0,Wong yen wis gedhe iku ojo kaya katak ning njero tempurung,1,,,1,
Wong yen wis gedhe iku aja meneng wae,Wong yen wis gedhe iku bebas,1,Wong yen wis gedhe iku kaya walet,1,,,1,
Motor iku yen ditumpaki cepet banget,Motor iku yen ditumpaki alon banget,0,Motor iku yen ditumpaki wis kaya jet,1,1,,,
Motor iku yen ditumpaki cepet banget,Motor iku yen ditumpaki alon banget,1,Motor iku yen ditumpaki wis kaya dokar,1,1,,,
"Ndek sekolah, Andi iku juara kelas","Ndek sekolah, Andi iku ranking paling ngisor",0,"Ndek sekolah, Andi iku bintang kelas",1,,,1,
"Ndek sekolah, Andi iku juara kelas","Ndek sekolah, Andi iku ranking paling ngisor",1,"Ndek sekolah, Andi iku juru kunci kelas",1,,,1,
Aldi lan Doni iku sahabat sing wis kokoh banget kaya rante,Aldi lan Doni iku sahabat sing wis rapuh lan tipis kaya senar,0,Aldi lan Doni iku sahabat sing wis kaya rante,1,1,,,
Aldi lan Doni iku sahabat sing wis kokoh banget kaya rante,Aldi lan Doni iku sahabat sing wis rapuh lan tipis kaya senar,1,Aldi lan Doni iku sahabat sing wis kaya senar,1,1,,,
Pengawas ujian iku nduweni mata awas banget kaya elang,Pengawas ujian iku nduweni mata rabun kaya lawa,0,Pengawas ujian iku nduweni mata kaya elang,1,,1,,
Pengawas ujian iku nduweni mata awas banget kaya elang,Pengawas ujian iku nduweni mata rabun kaya lawa,1,Pengawas ujian iku nduweni mata kaya lawa,1,,1,,
Wong iku kulite kaya lembut kaya kulit bayi,Wong iku kulite kaya kasar kaya kulit boyo,0,Wong iku kulite kaya kulit bayi,1,,1,,
Wong iku kulite kaya lembut kaya kulit bayi,Wong iku kulite kaya kasar kaya kulit boyo,1,Wong iku kulite kaya kulit boyo,1,,1,,
Masa depane cah kuwi kaya cerah banget,Masa depane cah kuwi kaya peteng,0,Masa depane cah kuwi kaya siang,1,,,1,
