ending1	ending2	labels	startphrase	valid	Obj	Vis	Soc	Cul
Orang asing bisa menjadi teman.	Orang asing bisa menjadi musuh.	1	Orang asing yang kau temui sewaktu-waktu bisa menjadi jurang di ujung jalan.	1		1		
Mereka berbicara dengan suara kencang.	Mereka berbicara dengan suara pelan.	0	Saat kelas berlangsung, mereka berbincang bak petir bersahut-sahutan di tengah hujan.	1		1		
Mereka berbicara dengan suara kencang.	Mereka berbicara dengan suara pelan.	1	Saat kelas berlangsung, mereka berbincang bak berbisik pada dedaunan.	1	1			
Perempuan itu suka bersosialisasi.	Perempuan itu suka menyendiri.	0	Perempuan itu sangat suka berkumpul dengan bintang-bintang.	1		1		
Perempuan itu suka bersosialisasi.	Perempuan itu suka menyendiri.	1	Perempuan itu sangat suka memeluk keheningan malam.	1		1		
Dia peduli.	Dia tidak peduli.	0	Saat aku terpuruk, dia berlagak layaknya fans yang mendukung idolanya.	1			1	
Dia peduli.	Dia tidak peduli.	1	Saat aku terpuruk, dia berlagak layaknya orang asing di keramaian ibu kota.	1			1	
Ayahnya sangat ramah.	Ayahnya sangat kaku.	0	Ayahku bersikap seolah bisa menyapa seluruh dunia.	1			1	
Ayahnya sangat ramah.	Ayahnya sangat kaku.	1	Ayahku bersikap seolah dia adalah robot yang sudah usang.	1	1			
Dia sangat sedih.	Dia sangat senang.	0	Dia tampak seperti mahasiswa yang gagal ujian.	1			1	
Dia sangat sedih.	Dia sangat senang.	1	Dia tampak seperti habis memenangkan lotre.	1			1	
Menurutnya, merantau itu mendebarkan.	Menurutnya, merantau itu menyesakkan.	0	Menurutnya, merantau adalah petualangan mencari jati diri.	1			1	
Menurutnya, merantau itu mendebarkan.	Menurutnya, merantau itu menyesakkan.	1	Menurutnya, merantau adalah perang yang tak berujung.	1			1	
Rara tampak rapi.	Rara tampak lusuh.	0	Rara berpakaian seolah akan mengikuti pemotretan di sebuah majalah.	1		1		
Rara tampak rapi.	Rara tampak lusuh.	1	Rara berpakaian seolah akan mengambil paket di depan rumah.	1		1		
Dia bicara dengan lemah lembut.	Dia bicara dengan kasar.	0	Cara bicaranya bak putri Solo.	1		1		1
Dia bicara dengan lemah lembut.	Dia bicara dengan kasar.	1	Cara bicaranya bak preman di pasar.	1		1		1
Mahasiswa itu menjawab dengan gelagapan.	Mahasiswa itu menjawab dengan tenang.	0	Saat ditanya, mahasiswa itu menjawab seperti orang yang ketahuan mencuri.	1			1	
Mahasiswa itu menjawab dengan gelagapan.	Mahasiswa itu menjawab dengan tenang.	1	Saat ditanya, mahasiswa itu menjawab seperti sudah mengantongi kunci jawaban di kepalanya.	1			1	
Kamar kosnya berantakan.	Kamar kosnya rapi.	0	Kamar kosnya bagaikan rumah yang habis dimasuki pencuri.	1		1		
Kamar kosnya berantakan.	Kamar kosnya rapi.	1	Kamar kosnya bagaikan rumah dengan selusin ART.	1		1		1
Rumahnya luas.	Rumahnya sempit.	0	Rumahnya seluas GBK.	1	1			1
Rumahnya luas.	Rumahnya sempit.	1	Rumahnya seluas jalan tikus.	1	1			
Dia bisa dipercaya.	Dia tidak bisa dipercaya.	0	Bagi dia, rahasia adalah pusaka keluarga.	1			1	
Dia bisa dipercaya.	Dia tidak bisa dipercaya.	1	Bagi dia, rahasia adalah berita yang siap dikeluarkan kapan saja.	1			1	
Sikapnya hangat.	Sikapnya dingin.	0	Dia adalah sinar matahari yang menyelimuti bumi.	1		1		
Sikapnya hangat.	Sikapnya dingin.	1	Dia adalah hujan di tengah malam.	1		1		
Kereta itu lowong.	Kereta itu padat.	0	Kereta sore itu bagaikan bisa dipakai bermain sepak bola.	1		1		
Kereta itu lowong.	Kereta itu padat.	1	Kereta sore itu bagaikan lautan yang dipenuhi ikan.	1		1		
Tanggung jawabnya berat.	Tanggung jawabnya ringan.	0	Tanggung jawab Dian seringan menggendong satu keluarga besar.	1			1	
Tanggung jawabnya berat.	Tanggung jawabnya ringan.	1	Tanggung jawab Dian seringan daun yang dihembus angin.	1	1			
Setelah ia datang, keadaan semakin buruk.	Setelah ia datang, keadaan semakin baik.	0	Setelah ia datang, keadaan seperti pakaian yang dicuci dengan lumpur.	1	1			
Setelah ia datang, keadaan semakin buruk.	Setelah ia datang, keadaan semakin baik.	1	Setelah ia datang, keadaan seperti pelangi yang muncul selepas hujan.	1	1			
Sekolahnya jauh.	Sekolahnya dekat.	0	Jarak rumah ke sekolahnya sejauh menyebrangi samudra.	1	1			
Sekolahnya jauh.	Sekolahnya dekat.	1	Jarak rumah ke sekolahnya sejauh rumah tetangga.	1	1			
Badan murid SMP itu tinggi.	Badan murid SMP itu pendek.	0	Murid SMP itu setinggi tiang listrik.	1	1			
Badan murid SMP itu tinggi.	Badan murid SMP itu pendek.	1	Murid SMP itu setinggi pohon taoge.	1	1			
Dia beruntung.	Dia apes.	0	Nasibnya bagai orang yang selamat dari tragedi mematikan,.	1			1	
Dia beruntung.	Dia apes.	1	Nasibnya bagai orang yang kena tipu,.	1			1	
Dia melek teknologi.	Dia gaptek.	0	Baginya, dunia digital adalah tempat bermain yang menyenangkan.	0			1	
Dia melek teknologi.	Dia gaptek.	1	Baginya, dunia digital adalah rumah hantu yang penuh jebakan.	0			1	
Dia berpendirian teguh.	Dia tidak punya pendirian.	0	Pendiriannya bagai tak bisa digoyangkan angin.	1	1			
Dia berpendirian teguh.	Dia tidak punya pendirian.	1	Pendiriannya bagai peraturan yang berubah-ubah.	1	1			
Dia bersikap seenaknya.	Dia bersikap hati-hati.	0	Dia berlagak seperti cucu yang punya jalan.	1			1	
Dia bersikap seenaknya.	Dia bersikap hati-hati.	1	Dia berlagak seperti anak ayam yang baru menetas.	1			1	
Tekad mereka besar.	Tekad mereka kecil.	0	Mereka mengikuti lomba seolah siap memberikan seluruh darah dan keringat.	1			1	
Tekad mereka besar.	Tekad mereka kecil.	1	Mereka mengikuti lomba seolah hanya untuk mengisi kuota.	1			1	
Bersamanya, waktu berlalu dengan cepat.	Bersamanya, waktu berlalu dengan lambat.	0	Mengobrol dengannya terasa seperti menghabiskan satu lagu.	1	1			
Bersamanya, waktu berlalu dengan cepat.	Bersamanya, waktu berlalu dengan lambat.	1	Mengobrol dengannya terasa seperti melakukan perjalanan ke bulan.	1	1			
Tugas mahasiswa banyak.	Tugas mahasiswa sedikit.	0	Tugas mahasiswa bagaikan tumpukan baju yang belum disetrika.	1	1			
Tugas mahasiswa banyak.	Tugas mahasiswa sedikit.	1	Tugas mahasiswa bagaikan bisa dihitung jari.	1	1			
Bersosialisasi itu melelahkan.	Bersosialisasi itu menyenangkan.	0	Baginya, bersosialisasi itu seperti menaiki ratusan anak tangga.	1			1	
Bersosialisasi itu melelahkan.	Bersosialisasi itu menyenangkan.	1	Baginya, bersosialisasi itu seperti melepas rindu dengan orang tersayang.	1			1	
Bermain media sosial adalah kegiatan yang sia-sia.	Bermain media sosial adalah kegiatan yang bermanfaat.	0	Bermain media sosial bagai menjemur pakaian di waktu hujan.	1			1	
Bermain media sosial adalah kegiatan yang sia-sia.	Bermain media sosial adalah kegiatan yang bermanfaat.	1	Bermain media sosial bagai mengikuti kuliah 1 SKS.	1			1	
Adik sangat mandiri.	Adik sangat manja.	0	Adik berlaku bak akan mengurus pinjaman di bank.	1			1	
Adik sangat mandiri.	Adik sangat manja.	1	Adik berlaku bak bayi yang merindukan ibunya.	1			1	
Cuacanya cerah.	Cuacanya mendung.	0	Langitnya tampak seperti senyuman mahasiswa yang lulus sidang.	1			1	
Cuacanya cerah.	Cuacanya mendung.	1	Langitnya tampak seperti wajah anak kecil yang kalah dalam permainan.	1			1	
Rumahnya indah.	Rumahnya tak terurus.	0	Rumahnya tampak bagaikan istana megah.	1		1		
Rumahnya indah.	Rumahnya tak terurus.	1	Rumahnya tampak bagaikan rumah tak berpenghuni.	1		1		
Dia dan kakaknya sering bertengkar.	Dia dan kakaknya sangat dekat.	0	Hubungannya dengan sang kakak seperti anjing dan kucing.	1			1	
Dia dan kakaknya sering bertengkar.	Dia dan kakaknya sangat dekat.	1	Hubungannya dengan sang kakak seperti lem dan perangko.	1	1			
Nilai matematikanya jelek.	Nilai matematikanya bagus.	0	Nilai matematikanya setinggi mata kaki.	1	1			
Nilai matematikanya jelek.	Nilai matematikanya bagus.	1	Nilai matematikanya setinggi langit.	1	1			
Berangkat sekolah pagi itu bermanfaat.	Berangkat sekolah pagi itu berbahaya.	0	Berangkat sekolah ketika masih langit masih gelap ibarat menjemput rezeki.	1			1	
Berangkat sekolah pagi itu bermanfaat.	Berangkat sekolah pagi itu berbahaya.	1	Berangkat sekolah ketika masih langit masih gelap ibarat melawan arus.	1			1	
Kerja menjadi Polisi di Indonesia itu beresiko.	Kerja menjadi Polisi di Indonesia itu mudah.	0	Seperti membangunkan macan tidur, kerja di institusi kepolisian Indonesia.	1			1	
Kerja menjadi Polisi di Indonesia itu beresiko.	Kerja menjadi Polisi di Indonesia itu mudah.	1	Seperti membelah bolu, kerja di institusi kepolisian Indonesia.	1	1			
Muka yang bulat sempurna.	Muka yang bulat tidak sempurna.	0	Mukamu bentuknya sebulat matahari di siang hari.	1		1		
Muka yang bulat sempurna.	Muka yang bulat tidak sempurna.	1	Mukamu bentuknya sebulat bulan yang penuh benjolan.	1		1		
Bekerja di kantor tersebut seperti terasa serba lama.	Bekerja di kantor tersebut seperti terasa serba baru.	0	Layaknya pasangan paruh baya di perayaan peraknya perasaanku bekerja di kantor ini.	1			1	
Bekerja di kantor tersebut seperti terasa serba lama.	Bekerja di kantor tersebut seperti terasa serba baru.	1	Layaknya pasangan yang tengah berbulan madu perasaanku bekerja di kantor ini.	1			1	
Semangat yang keras.	Semangat yang lembek.	0	Semangatnya begitu keras bagaikan batu.	1	1			
Semangat yang keras.	Semangat yang lembek.	1	Semangatnya begitu keras bagaikan tahu.	1	1			
Di luar negeri dia selalu merindu tanah air.	Di luar negeri dia lupa dengan tanah airnya.	0	Bagaikan anak merindukan ibunya, semenjak dia pindah ke negeri orang.	1			1	
Di luar negeri dia selalu merindu tanah air.	Di luar negeri dia lupa dengan tanah airnya.	1	Bagaikan kacang lupa kulitnya, semenjak dia pindah ke negeri orang.	1			1	
Hidup di perantauan itu penuh kebahagiaan.	Hidup di perantauan itu penuh kesedihan.	0	Hidupnya di perantauan seterang bulan purnama.	1		1		
Hidup di perantauan itu penuh kebahagiaan.	Hidup di perantauan itu penuh kesedihan.	1	Hidupnya di perantauan seterang bulan gerhana.	1		1		
Cat rumah putih sekali.	Cat rumah hitam sekali.	0	Cat rumahnya seputih salju.	1		1		
Cat rumah putih sekali.	Cat rumah hitam sekali.	1	Cat rumahnya seputih arang.	1		1		
Kehidupannya mewah sekali.	Kehidupannya kumuh sekali.	0	Menurut mereka, aku hidup seperti putri.	1			1	
Kehidupannya mewah sekali.	Kehidupannya kumuh sekali.	1	Menurut mereka, aku hidup seperti inang.	1			1	
Barisannya beraturan.	Barisannya tidak beraturan.	0	Anak-anak berderet bak bebek berbaris.	1			1	
Barisannya beraturan.	Barisannya tidak beraturan.	1	Anak-anak berderet bak ayam berjalan.	1			1	
Bangunannya kokoh.	Bangunannya tidak kokoh.	0	Bangunan lama tersebut berdiri bak pohon beringin.	1	1			
Bangunannya kokoh.	Bangunannya tidak kokoh.	1	Bangunan lama tersebut berdiri bak nyiur di tepi pantai.	1	1			
Kulit RIka lembut.	Kulit RIka kasar.	0	Dengan perawatan mahal, kulit Rika selembut sutra.	1	1			
Kulit RIka lembut.	Kulit RIka kasar.	1	Dengan perawatan mahal, kulit Rika selembut pasir.	1	1			
Suara Lesti merdu.	Suara Lesti serak.	0	Suara Lesti sekarang seperti merdunya hujan.	1	1			
Suara Lesti merdu.	Suara Lesti serak.	1	Suara Lesti sekarang seperti serak-serak kepalang basah.	1	1			
Jakarta ramai.	Jakarta sepi.	0	Lebaran kali ini, Jakarta seramai Masjid Nabawi.	1				1
Jakarta ramai.	Jakarta sepi.	1	Lebaran kali ini, Jakarta seramai masjid di pelosok desa.	1				1
Kota tersebut penuh cahaya.	Kota tersebut tidak terlihat cahayanya.	0	Cahaya lampu kota ini apabila malam seperti ratusan bintang di permukaan bumi.	1		1		
Kota tersebut penuh cahaya.	Kota tersebut tidak terlihat cahayanya.	1	Cahaya lampu kota ini apabila malam seperti kunang-kunang di siang hari.	1		1		
Setelah ayah menikah lagi, kehidupan semakin buruk.	Setelah ayah menikah lagi, kehidupan sangat indah.	0	Ibarat tinggal di neraka, semenjak ayah menikah lagi.	1			1	
Setelah ayah menikah lagi, kehidupan semakin buruk.	Setelah ayah menikah lagi, kehidupan sangat indah.	1	Ibarat tinggal di surga, semenjak ayah menikah lagi.	1			1	
Guru Dita sangat sabar.	Guru Dita tidak sabaran.	0	Guru Dita kesabarannya seluas samudra.	1	1			
Guru Dita sangat sabar.	Guru Dita tidak sabaran.	1	Guru Dita kesabarannya seluas empang.	1	1			
Larinya cepat.	Larinya lambat.	0	Larinya secepat cheetah.	1	1			
Larinya cepat.	Larinya lambat.	1	Larinya secepat kura-kura.	1	1			
Ucapan yang menyakitkan.	Ucapan yang menyenangkan.	0	Mendengar ucapannya, aku merasa seperti ditusuk belati.	1			1	
Ucapan yang menyakitkan.	Ucapan yang menyenangkan.	1	Mendengar ucapannya, aku merasa seperti dibelai kekasih.	1			1	
Sepatunya harum.	Sepatunya bau.	0	Sepatuku harum seperi ladang bunga.	1	1			
Sepatunya harum.	Sepatunya bau.	1	Sepatuku harum seperi tong sampah.	1	1			
Pencuri yang cerdik.	Pencuri yang bodoh.	0	Pencuri yang kecerdasannya laksana kancil.	1	1			
Pencuri yang cerdik.	Pencuri yang bodoh.	1	Pencuri yang kecerdasannya laksana keledai.	1	1			
Pernikahan yang romantis.	Pernikahan yang penuh pertengkaran.	0	Pernikahan mereka layaknya Popeye & Olive.	1				1
Pernikahan yang romantis.	Pernikahan yang penuh pertengkaran.	1	Pernikahan mereka layaknya Popeye & Bluto.	1				1
Hidupnya bebas.	Hidupnya tidak bebas.	0	Sejak menikah, hidupnya bagaikan burung yang terbang bebas.	1			1	
Hidupnya bebas.	Hidupnya tidak bebas.	1	Sejak menikah, hidupnya bagaikan burung dalam kerangkeng.	1			1	
Wajah adik kakak yang sangat berbeda.	Wajah adik kakak yang sangat mirip.	0	Wajahku dan adikku ibarat bumi & langit.	1	1	1		
Wajah adik kakak yang sangat berbeda.	Wajah adik kakak yang sangat mirip.	1	Wajahku dan adikku ibarat pinang di belah dua.	1	1	1		
Kecepatan mobil itu cepat.	Kecepatan mobil itu lambat.	0	Kecepatan mobil elektrik buatan Indonesia sudah seperti kecepatan jet.	1	1			
Kecepatan mobil itu cepat.	Kecepatan mobil itu lambat.	1	Kecepatan mobil elektrik buatan Indonesia sudah seperti kecepatan delman.	1	1			
Suara ngoroknya merdu.	Suara ngoroknya berisik.	0	Pemenang lomba menyanyi kalau tidur ngoroknya seperti nyanyian angin.	1	1			
Suara ngoroknya merdu.	Suara ngoroknya berisik.	1	Pemenang lomba menyanyi kalau tidur ngoroknya seperti suara knalpot.	1	1			
Tindakan yang penuh gelisah.	Tindakan yang terlalu santai.	0	Jangan bertindak seperti cacing kepanasan.	1			1	
Tindakan yang penuh gelisah.	Tindakan yang terlalu santai.	1	Jangan bertindak seperti orang berpelesir.	1			1	
Bisnisnya bangkrut.	Bisnisnya sukses.	0	Bisnis orang tuanya ibarat bisnis yang gulung tikar.	1			1	
Bisnisnya bangkrut.	Bisnisnya sukses.	1	Bisnis orang tuanya ibarat bisnis yang menuju puncak.	1			1	
Temannya bertingkah layaknya orang kaya.	Temannya bertingkah layaknya orang miskin.	0	Temanku tingkahnya serasa dirinya berdarah bangsawan.	1			1	
Temannya bertingkah layaknya orang kaya.	Temannya bertingkah layaknya orang miskin.	1	Temanku tingkahnya serasa dirinya pemilik dapur tidak berasap.	1			1	
Masuk ke perusahaan yang berbahaya.	Masuk ke perusahaan yang membuat aman& nyaman.	0	Masuk ke perusahaan ini ibarat masuk mulut buaya.	1			1	
Masuk ke perusahaan yang berbahaya.	Masuk ke perusahaan yang membuat aman& nyaman.	1	Masuk ke perusahaan ini ibarat masuk rumah sendiri.	1			1	
Harga pakaian sangat murah.	Harga pakaian sangat mahal.	0	Harga pakaian di Pasar Cigasong sekarang bagai membeli kacang goreng.	1	1			
Harga pakaian sangat murah.	Harga pakaian sangat mahal.	1	Harga pakaian di Pasar Cigasong sekarang bagai membeli pesawat pribadi.	1	1			
Omongan tetangga yang menyakitkan.	Omongan tetangga yang manis didengar.	0	Omongan tetangga Rina seakan lidah tak bertulang.	1	1		1	
Omongan tetangga yang menyakitkan.	Omongan tetangga yang manis didengar.	1	Omongan tetangga Rina seakan  mulut berbau madu.	1	1		1	
Rezeki yang datangnya sedikit.	Rezeki yang datangnya banyak.	0	Rezeki datang tak terduga seperti air surut.	1	1			
Rezeki yang datangnya sedikit.	Rezeki yang datangnya banyak.	1	Rezeki datang tak terduga seperti air pasang.	1	1			
Politisi yang jago dan berpengalaman.	Politisi yang belum berpengalaman.	0	Politisi pilihan ayahku macam pemain handal.	1			1	
Politisi yang jago dan berpengalaman.	Politisi yang belum berpengalaman.	1	Politisi pilihan ayahku macam anak kemarin sore.	1			1	
Tugas Python yang tidak menyenangkan.	Tugas Python yang menyenangkan.	0	Mengerjakan tugas Python itu ibarat bertempur di medan perang.	1			1	
Tugas Python yang tidak menyenangkan.	Tugas Python yang menyenangkan.	1	Mengerjakan tugas Python itu ibarat menari diiringi musik.	1			1	
Laptop sejuta umat.	Laptop langka.	0	Laptop yang dibelikan suaminya sepopuler Avanza di Indonesia.	1				1
Laptop sejuta umat.	Laptop langka.	1	Laptop yang dibelikan suaminya sepopuler mobil antik keluaran 70an.	1				1
Rumah yang besar.	Rumah yang kecil.	0	Semoga rumahmu nanti sebesar kastil.	1	1			
Rumah yang besar.	Rumah yang kecil.	1	Semoga rumahmu nanti sebesar kotak sepatu.	1	1			
Makanannya mahal.	Makanannya murah.	0	Harga makanan yang dibeli pacarku bagaikan dibuat oleh chef bintang lima.	1	1			
Makanannya mahal.	Makanannya murah.	1	Harga makanan yang dibeli pacarku bagaikan dibuat oleh  chef kaki lima.	1	1			
Investasi Bitcoin menguntungkan.	Investasi Bitcoin merugikan.	0	Investasi Bitcoin sekarang ini ibarat deposito berbunga tinggi.	1	1			
Investasi Bitcoin menguntungkan.	Investasi Bitcoin merugikan.	1	Investasi Bitcoin sekarang ini ibarat membayar KPR dengan bunga tinggi.	1	1			1
Karir yang diam ditempat.	Karir yang bergerak mengikuti arus yang seharusnya.	0	Seperti air menenang, karirku sekarang.	1	1			
Karir yang diam ditempat.	Karir yang bergerak mengikuti arus yang seharusnya.	1	Seperti air mengalir, karirku sekarang.	1	1			
Cuacanya panas.	Cuacanya dingin.	0	Cuaca hari ini seperti panasnya neraka.	1	1			
Cuacanya panas.	Cuacanya dingin.	1	Cuaca hari ini seperti dinginnya Kutub Utara.	1	1			
Kuenya enak dimakan.	Kuenya tidak enak dimakan.	0	Kue buatan temanku rasanya seperti makan mangga ketika musimnya.	1			1	
Kuenya enak dimakan.	Kuenya tidak enak dimakan.	1	Kue buatan temanku rasanya seperti makan jarum ketika sariawan.	1			1	
Timbangan badanku turun.	Timbangan badanku naik.	0	Timbangan badanku macam bergerak ke kiri.	1	1			
Timbangan badanku turun.	Timbangan badanku naik.	1	Timbangan badanku macam bergerak ke kanan.	1	1			
Badannya bau.	Badannya harum.	0	Bau badannya sudah seperti bau duren.	1	1			
Badannya bau.	Badannya harum.	1	Bau badannya sudah seperti bau bunga.	1	1			
Hari-harinya sibuk.	Hari-harinya tidak sibuk.	0	Walau masih mahasiswa, tapi hari-harinya macam karyawan lembur.	1			1	
Hari-harinya sibuk.	Hari-harinya tidak sibuk.	1	Walau masih mahasiswa, tapi hari-harinya macam karyawan kena phk.	1			1	
Ucapannya penuh gombalan.	Ucapannya penuh nasihat.	0	Setiap lelaki itu bersuara, ucapannya bagaikan buaya darat.	1			1	
Ucapannya penuh gombalan.	Ucapannya penuh nasihat.	1	Setiap lelaki itu bersuara, ucapannya bagaikan guru ngaji dengan muridnya.	1			1	
Bebah hidup Dani ringan.	Bebah hidup Dani berat.	0	Seberat kapas, begitulah beban hidup Dani.	1	1			
Bebah hidup Dani ringan.	Bebah hidup Dani berat.	1	Seberat ikan paus, begitulah beban hidup Dani.	1	1			
Nasihat ibu terkadang enak didengar.	Nasihat ibu terkadang tidak enak didengar.	0	Nasihat ibu terkadang semanis permen.	1	1			
Nasihat ibu terkadang enak didengar.	Nasihat ibu terkadang tidak enak didengar.	1	Nasihat ibu terkadang semanis jamu.	1	1			
Bukunya banyak sekali.	Bukunya nyaris tidak ada.	0	Buku koleksi adikku sebanyak pasir di pantai.	1	1			
Bukunya banyak sekali.	Bukunya nyaris tidak ada.	1	Buku koleksi adikku sebanyak bunga di musim gugur.	1	1			
Sinta dan Mayang sangat mirip.	Sinta dan Mayang sangat berbeda.	0	Sinta dan Mayang itu bagai pinang dibelah dua.	1	1	1		
Sinta dan Mayang sangat mirip.	Sinta dan Mayang sangat berbeda.	1	Sinta dan Mayang itu bagai langit dan bumi.	1	1	1		
Diam itu membawa dampak positif.	Diam itu membawa dampak negatif.	0	Diam itu emas.	1	1			
Diam itu membawa dampak positif.	Diam itu membawa dampak negatif.	1	Diam itu sampah.	1	1			
Aku tidak berharga bagi atasan.	Aku berharga bagi atasan.	0	Aku seperti umbi-umbian di mata atasan.	1	1			
Aku tidak berharga bagi atasan.	Aku berharga bagi atasan.	1	Aku seperti anak emas di mata atasan.	1	1			
Wilayah Pasundan amat indah.	Wilayah Pasundan amat jelek.	0	Tanah Pasundan diciptakan seakan Tuhan sedang tersenyum.	1				1
Wilayah Pasundan amat indah.	Wilayah Pasundan amat jelek.	1	Tanah Pasundan diciptakan seakan Tuhan sedang marah.	1				1
Kedelai itu dirawat petani dengan sungguh-sungguh.	Kedelai itu dirawat petani dengan serampangan.	0	Kedelai itu dirawat petani layaknya anak sendiri.	1			1	
Kedelai itu dirawat petani dengan sungguh-sungguh.	Kedelai itu dirawat petani dengan serampangan.	1	Kedelai itu dirawat petani layaknya anak tiri.	1			1	
Ibu merawat anaknya dengan kasih sayang.	Ibu merawat anaknya dengan ogah-ogahan.	0	Ibu membesarkan anaknya dengan sepenuh hati.	1			1	
Ibu merawat anaknya dengan kasih sayang.	Ibu merawat anaknya dengan ogah-ogahan.	1	Ibu membesarkan anaknya dengan setengah hati.	1			1	
Guru memberi materi sebanyak-banyaknya.	Guru memberi materi secukupnya.	0	Guru memberikan materi seolah tidak ada hari esok.	1			1	
Guru memberi materi sebanyak-banyaknya.	Guru memberi materi secukupnya.	1	Guru memberikan materi seolah masih ada hari esok.	1			1	
Cuaca hari ini sangat panas.	Cuaca hari ini sangat dingin.	0	Hari ini cuacanya seperti berada di Padang Mahsyar.	1	1			1
Cuaca hari ini sangat panas.	Cuaca hari ini sangat dingin.	1	Hari ini cuacanya seperti berada di di puncak gunung Bromo.	1	1			1
Youtuber itu makan nasi padang dengan porsi sedikit.	Youtuber itu makan nasi padang dengan porsi sangat banyak.	0	Youtuber itu makan nasi padang seolah perutnya sudah penuh.	1			1	
