ending1 (string),ending2 (string),labels,startphrase (string),valid,category,obj,vis,soc,cul
Pesa hufurahisha.,Pesa huleta huzuni.,1,Pesa ni adui mkubwa.,1,obj,1,0,0,0
Yeye anajivunia.,Yeye aliona aibu.,0,Mtoto huyo ni tausi.,1,obj,1,0,0,0
Yeye anajivunia.,Yeye aliona aibu.,1,Mtoto huyo ni kama kijana aliyenaswa akitoroka nje ya nyumba.,1,obj,1,0,0,0
Ana akili kweli.,Ni mjinga kweli.,0,Mvulana huyo alikuwa sungura.,1,obj,1,0,0,0
Ana akili kweli.,Ni mjinga kweli.,1,Mvulana huyo alikuwa kondoo.,1,obj,1,0,0,0
Mama yake ni mkali.,Mama yake ni mpole.,0,Mama yake ni simba.,1,obj,1,0,0,0
Mama yake ni mkali.,Mama yake ni mpole.,1,Mama yake ni mwana-kondoo.,1,obj,1,0,0,0
Alikuwa mwenye huruma.,Hakuwa mwenye huruma.,0,Jirani yangu ni malaika.,1,soc,0,0,1,0
Alikuwa mwenye huruma. ,Hakuwa mwenye huruma.,1,Jirani yangu ni shetani.,1,soc,0,0,1,0
Yeye ni mwenye bidii.,Yeye mvivu.,0,Mwenzake ni mchwa.,1,obj,1,0,0,0
Yeye ni mwenye bidii.,Yeye mvivu.,1,Mwenzake ni chura chini ya kisima.,1,obj,1,0,0,0
Somo hilo linaeleweka. ,Somo hilo halieleweki.,0,Somo la hesabu ni mchana wa mwanga.,1,soc,0,0,1,0
Somo hilo linaeleweka.,Somo hilo halieleweki.,1,Somo la hesabu ni usiku wa giza.,1,soc,0,0,1,0
Yeye ni mvumilivi.,Yeye si mvumilivu.,0,Kijana yule ni mtumwa.,1,obj,1,0,0,0
Yeye ni mvumilivi. ,Yeye si mvumilivu.,1,Kijana yule ni mtoto mchanga aliye na njaa.,1,obj,1,0,0,0
Nguo zake zinanuka vizuri. ,Nguo zake zina uvundo.,0,Nguo zake ni kama marashi ya karafuu.,1,obj,1,0,0,0
Nguo zake zinanuka vizuri. ,Nguo zake zina uvundo.,1,Nguo zake ni kama kidonda.,1,obj,1,0,0,0
Nampenda sana.,Namchukia sana.,0,Yule ni mboni ya jicho langu.,1,soc,0,0,1,0
Nampenda sana.,Namchukia sana.,1,Yule ni sumu.,1,soc,0,0,1,0
Yule amekamilika.,Yule sio kamili.,0,Mwanasoka yule ni nyota.,1,vis,0,1,0,0
Yule amekamilika.,Yule sio kamili.,1,Mwanasoka yule ni mwezi mpevu.,1,vis,0,1,0,0
Kitabu hiki ni kipya.,Kitabu hiki ni cha zamani.,0,Kitabu hiki ni kipya kama mwanzo wa siku.,1,obj,1,0,0,0
Kitabu hiki ni kipya.,Kitabu hiki ni cha zamani.,1,Kitabu hiki ni kipya kama milima.,1,obj,1,0,0,0
Urafiki wao ni wa amani na upendo. ,Urafiki wao ni wa vita na vurugu.,0,Urafiki wao ni kama wa chanda na pete.,1,soc,0,0,1,0
Urafiki wao ni wa amani na upendo. ,Urafiki wao ni wa vita na vurugu.,1,Urafiki wao ni kama wa mbwa na paka.,1,soc,0,0,1,0
Yeye ni safi.,Yeye ni chafu.,0,Yeye ni filimbi.,1,vis,0,1,0,0
Yeye ni safi. ,Yeye ni chafu.,1,Yeye ni nguruwe.,1,vis,0,1,0,0
Mama wa kambo ni mzuri.,Mama wa kambo ni mbaya.,0,Mama wa kambo amekuwa njiwa.,1,obj,1,0,0,0
Mama wa kambo ni mzuri.,Mama wa kambo ni mbaya.,1,Mama wa kambo amekuwa mamba.,1,obj,1,0,0,0
Mambo yake ni wazi sana.,Mambo yake ni fiche sana.,0,Mambo yake ni kioo.,1,vis,0,1,0,0
Mambo yake ni wazi sana.,Mambo yake ni fiche sana.,1,Mambo yake ni giza.,1,vis,0,1,0,0
Yule ni mtulivu.,Yule ni mwenye hamaki.,0,Mtoto yule ni bahari.,1,obj,1,0,0,0
Yule ni mtulivu.,Yule ni mwenye hamaki.,1,Mtoto yule ni mkizi.,1,obj,1,0,0,0
Mvua inanyesha sana leo.,Jua linachoma sana leo.,0,Siku ya leo ni kama chemichemi.,1,vis,0,1,0,0
Mvua inanyesha sana leo.,Jua linachoma sana leo.,1,Siku ya leo ni kama Kalahari.,1,vis,0,1,0,0
Yule ni muaminifu.,Yule ni msaliti.,0,Mwajiriwa yule ni mtume.,1,obj,1,0,0,0
Yule ni muaminifu.,Yule ni msaliti.,1,Mwajiriwa yule ni Yuda Iskariote.,1,obj,1,0,0,0
Maumivu yangu ni chungu sana.,Maumivu yangu si chungu.,0,Maumivu ni shoka linalokata moyo wangu.,1,soc,0,0,1,0
Maumivu yangu ni chungu sana.,Maumivu yangu si chungu.,1,Maumivu ni muziki mzuri kwa roho yangu.,1,soc,0,0,1,0
Chai hii ni baridi sana.,Chai hii ni moto sana.,0,Chai hii ni baridi kama kifo.,1,soc,0,0,1,0
Chai hii ni baridi sana.,Chai hii ni moto sana.,1,Chai hii baridi kama volkano.,1,soc,0,0,1,0
Mjomba amefurahi sana. ,Mjomba amekasirika sana.,0,Mjomba amefurahi kama ndege katika chemchemi.,1,soc,0,0,1,0
Mjomba amefurahi sana. ,Mjomba amekasirika sana.,1,Mjomba amekasirika kama fahali mwenye kitambaa usoni.,1,soc,0,0,1,0
Uhusiano wao umejaa amani.,Uhusiano wao umejaa mzozo.,0,Uhusiano wao ni kama mapema ya majira ya joto.,1,soc,0,0,1,0
Uhusiano wao umejaa amani.,Uhusiano wao umejaa mzozo.,1,Uhusiano wao ni kama kimbunga.,1,soc,0,0,1,0
Kalamu hizi zinafanana.,Kalamu hizi ni tofauti.,0,Kalamu hizi ni kama mbaazi mbili kwenye ganda.,1,vis,0,1,0,0
Kalamu hizi zinafanana.,Kalamu hizi ni tofauti.,1,Kalamu hizi ni kama majira ya baridi na majira ya joto.,1,vis,0,1,0,0
Ilikuwa na furaha na kijamii.,Ilikuwa na huzuni na changamoto.,0,Maisha ni sherehe.,1,soc,0,0,1,0
Ilikuwa na furaha na kijamii.,Ilikuwa na huzuni na changamoto.,1,Maisha ni uwanja wa vita.,1,soc,0,0,1,0
Wao ni waaminifu.,Wao ni wasaliti.,0,Wao ni mbwa.,1,obj,1,0,0,0
Wao ni waaminifu.,Wao ni wasaliti.,1,Wao ni panya.,1,obj,1,0,0,0
Viatu vyake vina harufu nzuri.,Viatu vyake vina harufu mbaya.,0,Viatu vya baba ni manukato.,1,obj,1,0,0,0
Viatu vyake vina harufu nzuri.',Viatu vyake vina harufu mbaya.,1,Viatu vya baba ni takataka.,1,obj,1,0,0,0
Usiku wa leo anga ina nyota nyingi.,"Usiku wa leo anga ni tupu, haina nyota.",0,Usiku wa leo anga ni blanketi la nyota.,1,vis,0,1,0,0
Usiku wa leo anga ina nyota nyingi. ,"Usiku wa leo anga ni tupu, haina nyota.",1,Usiku wa leo anga ni kanisa siku ya juma.,1,vis,0,1,0,0
Yeye ni mkarimu na mwenye upendo.,Yeye si mkarimu na mwenye upendo.,0,Msichani yule ni waridi kati ya miiba.,1,soc,0,0,1,0
Yeye ni mkarimu na mwenye upendo.,Yeye si mkarimu na mwenye upendo.,1,Msichana yule ni mwiba kati ya waridi.,1,soc,0,0,1,0
Kiti hiki kina nguvu.,Kiti hiki ni dhaifu.,0,Kiti hiki ni mwamba katika dhoruba.,1,obj,1,0,0,0
Kiti hiki kina nguvu.,Kiti hiki ni dhaifu.,1,Kiti hiki ni mtoto wa paka.,1,obj,1,0,0,0
Ilikuwa na watu wengi na kelele nyingi.,Ilikuwa kimya.,0,Sherehe hiyo ilikuwa mbuga ya wanyama.,1,vis,0,1,0,0
Ilikuwa na watu wengi na kelele nyingi.,Ilikuwa kimya.,1,Sherehe hiyo ilikuwa wimbo uliosahaulika.,1,vis,0,1,0,0
Mtihani ulikuwa rahisi.,Mtihani ulikuwa ngumu.,0,Mtihani ulikuwa upepo.,1,soc,0,0,1,0
Mtihani ulikuwa rahisi.,Mtihani ulikuwa ngumu.,1,Mtihani ulikuwa gunia tupu kusimama wima.,1,soc,0,0,1,0
Hadithi hiyo ni ya mwanzo.,Hadithi hiyo ni ya mwisho.,0,Hadithi hiyo ni kama kilio cha mtoto kuzaliwa.,1,vis,0,1,0,0
Hadithi hiyo ni ya mwanzo.,Hadithi hiyo ni ya mwisho.,1,Hadithi hiyo ni kama kifo.,1,vis,0,1,0,0
Miti hii inazaa matunda.,Miti hii haizalishi matunda.,0,Miti hii ni kama jua.,1,obj,1,0,0,0
Miti hii inazaa matunda.,Miti hii haizalishi matunda.,1,Miti hii ni kama mvua ya msimu wa baridi.,1,obj,1,0,0,0
Kijana yule alikula kwa pupa.,Kijana yule alikula bila haraka.,0,Kijana yule ni fisi.,1,obj,1,0,0,0
Kijana yule alikula kwa pupa.,Kijana yule alikula bila haraka.,1,Kijana yule ni panya.,1,obj,1,0,0,0
Mambo yake ni wazi sana.,Mambo yake si wazi.,0,Mtoto huyu ni sahani.,1,obj,1,0,0,0
Mambo yake ni wazi sana.,Mambo yake si wazi.,1,Mtoto huyu ni nyoka kwenye nyasi.,1,obj,1,0,0,0
Huwa haguswi na mambo kupita kiasi.,Huwa anaguswa na mambo kupita kiasi.,0,Yule msichana ni mtulivi kama mashamba ya Mbinguni.,1,soc,0,0,1,0
Huwa haguswi na mambo kupita kiasi. ,Huwa anaguswa na mambo kupita kiasi.,1,Yule msichana ni malkia wa drama.,1,soc,0,0,1,0
Nyumba hii ni imara.,Nyumba hii si imara.,0,Nyumba hii ni kama dunia.,1,obj,1,0,0,0
Nyumba hii ni imara.,Nyumba hii si imara.,1,Nyumba hii ni kama mawimbi ya bahari.,1,obj,1,0,0,0
Simu hii ni muhimu.,Simu hii haina maana.,0,Simu hii ni kama ng’ombe.,1,obj,1,0,0,0
Simu hii ni muhimu.,Simu hii haina maana.,1,Simu hii ni kama bunduki bila kichochezi.,1,obj,1,0,0,0
Mtu huyu anajulikana.,Mtu huyu ni wa ajabu.,0,Mtu huyu ni kama jua na mwezi.,1,obj,1,0,0,0
Mtu huyu anajulikana.,Mtu huyu ni wa ajabu.,1,Mtu huyu ni kama kama harusi bila bwana harusi.,1,obj,1,0,0,0
Amejaa upendo.,Amejaa chuki.,0,Yeye ni sauti ya mama.,1,soc,0,0,1,0
Amejaa upendo.,Amejaa chuki.,1,Yeye ni kifo.,1,soc,0,0,1,0
Mwanafunzi huyu ni mwenye heshima,Mwanafunzi huyu ni mfidhuli.,0,Mwanafunzi huyu ni nta.,1,obj,1,0,0,0
Mwanafunzi huyu ni mwenye heshima,Mwanafunzi huyu ni mfidhuli.,1,Mwanafunzi huyu ni dubu.,1,obj,1,0,0,0
Kijiti hiki kimenyooka.,Kijiti hiki kimepinda.,0,Kijiti hiki ni kama nyota ya risasi.,1,obj,1,0,0,0
Kijiti hiki kimenyooka.,Kijiti hiki kimepinda.,1,Kijiti hiki ni kama mitaa ya Boston.,1,obj,1,0,0,0
Mtu huyo alikuwa na nywele nyingi. ,Mtu huyo alikuwa na upara.,0,Mtu huyo alikuwa gorila.,1,obj,1,0,0,0
Mtu huyo alikuwa na nywele nyingi.,Mtu huyo alikuwa na upara.,1,Mtu huyo alikuwa yai.,1,obj,1,0,0,0
Mzigo hii ni nyepesi sana.,Mzigo hii ni nzito sana.,0,Mzigo hii ni kama manyoya.,1,obj,1,0,0,0
Mzigo hii ni nyepesi sana.,Mzigo hii ni nzito sana.,1,Mzigo hii ni kama nanga.,1,obj,1,0,0,0
Kitoto chake ni safi.,Kitoto chake ni kichafu.,0,Kitoto chake ni kama pini mpya.,1,obj,1,0,0,0
Kitoto chake ni safi.,Kitoto chake ni kichafu.,1,Kitoto chake ni kama nguruwe.,1,obj,1,0,0,0
Mayai haya ni matamu.,Mayai haya ni machungu.,0,Mayai haya ni asali.,1,obj,1,0,0,0
Mayai haya ni matamu.,Mayai haya ni machungu.,1,Mayai haya ni ndimu.,1,obj,1,0,0,0
Aliongea kwa adabu.,Aliongea kwa jeuri.,0,Alikuwa kama nta.,1,obj,1,0,0,0
Aliongea kwa adabu.,Aliongea kwa jeuri.,1,Alikuwa kama dubu.,1,obj,1,0,0,0
Alikuwa msichana mpweke.,Alikuwa msichana maarufu.,0,Alikuwa kama meli iliyoachwa.,1,obj,1,0,0,0
Alikuwa msichana mpweke.,Alikuwa msichana maarufu.,1,Alikuwa kama tamthilia ya filamu.,1,obj,1,0,0,0
Mlango ulikuwa na kufuli.,Mlango ulikuwa wazi.,0,Mlango ulikuwa kama mshipi wa chuma.,1,obj,1,0,0,0
Mlango ulikuwa na kufuli.,Mlango ulikuwa wazi.,1,Mlango ulikuwa kama ghuba.,1,obj,1,0,0,0
Meza iliyonunuliwa ilikuwa maridadi.,Meza iliyonunuliwa ilikuwa mbaya.,0,Meza ilikuwa kama yungiyungi.,1,obj,1,0,0,0
Meza iliyonunuliwa ilikuwa maridadi.,Meza iliyonunuliwa ilikuwa mbaya.,1,Meza ilikuwa kama gome la mwaloni.,1,obj,1,0,0,0
Walikuwa marafiki wazuri.,Walikuwa maadui.,0,Hao ni ulimi na meno.,1,soc,0,0,1,0
Walikuwa marafiki wazuri.,Walikuwa maadui.,1,Hao ni maji na mafuta.,1,soc,0,0,1,0
Mtoto yule amefurahi.,Mtoto yule amehuzunika.,0,Mtoto yule ni kibogoyo aliyeota Meno.,1,soc,0,0,1,0
Mtoto yule amefurahi.,Mtoto yule amehuzunika.,1,Mtoto yule ni mfiwa.,1,soc,0,0,1,0
Ngozi yake ni laini.,Ngozi yake ni ngumu.,0,Ngozi yake ni hariri.,1,obj,1,0,0,0
Ngozi yake ni laini.,Ngozi yake ni ngumu.,1,Ngozi yake ni mawe,1,obj,1,0,0,0
Wazazi wangu hawasahau kamwe.,Wazazi wangu ni wasahaulifu.,0,Wazazi wangu ni kama ndovu.,1,obj,1,0,0,0
Wazazi wangu hawasahau kamwe.,Wazazi wangu ni wasahaulifu.,1,Wazazi wangu ni kama bibi kizee.,1,obj,1,0,0,0
Mazao ya wakulima yalikuwa tele.,Mazao ya wakulima yalikuwa haba.,0,Mazao ya wakulima ni kama mwanga wa jua.,1,vis,0,1,0,0
Mazao ya wakulima yalikuwa tele.,Mazao ya wakulima yalikuwa haba.,1,Mazao ya wakulima ni kama manyoya kwenye samaki.,1,vis,0,1,0,0
Yeye alijivinjari.,Yeye alihangaika.,0,Yeye alikuwa mahali kama kasri la mfalme.,1,soc,0,0,1,0
Yeye alijivinjari.,Yeye alihangaika.,1,Yeye alikuwa mahali kama jela.,1,soc,0,0,1,0
Mahali aliwekwa palikuwa pazuri.,Mahali aliwekwa palikuwa pabaya.,0,Mahali aliwekwa palikuwa peponi.,1,vis,0,1,0,0
Mahali aliwekwa palikuwa pazuri.,Mahali aliwekwa palikuwa pabaya.,1,Mahali aliwekwa palikuwa kuzimu.,1,vis,0,1,0,0
Maneno yake yalikuwa yamenyooka.,Maneno yake hayakuwa yamenyooka.,0,Maneno yake yalikuwa kama rula.,1,soc,0,0,1,0
Maneno yake yalikuwa yamenyooka.,Maneno yake hayakuwa yamenyooka.,1,Maneno yake yalikuwa kama samaki aliyetolewa kwa maji.,1,soc,0,0,1,0
Walishuhudia uhuru nchini.,Walishuhudia utumwa nchini.,0,Walishuhudia uhuru kama ndege angani.,1,soc,0,0,1,0
Walishuhudia uhuru nchini.,Walishuhudia utumwa nchini.,1,Walishuhudia utumwa kama Waisraeli.,1,soc,0,0,1,0
Yeye ni mwaminifu.,Yeye ni mwongo.,0,Yeye ni njiwa,1,obj,1,0,0,0
Yeye ni mwaminifu.,Yeye ni mwongo.,1,Yeye ni jongoo.,1,obj,1,0,0,0
Yake yalikuwa ya faida.,Yake yalikuwa ya hasara.,0,Maneno yake yalikuwa mvua kwa mkulima.,1,soc,0,0,1,0
Yake yalikuwa ya faida.,Yake yalikuwa ya hasara.,1,Maneno yake yalikuwa mkizi.,1,soc,0,0,1,0
Filamu hiyo ilikuwa na manufaa.,Filamu hiyo ilikuwa na madhara.,0,Filamu hiyo ilikuwa kama dawa kwa mgonjwa.,1,vis,0,1,0,0
Filamu hiyo ilikuwa na manufaa.,Filamu hiyo ilikuwa na madhara.,1,Filamu hiyo ilikuwa kama dawa za kulevya.,1,vis,0,1,0,0
Binti huyu ni mcha Mungu.,Ni binti akanaye Mungu.,0,Binti huyu ni Musa.,1,obj,1,0,0,0
Binti huyu ni mcha Mungu.,Ni binti akanaye Mungu.,1,Binti huyu ni Firauni.,1,obj,1,0,0,0
Alikuwa kiongozi katika mkutano.,Alikuwa mfuasi katika mkutano.,0,Alikuwa kama kigogo.,1,obj,1,0,0,0
Alikuwa kiongozi katika mkutano.,Alikuwa mfuasi katika mkutano.,1,Alikuwa kama kumbikumbi.,1,obj,1,0,0,0
Yake yalikuwa ya thamana.,Yake yalikuwa yasiyo na maana.,0,Mazungumuzo yake yalikuwa kama bunda la noti.,1,soc,0,0,1,0
Yake yalikuwa ya thamana.,Yake yalikuwa yasiyo na maana.,1,Mazungumuzo yake yalikuwa kama senti.,1,soc,0,0,1,0
Alitoka hospitalini na furaha nyingi.,Alitoka hospitalini kama amenuna.,0,Alitoka hospitalini kama mfalme.,1,soc,0,0,1,0
Alitoka hospitalini na furaha nyingi.,Alitoka hospitalini kama amenuna.,1,Alitoka hospitalini kama Nyati aliyedungwa na miba.,1,soc,0,0,1,0
Busu lake lilikuwa la mapenzi ya kweli.,Busu lake lilikuwa la usaliti.,0,Busu lake lilikuwa kama la mama kwa mwanawe.,1,soc,0,0,1,0
Busu lake lilikuwa la mapenzi ya kweli.,Busu lake lilikuwa la usaliti.,1,Busu lake lilikuwa kama la Yuda Iskarioti kwa Yesu.,1,soc,0,0,1,0
Sehemu la kupalilia lilikuwa kubwa.,Sehemu la kupalilia lilikuwa ndogo.,0,Sehemu la kupalilia lilikuwa bahari.,1,vis,0,1,0,0
Sehemu la kupalilia lilikuwa kubwa.,Sehemu la kupalilia lilikuwa ndogo.,1,Sehemu la kupalilia lilkuwa tundu la sindano.,1,vis,0,1,0,0
Barabara hii ni pana sana.,Barabara hii ni nyembamba sana.,0,Barabara hii ni tembo.,1,vis,0,1,0,0
Barabara hii ni pana sana.,Barabara hii ni nyembamba sana.,1,Barabara hii ni uzi.,1,vis,0,1,0,0
Maneno yake yalikuwa fichu.,Maneno yake yalikuwa fiche.,0,Maneno yake yalikuwa kama tabasamu.,1,soc,0,0,1,0
Maneno yake yalikuwa fichu.,Maneno yake yalikuwa fiche.,1,Maneno yake yalikuwa kama fumbo.,1,soc,0,0,1,0
Mwanariadha huyu ana mbio sana.,Mwanariadha huyu anakimbia polepole sana.,0,Mwanariadha huyu ni duma.,1,obj,1,0,0,0
Mwanariadha huyu ana mbio sana.,Mwanariadha huyu anakimbia polepole sana.,1,Mwanariadha huyu ni kobe.,1,obj,1,0,0,0
Kasisi amevaa nguo nyeupe.,Kasisi amevaa nguo nyeusi.,0,Nguo ya kasisi ni theluji.,1,vis,0,1,0,0
Kasisi amevaa nguo nyeupe.,Kasisi amevaa nguo nyeusi.,1,Nguo ya kasisi ni makaa.,1,vis,0,1,0,0
Alikuwa na ufanisi kazini.,Hakuwa na ufanisi kazini.,0,Alikuwa kama mtego wa dubu.,1,obj,1,0,0,0
Alikuwa na ufanisi kazini.,Hakuwa na ufanisi kazini.,1,Alikuwa kama fedha ya haraka ya kusema uongo.,1,obj,1,0,0,0
Filamu hii ni nzuri.,Filamu hii ni mbaya.,0,Filamu hii ni kama waridi.,1,soc,0,0,1,0
Filamu hii ni nzuri.,Filamu hii ni mbaya.,1,Filamu hii ni kama kuwasha.,1,soc,0,0,1,0
Ardhi ilikuwa tija.,Ardhi ilikuwa tasa.,0,Ardhi ilikuwa kama jua.,1,vis,0,1,0,0
Ardhi ilikuwa tija.,Ardhi ilikuwa tasa.,1,Ardhi ilikuwa kama mvua ya msimu ya baridi.,1,vis,0,1,0,0
Miche ilikuwa inakua.,Miche ilikuwa inapungua.,0,Miche ilikuwa kama magugu kwenye kaburi lililopuuzwa.,1,obj,1,0,0,0
Miche ilikuwa inakua.,Miche ilikuwa inapungua.,1,Miche ilikuwa kama konokono akitoka kwenye ganda lake.,1,obj,1,0,0,0
Alikuwa jasiri.,Alikuwa na haya.,0,Alikuwa simba.,1,obj,1,0,0,0
Alikuwa jasiri.,Alikuwa na haya.,1,Alikuwa mjakazi.,1,obj,1,0,0,0
Chumba kilikuwa kikiangaza.,Chumba kilikuwa giza.,0,Chumba kilikuwa kama mwali.,1,vis,0,1,0,0
Chumba kilikuwa kikiangaza.,Chumba kilikuwa giza.,1,Chumba kilikuwa kama kaburi.,1,vis,0,1,0,0
Samani hii ni ya kweli.,Samani hii ni ya bandia.,0,Samani hii ni kama nyota.,1,obj,1,0,0,0
