String 1,String 2,Start Phrase
ಅವನ ನಂಬಿಕೆ ಬಲಿಷ್ಟವಾಗಿದೆ ,ಅವನ ನಂಬಿಕೆ ಬಲಿಷ್ಟವಾಗಿಲ್ಲ, ಅವನ ನಂಬಿಕೆಗಳು (ಬಂಡೆಯಂತೆ /ಗಾಜಿನಂತೆ) ಬಲಿಷ್ಠವಾಗಿವೆ.
ಅದು ತುಂಬಾ ಸುಲಭ ,ಅದು ಕಷ್ಟ,  ಅದು (ಓದುವಷ್ಟು /ಕೋಡಿಂಗ್ ನಂತೆ  ) ಸುಲಭ.
ಅವನು ಸಾಂಪ್ರದಾಯಿಕ ಉಡುಗೆ ಧರಿಸಿದ್ದಾನೆ,ಅವನು ಸಾಂಪ್ರದಾಯಿಕ ಉಡುಗೆ ಧರಿಸಿಲ್ಲ, ಅವನು ಸಾಂಪ್ರದಾಯಿಕ ಉಡುಗೆ ( ಪಂಚೆ/ಸೂಟ್ ) ಧರಿಸಿದ್ದಾನೆ.
ಆ ವಿಷಯ ಲಾಜಿಕ್ ಹೊಂದಿದೆ ,ಆ ವಿಷಯ ಲಾಜಿಕ್ ಹೊಂದಿಲ್ಲ,      ಆ ವಿಷಯವು (ವಿಜ್ಞಾನದಷ್ಟು /ಮ್ಯಾಜಿಕ್  ನಷ್ಟು) ಲಾಜಿಕ್ ಹೊಂದಿದೆ.
ಅವಳು ನಮ್ಮ ಸಂಸ್ಕೃತಿಯನ್ನು ಬಿಂಬಿಸುತ್ತಿದ್ದಳು ,ಅವಳು ನಮ್ಮ ಸಂಸ್ಕೃತಿಯನ್ನು ಬಿಂಬಿಸುತ್ತಿರಲಿಲ್ಲ,     ಅವಳು ನಮ್ಮ ಸಂಸ್ಕೃತಿ ಬಿಂಬಿಸುವೆ (ಸೀರೆ/ಸ್ಕರ್ಟ್ ) ಧರಿಸಿದ್ದಳು .
ಅವನು ಪ್ರಭಾವಶಾಲಿ ,ಅವನು ಸಾಮಾನ್ಯ,    ಅವನು(ರಾಜಕಾರಣಿಗಳಷ್ಟು /ನಾಗರಿಕರಷ್ಟು) ಪ್ರಭಾವಶಾಲಿ.
ಮರುಭೂಮಿಯಲ್ಲಿ ನೀರು ತುಂಬಾ ವಿರಳ ,ಮರುಭೂಮಿಯಲ್ಲಿ ನೀರು ಹೇರಳ ,    ಮರುಭೂಮಿಯಲ್ಲಿ (ನೀರಿನಂತೆ/ಮರಳಿನಂತೆ) ವಿರಳವಾಗಿದೆ.
ಶಿಖರದಲ್ಲಿ ಹಿಮಪಾತ ಹೆಚ್ಚು,ಶಿಖರದಲ್ಲಿ ಹಿಮಪಾತ ಕಡಿಮೆ,     ಶಿಖರದಲ್ಲಿ (ಹಿಮಪಾತದಂತೆ/ಮಣ್ಣಿನಂತೆ) ಯಥೇಚ್ಛವಾಗಿದೆ.
ಆ ಸ್ಥಳವು ಹಸಿರಾಗಿದೆ,ಆ ಸ್ಥಳವು ಹಸಿರಾಗಿಲ್ಲ,   ಆ ಸ್ಥಳವು (ಕಾಡಿನಂತೆ/ನಗರದಂತೆ) ಹಸಿರಾಗಿದೆ .
ಅರಬ್ ದೇಶಗಳು ಪೆಟ್ರೋಲಿಯಂನಿಂದ ಶ್ರೀಮಂತವಾಗಿವೆ,ಅರಬ್ ದೇಶಗಳು ಪೆಟ್ರೋಲಿಯಂನಿಂದ ಶ್ರೀಮಂತವಾಗಿಲ್ಲ,    ಅರಬ್ ದೇಶಗಳಲ್ಲಿ (ಪೆಟ್ರೋಲಿಯಂ ನಿಂದ /ನೀರಿನಿಂದ )  ಶ್ರೀಮಂತಿಕೆ ಹೊಂದಿವೆ.
ಆಹಾರದಲ್ಲಿ ಫೈಬರ್ಸ್ ಆರೋಗ್ಯಕರ,ಆಹಾರದಲ್ಲಿ ಫೈಬರ್ಸ್ ಆರೋಗ್ಯಕರವಲ್ಲ,     ಆಹಾರದಲ್ಲಿ (ಫೈಬರ್ /ಕಾರ್ಬ್ಸ್)ನಂತೆ ಆರೋಗ್ಯಕರ.
ಆಕಾಶವು ಹೆಚ್ಚು ಮೋಡದಿಂದ ಕೂಡಿದೆ,ಆಕಾಶವು ಕಡಿಮೆ ಮೋಡದಿಂದ ಕೂಡಿದೆ,     ಆಕಾಶವು (ಮಳೆಗಾಲ ದಂತೆ/ಬೇಸಿಗೆಯಂತೆ) ಮೋಡದಿಂದ ಕೂಡಿದೆ .
ಆ ಜಾಗ ಸುಂದರವಾಗಿದೆ ,ಆ ಜಾಗ ಸುಂದರವಾಗಿಲ್ಲ,    ಆ ಜಾಗವು (ತಾಜ್ ಮಹಲ್/ಸರ್ಕಾರಿ ಆಫೀಸ್ ) ನಂತೆ ಸುಂದರವಾಗಿದೆ.
ಅದು ಕಹಿಯಾಗಿತ್ತು ,ಅದು ಸಿಹಿಯಾಗಿತ್ತು ,    ಅದು (ಬೇವಿಗಿಂತಲೂ /ಬೆಲ್ಲಕಿಂತಲೂ) ಕಹಿಯಾಗಿದೆ
ಆ ಜಾಗ ದೂರದಲ್ಲಿದೆ ,ಆ ಜಾಗ ಹತ್ತಿರದಲ್ಲಿದೆ,     ಆ ಜಾಗವೂ (ಚಂದ್ರನಷ್ಟು/ ಚಿತ್ರಮಂದಿರ ದಷ್ಟು) ದೂರದಲ್ಲಿದೆ
ಆ ವಿಷಯ ಬೇಸರ ತರಿಸಿತ್ತು ,ಆ ವಿಷಯ ಸಂತಸ ಮೂಡಿಸಿತ್ತು ,   ಆ ವಿಷಯವು (ವಿಶ್ವಕಪ್ ಸೋಲಿನಂತೆ /ವಿಶ್ವಕಪ್ ಗೆಲುವಿನ ಹಾಗೆ )ಬೇಸರ ತರಿಸಿತ್ತು
ಆ ಸಂಗತಿ ಮುಖ್ಯವಾಗಿದೆ ,ಆ ಸಂಗತಿ ಮುಖ್ಯವಾಗಿಲ್ಲ,     ಆ ಸಂಗತಿ (ಶಿಕ್ಷಣ/ ಪ್ರಯಾಣ)ದಷ್ಟು ಮುಖ್ಯವಾಗಿದೆ
ಆ ಅಪ್ಲಿಕೇಶನ್ ಹೆಚ್ಚು ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿದೆ ,ಆ ಅಪ್ಲಿಕೇಶನ್ ಕಡಿಮೆ ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿದೆ ,    ಆ ಅಪ್ಲಿಕೇಶನ್ ( ಜಿಮೇಲ್ ನಷ್ಟು/ ಆರ್ಕುಟ್ ನಷ್ಟು )ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿದೆ
ಆಹಾರದಲ್ಲಿ ಹೆಚ್ಚು ಪ್ರೋಟೀನ್ ಅಂಶವಿದೆ ,ಆಹಾರದಲ್ಲಿ ಕಡಿಮೆ ಪ್ರೋಟೀನ್ ಅಂಶವಿದೆ,   ಈ ಆಹಾರವು (ಮೊಟ್ಟೆ/  ಅಕ್ಕಿ )ಯಷ್ಟು ಪ್ರೊಟೀನ್ ಅಂಶ ಹೊಂದಿದೆ
ಅದು ತರಕಾರಿಯಷ್ಟು ಉತ್ತಮ ,ಅದು ತರಕಾರಿಯಷ್ಟು ಉತ್ತಮವಿಲ್ಲ,    ಅದು (ತರಕಾರಿ ಯಷ್ಟು /ಜಂಕ್ ಫುಡ್ ನಷ್ಟು) ಉತ್ತಮ
ಡ್ರೈ ಫ್ರೂಟ್ಸ್ ದುಬಾರಿ ,ಡ್ರೈಫ್ರೂಟ್ಸ್ ನಂತೆ ದುಬಾರಿ ಅಲ್ಲ,   ಅದು (ಡ್ರೈ ಫ್ರೂಟ್ಸ್ ನಂತೆ/ ತರಕಾರಿಯಷ್ಟು) ದುಬಾರಿ
ಆ ವಿಷಯ ವೈಜ್ಞಾನಿಕವಾಗಿತ್ತು ,ಆ ವಿಷಯ ವೈಜ್ಞಾನಿಕವಾಗಿಲ್ಲ ,   ಆ ವಿಷಯವು (ಸೂರ್ಯಗ್ರಹಣ /ಜಾದೂ ವಿನಷ್ಟು )ವೈಜ್ಞಾನಿಕವಾಗಿತ್ತು
ಅವರು ಶ್ರೀಮಂತರು , ಅವರು ಶ್ರೀಮಂತರೇನಲ್ಲ,   ಅವರು (ಅಂಬಾನಿಯಂತೆ /ಸಾಮಾನ್ಯ ಜನರಂತೆ )ಶ್ರೀಮಂತರು
ಆ ದೃಶ್ಯ ಅದ್ಭುತವಾಗಿತ್ತು,ಆ ದೃಶ್ಯ ಅದ್ಭುತವಾಗಿರಲಿಲ್ಲ,   ಆ ದೃಶ್ಯವೂ( ಜಲಪಾತದಂತೆ /ಟ್ರಾಫಿಕ್ ಜಾಮ್ ನಂತೆ) ಅದ್ಬುತವಾಗಿತ್ತು
ಆ ಸ್ಥಳವು ನಿಶಬ್ದವಾಗಿದೆ ,ಆ ಸ್ಥಳವು ನಿಶಬ್ದವಾಗಿಲ್ಲ,   ಆ ಸ್ಥಳವು( ಲೈಬ್ರರಿಯ ಹಾಗೆ/ ಬಸ್ ಸ್ಟೇಷನ್ ನ ಹಾಗೆ) ನಿಶ್ಶಬ್ದವಾಗಿದೆ.
ಅದು  ಬಹಳ ಅಪರೂಪ ,ಅದು  ಬಹಳ  ಅಪರೂಪವೇನಲ್ಲ,  ಅದು (ಕಾಮೆಟ್ ನಂತೆ/ ನಕ್ಷತ್ರ ಗಳಂತೆ) ಬಹಳ ಅಪರೂಪ
ಆ ಪರೀಕ್ಷೆ ಹೆಚ್ಚು ಕಷ್ಟ,ಆ ಪರೀಕ್ಷೆ ಹೆಚ್ಚು ಕಷ್ಟವೇನಲ್ಲ,   ಆ ಪರೀಕ್ಷೆ (ಯುಪಿಎಸ್ಸಿ/ ಐಬಿಪಿಸ್ ನಂತೆ) ಕಷ್ಟಕರ
ಅದನ್ನು ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳುವುದು ಕಷ್ಟ,ಅದನ್ನು ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳುವುದು ಸುಲಭ,   ಅದನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು( ಫಾರ್ಮುಲಾ / ಪದ್ಯ )ದಷ್ಟು ಜಟಿಲವಾಗಿದೆ
ಅದು ಓವಲ್ ಆಕಾರ ಹೊಂದಿದೆ ,ಅದು ಓವಲ್ ಆಕಾರ ಹೊಂದಿಲ್ಲ,  ಅದು (ಮೊಟ್ಟೆಯಂತೆ /ಉಂಗುರದಂತೆ) ಓವಲ್ ಆಕಾರ ಹೊಂದಿದೆ
ಅವರು ಜನಪ್ರಿಯರು ,ಅವರು ಜನಪ್ರಿಯರಲ್ಲ,   ಅವರು (ಕಲಾವಿದ ರಂತೆ/ ವಕೀಲ ರಂತೆ) ಜನಪ್ರಿಯರು
ಆ ಆಟ ಪ್ರಸಿದ್ಧ,ಆ ಆಟ ಪ್ರಸಿದ್ಧವಲ್ಲ, ಆ ಆಟವು (ಫುಟ್ಬಾಲ್  ನಷ್ಟು /ಹಾಕಿ ಯಷ್ಟು) ಪ್ರಸಿದ್ದವಾಗಿದೆ
ಆ ಸಂಭ್ರಮವು ಮಜವಾಗಿತ್ತು,ಆ ಸಂಭ್ರಮವು ಮಜವಾಗಿರಲಿಲ್ಲ,  ಆ ಸಂಭ್ರಮವು (ಗೆಲುವಿನಂತೆ/ ಸೋಲಿನಂತೆ) ಮಜವಾಗಿತ್ತು
ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿತ್ತು ,ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿರಲಿಲ್ಲ,  ಘಟನೆಯು (ಯುದ್ಧದಂತೆ/ ಶಾಂತಿಯಂತೆ) ಭಯಾನಕವಾಗಿತ್ತು
ಆ ಕಟ್ಟಡ ಸುಸಜ್ಜಿತವಾಗಿತ್ತು ,ಆ ಕಟ್ಟಡ ಸುಸಜ್ಜಿತವಾಗಿರಲಿಲ್ಲ,  ಆ ಕಟ್ಟಡವು (ಅರಮನೆಯಂತೆ /ಸರ್ಕಾರಿ ಕಚೇರಿಯಂತೆ) ಸುಸಜ್ಜಿತವಾಗಿತ್ತು
ಆ ವಸ್ತು ಪ್ರತಿಬಿಂಬವಾಗಿತ್ತು , ಆ ವಸ್ತು ಪ್ರತಿಬಿಂಬವಾಗಿರಲಿಲ್ಲ,  ಆ ವಸ್ತು (ಕನ್ನಡಿಯ ಹಾಗೆ /ಗೋಡೆಯ ಹಾಗೆ ) ಪ್ರತಿಬಿಂಬವಾಗಿತ್ತು
ಆ ಪ್ರತಿಮೆ ಎತ್ತರವಾಗಿತ್ತು ,ಆ ಪ್ರತಿಮೆ ಎತ್ತರವಾಗಿರಲಿಲ್ಲ,   ಆ ಪ್ರತಿಮೆಯು (ಏಕತೆಯ ಪ್ರತಿಮೆಯಷ್ಟು/ ದ್ವಜಸ್ತಂಬದಷ್ಟು) ಎತ್ತರವಾಗಿತ್ತು
ಅದು ಹಣ ಉಳಿಸುವಷ್ಟು ಉತ್ತಮ ,ಅದು ಹಣ ಉಳಿಸುವಷ್ಟು ಉತ್ತಮವಲ್ಲ, ಅದು ಹಣ (ಉಳಿಸುವಷ್ಟು/ ಖರ್ಚು ಮಾಡುವಷ್ಟು) ಉತ್ತಮವಾಗಿದೆ
ಆ ಸದ್ದು ಇಂಪಾಗಿದೆ ,ಆ ಸದ್ದು ಇಂಪಾಗಿಲ್ಲ, ಆ ಸದ್ದು (ಸಂಗೀತದಂತೆ /ಪಟಾಕಿಯಂತೆ )ಇಂಪಾಗಿದೆ
ಆ ಸಿನಿಮಾ ಭಯ ಮೂಡಿಸಿತ್ತು ,ಆ ಸಿನಿಮಾ ಭಯ ಮೂಡಿಸಲಿಲ್ಲ, ಆ ಸಿನಿಮಾ (ಹಾರರ್ /ಕಾಮಿಡಿ )ಚಿತ್ರದಷ್ಟು ಭಯ ಮೂಡಿಸಿತ್ತು
ಆ ವಿಷಯ ಸುಲಭ,ಆ ವಿಷಯ ಕಷ್ಟ,  ಆ ವಿಷಯವೂ (ಮ್ಯಾಗಿ/ ಬಿರಿಯಾನಿ )ತಯಾರಿಸುವಷ್ಟು ಸುಲಭ
ಅದು ತುಂಬಾ ವೇಗ ,ಅದು ನಿಧಾನ,      ಅದು (100 ಮೀಟರ್/ ಮ್ಯಾರಥಾನ್ ಓಟದಷ್ಟು) ವೇಗವಾಗಿದೆ
ಅವನು ಬೇಗ ಏಳುತ್ತಾನೆ ,ಅವನು ಬೇಗ ಏಳುವುದಿಲ್ಲ,     ಅವನು (ಸೂರ್ಯೋದಯ ದಂತೆ /ಮಧ್ಯಾಹ್ನದಂತೆ) ಬೇಗ  ಏಳುತ್ತಾನೆ
ಆ ಸಂಗತಿ ಖುಷಿ ತರಿಸುತ್ತದೆ ,ಆ ಸಂಗತಿ ಖುಷಿ  ತರಿಸುವುದಿಲ್ಲ,     ಆ ಸಂಗತಿ ( ಜಾಬ್ ಆಫರ್/ ಜಾಬ್ ಲೇಆಫ್ ) ನಷ್ಟು ಖುಷಿ ತರಿಸುತ್ತದೆ
ಅದು ಆಸಕ್ತಿದಾಯಕವಾಗಿತ್ತು ,ಅದು ಆಸಕ್ತಿದಾಯಕವಾಗಿರಲಿಲ್ಲ,  ಅದು (ಮ್ಯಾಜಿಕ್ ಶೋ ನಷ್ಟು /ಆನ್ಲೈನ್ ಕ್ಲಾಸ್ ನಷ್ಟು) ಆಸಕ್ತಿದಾಯಕವಾಗಿತ್ತು
ಅವರು ಹೆಚ್ಚು ಜ್ಞಾನ ಹೊಂದಿದ್ದಾರೆ ,ಅವರು ಹೆಚ್ಚು ಜ್ಞಾನ ಹೊಂದಿಲ್ಲ,   ಅವರು( ಪಂಡಿತರಷ್ಟು/ ಪದವೀಧರರಷ್ಟು) ಜ್ಞಾನವುಳ್ಳವರಾಗಿದ್ದಾರೆ
ನದಿಯು ತುಂಬಾ ದೂರ ಹರಿಯುತ್ತದೆ ,ನದಿ ಕಡಿಮೆ ದೂರ ಹರಿಯುತ್ತದೆ,    ಆ ನದಿಯು( ನೈಲ್ ನಂತೆ/ ಕಾವೇರಿಯಂತೆ) ಉದ್ದ ಹರಿಯುವುದಿಲ್ಲ
ಅದು ಡ್ಯಾಮ್ ನಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ,ಅದು ಡ್ಯಾಮ್ ನಷ್ಟು ದೊಡ್ಡದಲ್ಲ,     ಅದು (ಡ್ಯಾಮ್ ನಷ್ಟು /ಕೆರೆ ಯಷ್ಟು) ದೊಡ್ಡದಾಗಿದೆ
ಆ ವಸ್ತು ಬಿಸಿಯಾಗಿದೆ ,ಆ ವಸ್ತು ತಣ್ಣಗಿದೆ,     ಆ ವಸ್ತು (ಬೆಂಕಿ ಯಷ್ಟು/ ನೀರಿನಷ್ಟು) ಬಿಸಿಯಾಗಿದೆ
ಅದು ಮಜವಾಗಿದೆ ,ಅದು ಮಜಾವಾಗಿಲ್ಲ,   ಅದು (ಪಾರ್ಟಿಯಷ್ಟು/ ಪರೀಕ್ಷೆ ಯಷ್ಟು) ಮಜವಾಗಿದೆ
ಆ ಜೀವಿಯ ಗಾತ್ರ ಚಿಕ್ಕದು,ಆ ಜೀವಿಯ ಗಾತ್ರ ದೊಡ್ಡದು,   ಆ ಜೀವಿಯು (ಇರುವೆ ಯಷ್ಟು/ ಬೆಕ್ಕಿನಷ್ಟು) ಚಿಕ್ಕದಾಗಿದೆ
ಆ ವಸ್ತು ಹರಿತವಿದೆ, ಆ ವಸ್ತು ಅರಿತವಾಗಿಲ್ಲ,    ಆ ವಸ್ತು (ಚಾಕುವಿನಂತೆ /ಪೆನ್ಸಿಲ್ ನಂತೆ )ಹರಿತವಾಗಿದೆ
ಅದು ಅಕ್ರಮ, ಅದು ಅಕ್ರಮವಲ್ಲ,   ಅದು (ಮೋಸ ಮಾಡುವಂತೆ /ಪ್ರೀತಿ ತೋರಿಸುವಂತೆ) ಅಕ್ರಮವಾಗಿದೆ
ಆ ವಸ್ತು ಸೂಕ್ಷ್ಮವಾಗಿದೆ ,ಆ ವಸ್ತು ಸೂಕ್ಷ್ಮವಾಗಿಲ್ಲ,   ಆ ವಸ್ತು( ಗಾಜಿನಂತೆ/ ಕಲ್ಲಿನಂತೆ )ಸೂಕ್ಷ್ಮವಾಗಿದೆ
ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿತ್ತು,ಆ ಘಟನೆ ಭಯಾನಕವಾಗಿರಲಿಲ್ಲ,   ಆ ಘಟನೆಯು  (ಆಕ್ಸಿಡೆಂಟ್ ನಷ್ಟು /ಡಾನ್ಸ್ ಶೋನಷ್ಟು ) ಭಯಾನಕವಾಗಿತ್ತು
ಆ ಕಟ್ಟಡವು ಐತಿಹಾಸಿಕವಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಐತಿಹಾಸಿಕವಾಗಿಲ್ಲ,   ಆ ಕಟ್ಟಡವು( ಅರಮನೆ ಯಂತೆ/ ಶಾಪಿಂಗ್ ಮಾಲ್ ನಂತೆ) ಐತಿಹಾಸಿಕವಾಗಿದೆ
ಅವನು  ಅಜೇಯ,ಅವನು  ಅಜೇಯನಲ್ಲ,   ಅವನು (ಅರ್ಜುನನಂತೆ/ ರಾವಣನಂತೆ )ಅಜೇಯ ನಾಗಿದ್ದಾನೆ
ಅದು ಸಾಮಾನ್ಯ ,ಅದು ಸಾಮಾನ್ಯವಲ್ಲ, ಅದು (ಚಿನ್ನದಂತೆ /  ಕೊಹಿನೂರ್ ವಜ್ರದಂತೆ )ಸಾಮಾನ್ಯವಾಗಿದೆ.
ಅವನು ಕುತೂಹಲ ಭರಿತನಾಗಿದ್ದನು ,ಅವನು ಕುತೂಹಲ ಭರಿತನಾಗಿರಲಿಲ್ಲ,   ಅವನು (ವಿಜ್ಞಾನಿಯಷ್ಟು/ ಚಾಲಕನಷ್ಟು )ಕುತೂಹಲ ಭರಿತನಾಗಿದ್ದನು
ಅವರು ಕ್ರೂರಿ  ,ಅವರು ಕ್ರೂರಿಯಲ್ಲ,   ಅವರು( ಕ್ರಿಮಿನಲ್ ನಂತೆ/ ಸನ್ಯಾಸಿಯಂತೆ) ಕ್ರೂರಿ ಆಗಿದ್ದರು
ಅದರ ಸದ್ದು ಜೋರಾಗಿತ್ತು ,ಅದರ ಸದ್ದು ಜೋರಾಗಿರಲಿಲ್ಲ, ಅದರ ಸದ್ದು (ಸಿಡಿಲಿನಂತೆ/ ಸಂಗೀತದಂತೆ )ಜೋರಾಗಿತ್ತು
