startphrase,ending1,ending2,labels
Budheku wonge ibarat wong seng ra eman bondho seneng ngekei wong-wong ra nduwe,Budheku wonge cethil,Budheku wonge lumo,1
Nek mangan ngentekne sego sakwakul,Nek mangan akeh,Nek mangan sithik,0
Montor iku digawe seka wesi,Montor iku kuat,Montor iku ringkih,0
Nek nduwe cita-cita sakduwur cagak listrik,Nek nduwe cita-cita duwur banget,Nek nduwe cita-cita ora duwur ( biasa-biasa ae,1
Rasane pelem kaya asem jawa,Rasane pelem kecut,Rasane pelem legi,0
Adhiku yen ngomong kaya Puntadewa,Adhiku yen ngomong kaya kasar banget,Adhiku yen ngomong kaya lemah lembut,1
Awake gedhine sakdrum,Awake lemu,Awake kuru,0
Sabare kaya bolongan sedotan,Sabare Jembar,Sabare Ciyut,1
Wedhange kaya kolak gedhang,Wedhange pahit,Wedhange manis,1
Mbak e nduweni awak kaya guci,Mbak e nduweni awak dhuwur langsing,Mbak e nduweni awak pendek lemu,1
Anggone mlaku bis mini kaya tuma kathok,Anggone mlaku bis mini klular klulur,Anggone mlaku bis mini trengginas,0
Ning TV saiki akeh pejabat sing umpama lelaku ratu adil,Ning TV saiki akeh pejabat sing ora duwe wibawa,Ning TV saiki akeh pejabat sing duwe wibawa,1
"Yen didelok, Pak Guru iku sikape kaya banyu nang godhong talas","Yen didelok, Pak Guru iku sikape gampang berubah","Yen didelok, Pak Guru iku sikape teguh",0
Tresnaku marang sliramu jerone kaya kolam bocah,Tresnaku marang sliramu jeru,Tresnaku marang sliramu cethek,1
Pak Sutrisno iku tansaya dhuwur pendidikane tambah kaya pari,Pak Sutrisno iku tansaya dhuwur pendidikane tambah rendah hati seperti padi,Pak Sutrisno iku tansaya dhuwur pendidikane tambah sombong seperti tong kosong,0
Areke nek gae janji kaya ndelok gajah numpak becak,blangko,goroh,1
Esemmu koyo jeruk durung mateng nanging wis dipetik,Esemmu apik,Esemmu kecut,1
Dadi anak bontot ning keluarga iki padha kaya nggendong kapas sak genggem,Dadi anak bontot ning keluarga iki abot,Dadi anak bontot ning keluarga iki enteng,1
Nyawang esemme mantan rasane kaya tebu,Nyawang esemme mantan rasane legi,Nyawang esemme mantan rasane pait,0
Mas Edi lak mlayu jan kaya semut,Mas Edi lak mlayu cepet,Mas Edi lak mlayu rindik,1
Udan awan ini kaya banyu langsung diguyur soko dhuwur,Udane deres,Udane gerimis,0
Awake dewe kaya payung lan udan,Awake dewe sering bareng,Awake dewe tukaran,0
"Ra umum, duwurmen adike Anas sak wit klapa",Adike Anas duwur banget,Adike Anas cendek,0
Pengawas ujian iku nduweni mata kaya elang,Pengawas ujian iku nduweni mata awas banget kaya elang,Pengawas ujian iku nduweni mata rabun kaya lawa,0
Hubungan katresnan kita kaya asu lan kucing,Hubungan katresnan kita romantis,Hubungan katresnan kita tukaran wae,1
Kutho iki hawane kaya kutub,Kutho iki hawane adem banget,Kutho iki hawane panas banget,0
Roti donat lek nggawe Narti kaya lemese pikulan,Roti donat lek nggawe Narti empuk banget,Roti donat lek nggawe Narti atos banget,1
Dheweke nek nari kaya ombak ular-ular.,Dheweke nek nari luwes,Dheweke nek nari kaku,0
